Condition,MedCodeId,Term
Chronic lower respiratory diseases,817361000006114.0,Hay fever with asthma
Chronic lower respiratory diseases,350153016.0,Hay fever with asthma
Chronic lower respiratory diseases,1882421000006112.8,1 COPD exacerbation in past year
Chronic lower respiratory diseases,1882441000006118.0,2 COPD exacerbations in past year
Chronic lower respiratory diseases,1882431000006111.2,3+ COPD exacerbations in past year
Chronic lower respiratory diseases,2716321000006116.0,COPD - Chronic obstructive pulmonary disease
Chronic lower respiratory diseases,1.1932331000006116e+16,COPD GOLD group A
Chronic lower respiratory diseases,1.1932341000006112e+16,COPD GOLD group B
Chronic lower respiratory diseases,1.193235100000611e+16,COPD GOLD group C
Chronic lower respiratory diseases,1.1932361000006112e+16,COPD GOLD group D
Chronic lower respiratory diseases,1771441000006118.0,COPD patient experience discussed
Chronic lower respiratory diseases,885311000006116.0,Chronic obst. pulm. dis. NOS
Chronic lower respiratory diseases,990641000006110.0,Chronic obst. pulm. dis. NOS
Chronic lower respiratory diseases,2716231000006114.0,Chronic obstructive lung disease
Chronic lower respiratory diseases,1823851000006119.2,Chronic obstructive pulmonary disease confirmed
Chronic lower respiratory diseases,1856571000006116.0,Chronic obstructive pulmonary disease severity
Chronic lower respiratory diseases,8034781000006114.0,Did not attend chronic obstructive pulmonary disease clinic
Chronic lower respiratory diseases,1.2623621000006118e+16,Excepted from COPD (chronic obstructive pulmonary disease) quality indicators - service unavailable
Chronic lower respiratory diseases,1882451000006116.0,No COPD exacerbations in past year
Chronic lower respiratory diseases,8294561000006110.0,Seen in COPD (chronic obstructive pulmonary disease) clinic
Chronic lower respiratory diseases,909711000006111.0,[RFC] Chronic obstructive pulmonary disease (COPD)
Chronic lower respiratory diseases,1.2728161000006116e+16,Chronic obstructive airways disease NOS
Chronic lower respiratory diseases,1.2759361000006112e+16,Chronic obstructive pulmonary disease NOS
Chronic lower respiratory diseases,3873191000006111.0,Fetid chronic bronchitis
Chronic lower respiratory diseases,4733021000006111.0,Obstructive chronic bronchitis
Chronic lower respiratory diseases,475431013.0,Chronic obstructive pulmonary disease
Chronic lower respiratory diseases,555471000006114.0,Chronic obstructive airways disease
Chronic lower respiratory diseases,105519017.0,Chronic bronchitis
Chronic lower respiratory diseases,508561017.0,Simple chronic bronchitis
Chronic lower respiratory diseases,508562012.0,Chronic catarrhal bronchitis
Chronic lower respiratory diseases,301444018.0,Simple chronic bronchitis NOS
Chronic lower respiratory diseases,123588010.0,Mucopurulent chronic bronchitis
Chronic lower respiratory diseases,506053014.0,Purulent chronic bronchitis
Chronic lower respiratory diseases,139979010.0,Fetid chronic bronchitis
Chronic lower respiratory diseases,301448015.0,Mucopurulent chronic bronchitis NOS
Chronic lower respiratory diseases,285104011.0,Obstructive chronic bronchitis
Chronic lower respiratory diseases,301450011.0,Chronic asthmatic bronchitis
Chronic lower respiratory diseases,301451010.0,Chronic wheezy bronchitis
Chronic lower respiratory diseases,285100019.0,Emphysematous bronchitis
Chronic lower respiratory diseases,492443010.0,Bronchiolitis obliterans
Chronic lower respiratory diseases,301455018.0,Obstructive chronic bronchitis NOS
Chronic lower respiratory diseases,301456017.0,Mixed simple and mucopurulent chronic bronchitis
Chronic lower respiratory diseases,301457014.0,Other chronic bronchitis
