Condition,MedCodeId,Term
Chronic viral hepatitis,487571000006116.0,Antigen Positive Viral Hepatitis B
Chronic viral hepatitis,1976991000006119.2,Hepatitis A total antibody test positive
Chronic viral hepatitis,1977011000006112.8,Hepatitis B surface antibody test positive
Chronic viral hepatitis,994021000006115.0,Hepatitis C positive
Chronic viral hepatitis,1761241000006114.0,[SHHAPT] Viral hepatitis B (HbsAg positive) - first diagnosis
Chronic viral hepatitis,1676391000006116.0,Hepatitis C PCR positive
Chronic viral hepatitis,1756531000006116.0,Hepatitis C resolved
Chronic viral hepatitis,1686831000000111.0,Hepatitis C resolved
Chronic viral hepatitis,820791000006114.0,Hepatitis B surface antig +ve
Chronic viral hepatitis,257841016.0,Hepatitis e antigen present
Chronic viral hepatitis,459095018.0,Hepatitis C antibody test positive
Chronic viral hepatitis,1786403019.0,Hepatitis C nucleic acid detection
Chronic viral hepatitis,1786360015.0,Hepatitis B nucleic acid detection
Chronic viral hepatitis,1488891017.0,Hepatitis C viral load
Chronic viral hepatitis,354081000000114.0,Hepatitis B viral load
Chronic viral hepatitis,1783609017.0,Hepatitis C virus genotype
Chronic viral hepatitis,1766481000006112.0,Hepatitis C viral ribonucleic acid PCR positive
Chronic viral hepatitis,1739601000000111.0,Hepatitis C PCR positive
Chronic viral hepatitis,2118321000000118.0,Hepatitis C antigen positive
Chronic viral hepatitis,350841000000119.0,Hepatitis B treatment drugs Band 1
Chronic viral hepatitis,2155841000000118.0,12 week virologic response to hepatitis C treatment
Chronic viral hepatitis,1680701000006118.0,Hepatitis status 6 months post treatment - enhanced serv adm
Chronic viral hepatitis,61061000006116.0,Viral (serum) hepatitis B
Chronic viral hepatitis,286871011.0,Viral hepatitis C without mention of hepatic coma
Chronic viral hepatitis,17930015.0,Chronic viral hepatitis
Chronic viral hepatitis,353580016.0,Chronic viral hepatitis B with delta-agent
Chronic viral hepatitis,286879013.0,Chronic viral hepatitis B without delta-agent
Chronic viral hepatitis,557071000006112.0,Chronic viral hepatitis C
Chronic viral hepatitis,1232261014.0,Chronic viral hepatitis B
Chronic viral hepatitis,557081000006110.0,"Chronic viral hepatitis, unspecified"
Chronic viral hepatitis,2146441000000112.8,Hepatitis C genotype 1
Chronic viral hepatitis,2146461000000114.0,Hepatitis C genotype 2
Chronic viral hepatitis,2146501000000114.0,Hepatitis C genotype 3
Chronic viral hepatitis,2146521000000116.8,Hepatitis C genotype 4
Chronic viral hepatitis,84516016.0,Hepatitis C
Chronic viral hepatitis,288169017.0,[X]Other chronic viral hepatitis
Chronic viral hepatitis,288170016.0,"[X]Chronic viral hepatitis, unspecified"
