Condition,MedCodeId,Term
"Diseases of oesophagus, stomach and duodenum",203211000006115.0,Prostate inflammatory diseases
"Diseases of oesophagus, stomach and duodenum",1846941000006119.2,Stage 1 hypertension (NICE - Nat Ins for Hth Clin Excl 2011)
"Diseases of oesophagus, stomach and duodenum",119655018.0,Duodenitis
"Diseases of oesophagus, stomach and duodenum",222841000000112.0,Helicobacter gastritis
"Diseases of oesophagus, stomach and duodenum",4151013.0,Allergic gastritis
"Diseases of oesophagus, stomach and duodenum",819571000006118.0,Helicobacter gastritis
"Diseases of oesophagus, stomach and duodenum",302634014.0,Gastroduodenitis unspecified
"Diseases of oesophagus, stomach and duodenum",15005019.0,Chronic gastritis
"Diseases of oesophagus, stomach and duodenum",302619015.0,Chronic atrophic gastritis
"Diseases of oesophagus, stomach and duodenum",302616010.0,Gastritis and duodenitis
"Diseases of oesophagus, stomach and duodenum",70968018.0,Irritant gastritis
"Diseases of oesophagus, stomach and duodenum",302630017.0,Corrosive gastritis
"Diseases of oesophagus, stomach and duodenum",302633015.0,Gastritis unspecified
"Diseases of oesophagus, stomach and duodenum",4525015.0,Alcoholic gastritis
"Diseases of oesophagus, stomach and duodenum",99677013.0,Gastric mucosal hypertrophy
"Diseases of oesophagus, stomach and duodenum",554831000006112.0,Chronic inflammatory gastritis
"Diseases of oesophagus, stomach and duodenum",511831000006115.0,Bile induced gastritis
"Diseases of oesophagus, stomach and duodenum",353328012.0,Duodenal erosion
"Diseases of oesophagus, stomach and duodenum",302624017.0,Other specified gastritis
"Diseases of oesophagus, stomach and duodenum",302621013.0,Chronic superficial gastritis
"Diseases of oesophagus, stomach and duodenum",339001014.0,Gastric reflux
"Diseases of oesophagus, stomach and duodenum",799341000006115.0,Gastro-oesophageal reflux with oesophagitis
"Diseases of oesophagus, stomach and duodenum",396340013.0,Reflux oesophagitis
"Diseases of oesophagus, stomach and duodenum",452891000006114.0,Acid reflux
"Diseases of oesophagus, stomach and duodenum",1221523017.0,Antireflux procedure using thoracic approach NEC
"Diseases of oesophagus, stomach and duodenum",303321000000115.0,Reflux cough
"Diseases of oesophagus, stomach and duodenum",487911000006115.0,Antireflux gastroplasty
"Diseases of oesophagus, stomach and duodenum",394129013.0,Antireflux gastropexy
"Diseases of oesophagus, stomach and duodenum",267111000006116.0,Oesophageal reflux operations
