Condition,MedCodeId,Term
"Diseases of veins, lymphatic vessels and lymph nodes, note eslewhere classified",254104013.0,O/E - varicose veins
"Diseases of veins, lymphatic vessels and lymph nodes, note eslewhere classified",2288411000000115.0,LYMQOL (Lymphoedema Quality of Life Tool) - leg
"Diseases of veins, lymphatic vessels and lymph nodes, note eslewhere classified",571551000006119.0,Cockett subfascial ligation of perforating varicose vein
"Diseases of veins, lymphatic vessels and lymph nodes, note eslewhere classified",124301000006115.0,Subfascial ligation of varicose veins
"Diseases of veins, lymphatic vessels and lymph nodes, note eslewhere classified",1221208011.0,Ligation of varicose vein of leg
"Diseases of veins, lymphatic vessels and lymph nodes, note eslewhere classified",272209014.0,Ligation of recurrent varicose vein of leg
"Diseases of veins, lymphatic vessels and lymph nodes, note eslewhere classified",394358017.0,Ligation of perforating varicose vein of leg
"Diseases of veins, lymphatic vessels and lymph nodes, note eslewhere classified",743601000006118.0,Linton ligation of perforating varicose vein of leg
"Diseases of veins, lymphatic vessels and lymph nodes, note eslewhere classified",272214013.0,Other specified ligation of varicose vein of leg
"Diseases of veins, lymphatic vessels and lymph nodes, note eslewhere classified",272215014.0,Ligation of varicose vein of leg NOS
"Diseases of veins, lymphatic vessels and lymph nodes, note eslewhere classified",360251000000111.0,Transilluminated powered phlebectomy of varicose vein of leg
"Diseases of veins, lymphatic vessels and lymph nodes, note eslewhere classified",394359013.0,Stripping of varicose vein of leg NEC
"Diseases of veins, lymphatic vessels and lymph nodes, note eslewhere classified",715361000006118.0,Mayo stripping of varicose vein
"Diseases of veins, lymphatic vessels and lymph nodes, note eslewhere classified",501531000006116.0,Babcock subcutaneous enucleation of varicose veins
"Diseases of veins, lymphatic vessels and lymph nodes, note eslewhere classified",299441000000114.0,Endovascular radiofrequency ablation of varicose vein of leg
"Diseases of veins, lymphatic vessels and lymph nodes, note eslewhere classified",311501000000116.0,Endovascular laser ablation of varicose vein of leg
"Diseases of veins, lymphatic vessels and lymph nodes, note eslewhere classified",1549411000006118.0,Radiofrequency ablation of varicose vein of leg
"Diseases of veins, lymphatic vessels and lymph nodes, note eslewhere classified",1587911000006113.0,Perc transluminal laser ablation of varicose vein of leg NEC
"Diseases of veins, lymphatic vessels and lymph nodes, note eslewhere classified",545461000006117.0,Charles correction for lymphoedema of arm
"Diseases of veins, lymphatic vessels and lymph nodes, note eslewhere classified",106311000006119.0,Thompson correction for lymphoedema
"Diseases of veins, lymphatic vessels and lymph nodes, note eslewhere classified",827101000006119.0,Homan correction for lymphoedema
"Diseases of veins, lymphatic vessels and lymph nodes, note eslewhere classified",351008011.0,Kondoleon correction for lymphoedema
"Diseases of veins, lymphatic vessels and lymph nodes, note eslewhere classified",1660201000000118.0,Lymphoedema care
"Diseases of veins, lymphatic vessels and lymph nodes, note eslewhere classified",285169016.0,Seen in varicose vein clinic
"Diseases of veins, lymphatic vessels and lymph nodes, note eslewhere classified",2326351000000113.0,Seen in lymphoedema clinic
"Diseases of veins, lymphatic vessels and lymph nodes, note eslewhere classified",2297741000000112.0,Seen in community lymphoedema clinic
"Diseases of veins, lymphatic vessels and lymph nodes, note eslewhere classified",294540013.0,Calcified lymph nodes
"Diseases of veins, lymphatic vessels and lymph nodes, note eslewhere classified",300648017.0,"Vein, lymphatic and circulatory diseases NOS"
"Diseases of veins, lymphatic vessels and lymph nodes, note eslewhere classified",65611000006114.0,Varicose veins of the legs
"Diseases of veins, lymphatic vessels and lymph nodes, note eslewhere classified",300721013.0,Varicose veins of the leg with ulcer
"Diseases of veins, lymphatic vessels and lymph nodes, note eslewhere classified",411635018.0,Varicose veins of the leg with eczema
"Diseases of veins, lymphatic vessels and lymph nodes, note eslewhere classified",489882019.0,Varicose eczema
"Diseases of veins, lymphatic vessels and lymph nodes, note eslewhere classified",300723011.0,Varicose veins of the leg with ulcer and eczema
"Diseases of veins, lymphatic vessels and lymph nodes, note eslewhere classified",300724017.0,Varicose veins of the leg with rupture
"Diseases of veins, lymphatic vessels and lymph nodes, note eslewhere classified",300727012.0,Varicose veins of leg without mention of complications
"Diseases of veins, lymphatic vessels and lymph nodes, note eslewhere classified",350683012.0,Varicose veins of leg with long saphenous vein distribution
"Diseases of veins, lymphatic vessels and lymph nodes, note eslewhere classified",350684018.0,Varicose veins of leg with short saphenous vein distribution
"Diseases of veins, lymphatic vessels and lymph nodes, note eslewhere classified",300728019.0,Infected varicose ulcer
"Diseases of veins, lymphatic vessels and lymph nodes, note eslewhere classified",457115011.0,Varicose vein of leg with phlebitis
"Diseases of veins, lymphatic vessels and lymph nodes, note eslewhere classified",914591000006113.0,Venous ulcer of leg
"Diseases of veins, lymphatic vessels and lymph nodes, note eslewhere classified",300730017.0,Varicose veins of the leg NOS
"Diseases of veins, lymphatic vessels and lymph nodes, note eslewhere classified",395804011.0,Other varicose veins
"Diseases of veins, lymphatic vessels and lymph nodes, note eslewhere classified",300795013.0,Other specified varicose veins
