Condition,MedCodeId,Term
Disorders of bone density and structure,5992471000006115.0,Osteoporosis localized to spine
Disorders of bone density and structure,1485098013.0,Hip DXA scan result osteoporotic
Disorders of bone density and structure,1485103010.0,Lumbar DXA scan result osteoporotic
Disorders of bone density and structure,668551000000116.0,Femoral neck DEXA scan result osteoporotic
Disorders of bone density and structure,1715131000006113.0,Bone sparing drug treatment offered for osteoporosis - ESA
Disorders of bone density and structure,107806013.0,Osteoporosis
Disorders of bone density and structure,312124013.0,"Osteoporosis, unspecified"
Disorders of bone density and structure,30475015.0,Senile osteoporosis
Disorders of bone density and structure,54058015.0,Postmenopausal osteoporosis
Disorders of bone density and structure,786501000006117.0,Idiopathic osteoporosis
Disorders of bone density and structure,625381000006110.0,Dissuse osteoporosis
Disorders of bone density and structure,24883018.0,Drug-induced osteoporosis
Disorders of bone density and structure,312133010.0,Postoophorectomy osteoporosis
Disorders of bone density and structure,212431000006119.0,Postsurgical malabsorption osteoporosis
Disorders of bone density and structure,312138018.0,Osteoporosis in endocrine disorders
Disorders of bone density and structure,312139014.0,Vertebral osteoporosis
Disorders of bone density and structure,453226012.0,Osteoporosis localized to spine
Disorders of bone density and structure,1484866013.0,Osteoporosis due to corticosteroids
Disorders of bone density and structure,312142015.0,Osteoporosis NOS
Disorders of bone density and structure,312156018.0,Postoophorectomy osteoporosis with pathological fracture
Disorders of bone density and structure,312157010.0,Osteoporosis of disuse with pathological fracture
Disorders of bone density and structure,212441000006112.0,Postsurgical malabsorption osteoporosis with path fracture
Disorders of bone density and structure,312159013.0,Drug-induced osteoporosis with pathological fracture
Disorders of bone density and structure,312160015.0,Idiopathic osteoporosis with pathological fracture
Disorders of bone density and structure,40881000006116.0,Osteoporosis + pathological fracture lumbar vertebrae
Disorders of bone density and structure,40891000006118.0,Osteoporosis + pathological fracture thoracic vertebrae
Disorders of bone density and structure,40871000006119.0,Osteoporosis + pathological fracture cervical vertebrae
Disorders of bone density and structure,312165013.0,Postmenopausal osteoporosis with pathological fracture
Disorders of bone density and structure,216206018.0,Fragility fracture due to unspecified osteoporosis
Disorders of bone density and structure,556881000000111.0,Minimal trauma fracture due to unspecified osteoporosis
Disorders of bone density and structure,545121000000114.0,Fragility fracture
Disorders of bone density and structure,557111000000111.0,Minimal trauma fracture
Disorders of bone density and structure,312441019.0,Osteoporotic kyphosis
Disorders of bone density and structure,312681016.0,[X]Other osteoporosis with pathological fracture
Disorders of bone density and structure,312682011.0,[X]Other osteoporosis
Disorders of bone density and structure,312683018.0,[X]Osteoporosis in other disorders classified elsewhere
Disorders of bone density and structure,312689019.0,[X]Unspecified osteoporosis with pathological fracture
