Condition,MedCodeId,Term
Diverticular disease of the intestine,886341000006110.0,Diverticular disease NOS
Diverticular disease of the intestine,851321000006115.0,Duodenal diverticulum
Diverticular disease of the intestine,857121000006111.0,Jejunal diverticula
Diverticular disease of the intestine,906061000006116.0,[RFC] Diverticulitis
Diverticular disease of the intestine,6597011000006113.0,Diverticulosis of the colon
Diverticular disease of the intestine,1.1924441000006112e+16,Diverticulosis unspecified
Diverticular disease of the intestine,1.2452641000006118e+16,Perforated diverticulum
Diverticular disease of the intestine,853491000006110.0,Perforated diverticulum
Diverticular disease of the intestine,1.190481100000612e+16,Perforated diverticulum unspecified
Diverticular disease of the intestine,1222658010.0,Appendicular diverticulum
Diverticular disease of the intestine,105596011.0,Diverticula of intestine
Diverticular disease of the intestine,1777478012.0,Diverticular disease
Diverticular disease of the intestine,1786007012.0,Diverticulosis
Diverticular disease of the intestine,303123015.0,Diverticulosis of the duodenum
Diverticular disease of the intestine,303124014.0,Diverticulosis of the jejunum
Diverticular disease of the intestine,303126011.0,Diverticulosis of the ileum
Diverticular disease of the intestine,303127019.0,Diverticulosis of the small intestine unspecified
Diverticular disease of the intestine,303128012.0,Diverticulosis of the small intestine NOS
Diverticular disease of the intestine,1786077011.0,Diverticulosis of the colon
Diverticular disease of the intestine,303131013.0,Diverticulosis of the large intestine unspecified
Diverticular disease of the intestine,303132018.0,Diverticulosis of the large intestine NOS
Diverticular disease of the intestine,626561000006118.0,Divertic dis/both sml+lge intestin without perfor or abscess
Diverticular disease of the intestine,303134017.0,Bleeding diverticulosis
Diverticular disease of the intestine,303135016.0,Diverticulosis unspecified
Diverticular disease of the intestine,303136015.0,Diverticulosis NOS
Diverticular disease of the intestine,450775010.0,Diverticulitis
Diverticular disease of the intestine,485644015.0,Diverticulitis of the duodenum
Diverticular disease of the intestine,626681000006110.0,Diverticulitis of the jejunum
Diverticular disease of the intestine,500628015.0,Diverticulitis of the ileum
Diverticular disease of the intestine,303141011.0,Diverticulitis of the small intestine unspecified
Diverticular disease of the intestine,303142016.0,Diverticulitis of the small intestine NOS
Diverticular disease of the intestine,626651000006119.0,Diverticulitis of the colon
Diverticular disease of the intestine,303143014.0,Diverticulitis of the large intestine unspecified
Diverticular disease of the intestine,303144015.0,Diverticulitis of the large intestine NOS
Diverticular disease of the intestine,303145019.0,Diverticulitis unspecified
Diverticular disease of the intestine,303146018.0,Diverticulitis NOS
Diverticular disease of the intestine,303147010.0,Perforated diverticulum
Diverticular disease of the intestine,303148017.0,Perforated diverticulum of duodenum
Diverticular disease of the intestine,303149013.0,Perforated diverticulum of jejunum
Diverticular disease of the intestine,303150013.0,Perforated diverticulum of ileum
Diverticular disease of the intestine,303151012.0,Perforated diverticulum of small intestine unspecified
Diverticular disease of the intestine,303152017.0,Perforated diverticulum of small intestine NOS
Diverticular disease of the intestine,503419012.0,Perforated diverticulum of colon
Diverticular disease of the intestine,303153010.0,Perforated diverticulum of large intestine unspecified
Diverticular disease of the intestine,303154016.0,Perforated diverticulum of large intestine NOS
Diverticular disease of the intestine,626571000006113.0,Divertic disease/both sml+lge intestin with perforat+abscess
Diverticular disease of the intestine,303156019.0,Perforated diverticulum unspecified
Diverticular disease of the intestine,303157011.0,Perforated diverticulum of intestine NOS
Diverticular disease of the intestine,353440011.0,Diverticular abscess
Diverticular disease of the intestine,303159014.0,Diverticula of the intestine NOS
