Condition,MedCodeId,Term
HIV disease,825891000006112.0,"HIV Infection With Symptoms, Not AIDS - Subsequent Presentation"
HIV disease,854381000006118.0,HIV infection
HIV disease,925451000006113.0,AIDS carrier
HIV disease,1.1989691000006112e+16,HIV disease resulting in mycobacterial infection
HIV disease,925771000006110.0,Notification of AIDS
HIV disease,257855012.0,HIV positive
HIV disease,459601018.0,HIV viral load
HIV disease,603931000000114.0,Human immunodeficiency virus viral load by log rank
HIV disease,264371011.0,AIDS carrier
HIV disease,264418012.0,Notification of AIDS
HIV disease,1715721000006111.0,HIV pos gen health check serv declind - enhanc service admin
HIV disease,143288017.0,Human immunodeficiency virus infection
HIV disease,152322017.0,Asymptomatic human immunodeficiency virus infection
HIV disease,825871000006111.0,HIV infection with persistent generalised lymphadenopathy
HIV disease,829181000006115.0,Human immunodeficiency virus with constitutional disease
HIV disease,287012016.0,Human immunodeficiency virus with neurological disease
HIV disease,829221000006112.0,Human immunodeficiency virus with secondary infection
HIV disease,287014015.0,Human immunodeficiency virus with secondary cancers
HIV disease,825731000006117.0,"HIV disease result/haematological+immunologic abnorms,NEC"
HIV disease,825841000006115.0,HIV disease resulting in unspecified malignant neoplasm
HIV disease,825861000006116.0,HIV disease resulting/unspcf infectious+parasitic disease
HIV disease,287020019.0,Human immunodeficiency virus with other clinical findings
HIV disease,287021015.0,Acquired human immunodeficiency virus infection syndrome NOS
HIV disease,287022010.0,Human immunodef virus resulting in other disease
HIV disease,287023017.0,HIV disease resulting in mycobacterial infection
HIV disease,287024011.0,HIV disease resulting in cytomegaloviral disease
HIV disease,287025012.0,HIV disease resulting in candidiasis
HIV disease,825831000006113.0,HIV disease resulting in Pneumocystis carinii pneumonia
HIV disease,1814921000006112.0,HIV disease resulting in Pneumocystis jirovecii pneumonia
HIV disease,287027016.0,HIV disease resulting in multiple infections
HIV disease,287031010.0,HIV disease resulting in multiple malignant neoplasms
HIV disease,287032015.0,HIV disease resulting in lymphoid interstitial pneumonitis
HIV disease,2622348012.0,HIV disease resulting in wasting syndrome
HIV disease,825711000006111.0,"HIV dis reslt/oth mal neopl/lymph,h'matopoetc+reltd tissu"
HIV disease,288173019.0,[X]Human immunodeficiency virus disease
HIV disease,288177018.0,[X]HIV disease resulting in other viral infections
HIV disease,389021000006114.0,[X]HIV disease resulting in multiple infections
HIV disease,389101000006117.0,[X]HIV disease resulting/other infectious+parasitic diseases
HIV disease,389001000006116.0,"[X]HIV disease result/haematological+immunologic abnorms,NEC"
HIV disease,288190013.0,[X]HIV disease resulting in other specified conditions
HIV disease,288191012.0,[X]Unspecified human immunodeficiency virus [HIV] disease
HIV disease,376571000006116.0,[X]Dementia in human immunodef virus [HIV] disease
HIV disease,317670010.0,[D]Laboratory evidence of human immunodeficiency virus [HIV]
HIV disease,337231000006117.0,[V]Asymptomatic human immunodeficency virus infection status
