Condition,MedCodeId,Term
Hypoparathyroidism,3095731000006119.0,Deficiency of parathyrin
Hypoparathyroidism,3095741000006112.0,Deficiency of PTH
Hypoparathyroidism,356185013.0,Idiopathic hypoparathyroidism
Hypoparathyroidism,297636019.0,Myopathy due to endocrine disease NOS
Hypoparathyroidism,61678012.0,Hypoparathyroidism
Hypoparathyroidism,292683010.0,Hypoparathyroidism NOS
Hypoparathyroidism,293765015.0,[X]Other hypoparathyroidism
Hypoparathyroidism,3095721000006117.0,Deficiency of parathyroid hormone
Hypoparathyroidism,3458111000006115.0,Parathyroid hormone resistant hypoparathyroidism
Hypoparathyroidism,4321831000006116.0,Adenoid excision
Hypoparathyroidism,3091221000006113.0,Adenoid operation
Hypoparathyroidism,4321861000006113.0,Ads - Adenoidectomy
Hypoparathyroidism,3458121000006111.0,Constitutional chronic hypocalcaemia
Hypoparathyroidism,4312091000006113.0,Procedure on pharynx
Hypoparathyroidism,4312101000006119.0,Pharyngeal procedure
Hypoparathyroidism,268497014.0,Guillotine tonsillectomy and adenoidectomy
Hypoparathyroidism,498253016.0,Pseudohypoparathyroidism
Hypoparathyroidism,267827011.0,Pharynx operations NOS
Hypoparathyroidism,3458091000006112.0,Constitutional chronic hypocalcemia
Hypoparathyroidism,862271000006112.0,Tonsillectomy + adenoidectomy
Hypoparathyroidism,317141019.0,[D]Tetany NOS
