Condition,MedCodeId,Term
Inflammatory diseases of the female pelvic organs,304667014.0,Salpingo-oophoritis unspecified
Inflammatory diseases of the female pelvic organs,304670013.0,Unspecified salpingitis and oophoritis NOS
Inflammatory diseases of the female pelvic organs,304664019.0,Salpingitis and oophoritis unspecified
Inflammatory diseases of the female pelvic organs,304665018.0,Oophoritis unspecified
Inflammatory diseases of the female pelvic organs,3251461000006118.0,Tubo-ovarian inflammatory disease
Inflammatory diseases of the female pelvic organs,3251491000006114.0,Salpingitis and oophoritis
Inflammatory diseases of the female pelvic organs,3736891000006113.0,Inflammation of ovary
Inflammatory diseases of the female pelvic organs,3251481000006111.0,Inflammation of ovary and fallopian tube
Inflammatory diseases of the female pelvic organs,54399018.0,Chronic oophoritis
Inflammatory diseases of the female pelvic organs,304660011.0,Chronic perisalpingitis
Inflammatory diseases of the female pelvic organs,3251471000006113.0,Salpingo-oophoritis
Inflammatory diseases of the female pelvic organs,304658014.0,Chronic perioophoritis
Inflammatory diseases of the female pelvic organs,3573011000006115.0,Follicular salpingitis
Inflammatory diseases of the female pelvic organs,2617911000006116.0,Abscess of ovary
Inflammatory diseases of the female pelvic organs,109583017.0,Salpingitis follicularis
Inflammatory diseases of the female pelvic organs,1233709015.0,Ovarian abscess
Inflammatory diseases of the female pelvic organs,304717014.0,Chronic uterine inflammatory disease NOS
Inflammatory diseases of the female pelvic organs,304715018.0,Chronic uterine inflammatory disease
Inflammatory diseases of the female pelvic organs,29947013.0,Chronic endomyometritis
Inflammatory diseases of the female pelvic organs,304723016.0,Pyometra unspecified
Inflammatory diseases of the female pelvic organs,304706013.0,Uterine inflammatory diseases excluding the cervix
Inflammatory diseases of the female pelvic organs,22462017.0,Chronic myometritis
Inflammatory diseases of the female pelvic organs,63108018.0,Chronic perimetritis
Inflammatory diseases of the female pelvic organs,3946181000006112.0,Pyometrium
Inflammatory diseases of the female pelvic organs,1.2220871000006112e+16,Chronic metritis
Inflammatory diseases of the female pelvic organs,304722014.0,Perimetritis unspecified
Inflammatory diseases of the female pelvic organs,2743801000006118.0,Metritis
Inflammatory diseases of the female pelvic organs,304686018.0,Pelvic cellulitis unspecified
Inflammatory diseases of the female pelvic organs,304687010.0,Parametritis and pelvic cellulitis NOS
Inflammatory diseases of the female pelvic organs,304683014.0,Chronic pelvic inflammatory diseases NOS
Inflammatory diseases of the female pelvic organs,304685019.0,Parametritis unspecified
Inflammatory diseases of the female pelvic organs,3007071000006112.0,Chronic abscess of parametrium
Inflammatory diseases of the female pelvic organs,5638861000006118.0,Female pelvic cellulitis
Inflammatory diseases of the female pelvic organs,3981211000006113.0,Chronic abscess of pouch of Douglas
Inflammatory diseases of the female pelvic organs,3549431000006119.0,Chronic abscess of female pelvis
Inflammatory diseases of the female pelvic organs,5102721000006114.0,Chronic PID - Chronic pelvic inflammatory disease
Inflammatory diseases of the female pelvic organs,3549441000006112.0,Chronic pelvic abscess - female
Inflammatory diseases of the female pelvic organs,304695014.0,Other chronic female pelvic peritonitis
Inflammatory diseases of the female pelvic organs,304679014.0,Chronic parametritis and pelvic cellulitis
Inflammatory diseases of the female pelvic organs,304684015.0,Parametritis and pelvic cellulitis unspecified
Inflammatory diseases of the female pelvic organs,3758221000006111.0,Chronic abscess of broad ligament
Inflammatory diseases of the female pelvic organs,1232567014.0,Chronic abscess of the female pelvis
Inflammatory diseases of the female pelvic organs,1235638013.0,Chronic abscess of the pouch of Douglas
Inflammatory diseases of the female pelvic organs,1227519016.0,Chronic abscess of the parametrium
Inflammatory diseases of the female pelvic organs,1234099011.0,Chronic abscess of the broad ligament
Inflammatory diseases of the female pelvic organs,4791531000006114.0,Chronic female pelvic peritonitis
Inflammatory diseases of the female pelvic organs,304682016.0,Female chronic pelvic peritonitis
Inflammatory diseases of the female pelvic organs,5103251000006116.0,Infective vaginitis
Inflammatory diseases of the female pelvic organs,2996451000006114.0,Inflammation of vagina
Inflammatory diseases of the female pelvic organs,6942631000006112.0,Nonspecific vaginitis
Inflammatory diseases of the female pelvic organs,1.1875901000006112e+16,Nonspecific bacterial vaginosis
Inflammatory diseases of the female pelvic organs,5103261000006119.0,Vaginal infection
Inflammatory diseases of the female pelvic organs,2729561000006119.0,Postirradiation vaginitis
Inflammatory diseases of the female pelvic organs,5103271000006114.0,PV - Vaginal infection
Inflammatory diseases of the female pelvic organs,2729571000006114.0,Post-irradiation vaginitis
Inflammatory diseases of the female pelvic organs,6942621000006114.0,NSV - Nonspecific vaginitis
Inflammatory diseases of the female pelvic organs,6942601000006116.0,BV - Bacterial vaginosis
Inflammatory diseases of the female pelvic organs,2580234013.0,Bacterial vaginitis
Inflammatory diseases of the female pelvic organs,24624012.0,Postirradiation vaginitis
