Condition,MedCodeId,Term
Malignant neoplasms,1.1989701000006112e+16,Human immunodeficiency virus with secondary cancers
Malignant neoplasms,825771000006119.0,HIV disease resulting in Kaposi's sarcoma
Malignant neoplasms,1814931000006110.0,HIV disease resulting in Kaposi sarcoma
Malignant neoplasms,879691000006112.0,Tongue carcinoma
Malignant neoplasms,1.1925691000006116e+16,"Malignant neoplasm of lip unspecified, inner aspect"
Malignant neoplasms,1.271908100000611e+16,"Malignant neoplasm of lip, oral cavity and pharynx NOS"
Malignant neoplasms,1.1925701000006116e+16,"Malignant neoplasm of lip, unspecified, lipstick area"
Malignant neoplasms,1.1925531000006118e+16,Malignant neoplasm of ventral tongue surface NOS
Malignant neoplasms,406052010.0,"Malignant neoplasm of lip, oral cavity and pharynx"
Malignant neoplasms,380095017.0,"Carcinoma of lip, oral cavity and pharynx"
Malignant neoplasms,724891000006113.0,Malignant neoplasm of lip
Malignant neoplasms,403771011.0,Carcinoma of lip
Malignant neoplasms,1228504019.0,"Malignant neoplasm of upper lip, vermilion border"
Malignant neoplasms,720801000006112.0,"Malignant neoplasm of upper lip, external"
Malignant neoplasms,288350019.0,"Malignant neoplasm of upper lip, lipstick area"
Malignant neoplasms,288351015.0,"Malignant neoplasm of upper lip, vermilion border NOS"
Malignant neoplasms,724421000006114.0,"Malignant neoplasm of lower lip, vermilion border"
Malignant neoplasms,288354011.0,"Malignant neoplasm of lower lip, external"
Malignant neoplasms,1228506017.0,"Malignant neoplasm of lower lip, lipstick area"
Malignant neoplasms,288355012.0,"Malignant neoplasm of lower lip, vermilion border NOS"
Malignant neoplasms,288363013.0,"Malignant neoplasm of upper lip, inner aspect"
Malignant neoplasms,288372017.0,"Malignant neoplasm of upper lip, frenulum"
Malignant neoplasms,288364019.0,"Malignant neoplasm of upper lip, mucosa"
Malignant neoplasms,288362015.0,"Malignant neoplasm of upper lip, oral aspect"
Malignant neoplasms,288377011.0,"Malignant neoplasm of upper lip, inner aspect NOS"
Malignant neoplasms,406399011.0,"Malignant neoplasm of lower lip, inner aspect"
Malignant neoplasms,288380012.0,"Malignant neoplasm of lower lip, buccal aspect"
Malignant neoplasms,288382016.0,"Malignant neoplasm of lower lip, frenulum"
Malignant neoplasms,724401000006116.0,"Malignant neoplasm of lower lip, mucosa"
Malignant neoplasms,724411000006118.0,"Malignant neoplasm of lower lip, oral aspect"
Malignant neoplasms,288387010.0,"Malignant neoplasm of lower lip, inner aspect NOS"
Malignant neoplasms,288388017.0,"Malignant neoplasm of lip unspecified, inner aspect"
Malignant neoplasms,724901000006112.0,"Malignant neoplasm of lip unspecified, buccal aspect"
Malignant neoplasms,288391017.0,"Malignant neoplasm of lip unspecified, mucosa"
Malignant neoplasms,288393019.0,"Malignant neoplasm of lip, oral aspect"
Malignant neoplasms,726351000006116.0,Malignant neoplasm of commissure of lip
Malignant neoplasms,453301018.0,"Malignant neoplasm of lip, unspecified"
Malignant neoplasms,288408015.0,"Malignant neoplasm of lip, unspecified, external"
Malignant neoplasms,288409011.0,"Malignant neoplasm of lip, unspecified, lipstick area"
Malignant neoplasms,288410018.0,"Malignant neoplasm of lip, vermilion border NOS"
Malignant neoplasms,721311000006114.0,Malignant neoplasm of tongue
Malignant neoplasms,727381000006110.0,Malignant neoplasm of base of tongue
Malignant neoplasms,1228509012.0,Malignant neoplasm of posterior third of tongue
Malignant neoplasms,288411019.0,Malignant neoplasm of base of tongue dorsal surface
Malignant neoplasms,288412014.0,Malignant neoplasm of fixed part of tongue NOS
Malignant neoplasms,155211011.0,Malignant neoplasm of dorsal surface of tongue
Malignant neoplasms,288417015.0,Malignant neoplasm of midline of tongue
Malignant neoplasms,288418013.0,Malignant neoplasm of dorsum of tongue NOS
Malignant neoplasms,288419017.0,"Malignant neoplasm of tongue, tip and lateral border"
Malignant neoplasms,155669014.0,Malignant neoplasm of ventral surface of tongue
Malignant neoplasms,288423013.0,Malignant neoplasm of anterior 2/3 of tongue ventral surface
Malignant neoplasms,288427014.0,Malignant neoplasm of frenulum linguae
Malignant neoplasms,288429012.0,Malignant neoplasm of ventral tongue surface NOS
Malignant neoplasms,288430019.0,Malignant neoplasm of anterior 2/3 of tongue unspecified
Malignant neoplasms,288433017.0,"Malignant neoplasm of tongue, junctional zone"
Malignant neoplasms,724881000006110.0,Malignant neoplasm of lingual tonsil
Malignant neoplasms,288434011.0,Malignant neoplasm of other sites of tongue
Malignant neoplasms,288435012.0,Malignant neoplasm of tongue NOS
Malignant neoplasms,1228510019.0,Malignant neoplasm of major salivary glands
Malignant neoplasms,723501000006117.0,Malignant neoplasm of parotid gland
Malignant neoplasms,1228513017.0,Malignant neoplasm of submandibular gland
Malignant neoplasms,721881000006113.0,Malignant neoplasm of sublingual gland
Malignant neoplasms,288437016.0,Malignant neoplasm of other major salivary glands
Malignant neoplasms,288438014.0,Malignant neoplasm of major salivary gland NOS
Malignant neoplasms,725861000006118.0,Malignant neoplasm of gum
Malignant neoplasms,720761000006115.0,Malignant neoplasm of upper gum
Malignant neoplasms,724311000006111.0,Malignant neoplasm of lower gum
Malignant neoplasms,288439018.0,Malignant neoplasm of other sites of gum
Malignant neoplasms,288440016.0,Malignant neoplasm of gum NOS
Malignant neoplasms,725611000006117.0,Malignant neoplasm of floor of mouth
Malignant neoplasms,288443019.0,Malignant neoplasm of anterior portion of floor of mouth
Malignant neoplasms,288444013.0,Malignant neoplasm of lateral portion of floor of mouth
Malignant neoplasms,288448011.0,Malignant neoplasm of other sites of floor of mouth
Malignant neoplasms,288449015.0,Malignant neoplasm of floor of mouth NOS
Malignant neoplasms,288450015.0,Malignant neoplasm of other and unspecified parts of mouth
Malignant neoplasms,727151000006117.0,Malignant neoplasm of cheek mucosa
Malignant neoplasms,727561000006112.0,Malignant neoplasm of buccal mucosa
Malignant neoplasms,288453018.0,Malignant neoplasm of vestibule of mouth
Malignant neoplasms,288454012.0,Malignant neoplasm of upper buccal sulcus
Malignant neoplasms,288459019.0,Malignant neoplasm of lower buccal sulcus
Malignant neoplasms,725101000006111.0,Malignant neoplasm of hard palate
Malignant neoplasms,721621000006110.0,Malignant neoplasm of soft palate
Malignant neoplasms,721041000006111.0,Malignant neoplasm of uvula
Malignant neoplasms,288469013.0,Malignant neoplasm of palate unspecified
Malignant neoplasms,288470014.0,Malignant neoplasm of junction of hard and soft palate
