Condition,MedCodeId,Term
"Malignant neoplasms, stated or presumed to be primary, of lymphoid, haematopoietic and related tissue",287029018.0,HIV disease resulting in Burkitt's lymphoma
"Malignant neoplasms, stated or presumed to be primary, of lymphoid, haematopoietic and related tissue",825721000006115.0,HIV dis resulting oth types of non-Hodgkin's lymphoma
"Malignant neoplasms, stated or presumed to be primary, of lymphoid, haematopoietic and related tissue",288182013.0,[X]HIV disease resulting in other non-Hodgkin's lymphoma
"Malignant neoplasms, stated or presumed to be primary, of lymphoid, haematopoietic and related tissue",1.2721521000006112e+16,Immunoproliferative neoplasm or myeloma NOS
"Malignant neoplasms, stated or presumed to be primary, of lymphoid, haematopoietic and related tissue",445586018.0,Malignant histiocytosis
"Malignant neoplasms, stated or presumed to be primary, of lymphoid, haematopoietic and related tissue",289750011.0,Malignant histiocytosis of unspecified site
"Malignant neoplasms, stated or presumed to be primary, of lymphoid, haematopoietic and related tissue",289754019.0,Malignant histiocytosis NOS
"Malignant neoplasms, stated or presumed to be primary, of lymphoid, haematopoietic and related tissue",289849019.0,Malignant neoplasms of lymphoid and histiocytic tissue NOS
"Malignant neoplasms, stated or presumed to be primary, of lymphoid, haematopoietic and related tissue",81481000006118.0,Unspec malig neop lymphoid/histiocytic of unspecified site
"Malignant neoplasms, stated or presumed to be primary, of lymphoid, haematopoietic and related tissue",81421000006117.0,Unspec malig neop lymphoid/histiocytic lymph node head/neck
"Malignant neoplasms, stated or presumed to be primary, of lymphoid, haematopoietic and related tissue",81451000006114.0,Unspec malig neop lymphoid/histiocytic of intrathoracic node
"Malignant neoplasms, stated or presumed to be primary, of lymphoid, haematopoietic and related tissue",81401000006110.0,Unspec malig neop lymphoid/histiocytic intra-abdominal nodes
"Malignant neoplasms, stated or presumed to be primary, of lymphoid, haematopoietic and related tissue",81411000006113.0,Unspec malig neop lymphoid/histiocytic lymph node axilla/arm
"Malignant neoplasms, stated or presumed to be primary, of lymphoid, haematopoietic and related tissue",81431000006119.0,Unspec malig neop lymphoid/histiocytic nodes inguinal/leg
"Malignant neoplasms, stated or presumed to be primary, of lymphoid, haematopoietic and related tissue",81441000006112.0,Unspec malig neop lymphoid/histiocytic of intrapelvic nodes
"Malignant neoplasms, stated or presumed to be primary, of lymphoid, haematopoietic and related tissue",81461000006111.0,Unspec malig neop lymphoid/histiocytic of multiple sites
"Malignant neoplasms, stated or presumed to be primary, of lymphoid, haematopoietic and related tissue",411516014.0,Immunoproliferative neoplasm
"Malignant neoplasms, stated or presumed to be primary, of lymphoid, haematopoietic and related tissue",289873010.0,Other immunoproliferative neoplasms
"Malignant neoplasms, stated or presumed to be primary, of lymphoid, haematopoietic and related tissue",289874016.0,Immunoproliferative neoplasm or myeloma NOS
"Malignant neoplasms, stated or presumed to be primary, of lymphoid, haematopoietic and related tissue",2663377018.0,"Hodgkin lymphoma, lymphocyte-rich"
"Malignant neoplasms, stated or presumed to be primary, of lymphoid, haematopoietic and related tissue",289626018.0,Hodgkin's paragranuloma of lymph nodes of multiple sites
"Malignant neoplasms, stated or presumed to be primary, of lymphoid, haematopoietic and related tissue",826901000006119.0,"Hodgkin's, lymphocytic-histiocytic pred axilla and arm"
"Malignant neoplasms, stated or presumed to be primary, of lymphoid, haematopoietic and related tissue",1.2455831000006116e+16,"[M]Hodgkin's disease, nodular sclerosis NOS"
"Malignant neoplasms, stated or presumed to be primary, of lymphoid, haematopoietic and related tissue",2730231000006116.0,Hodgkin lymphoma
