Condition,MedCodeId,Term
Multiple sclerosis (and optic neuritis),983291000006110.0,Multiple sclerosis - primary progressive
Multiple sclerosis (and optic neuritis),983311000006114.0,Multiple sclerosis - relapsing remitting
Multiple sclerosis (and optic neuritis),983301000006111.0,Multiple sclerosis - secondary progressive
Multiple sclerosis (and optic neuritis),905781000006118.0,[RFC] Multiple sclerosis
Multiple sclerosis (and optic neuritis),908811000006112.0,[RFC] Multiple sclerosis
Multiple sclerosis (and optic neuritis),979461000006111.0,Spec serv for pat with multiple sclerosis - enh serv admin
Multiple sclerosis (and optic neuritis),41398015.0,Multiple sclerosis
Multiple sclerosis (and optic neuritis),1223979019.0,Disseminated sclerosis
Multiple sclerosis (and optic neuritis),695191000006119.0,Multiple sclerosis of the brain stem
Multiple sclerosis (and optic neuritis),297177019.0,Multiple sclerosis of the spinal cord
Multiple sclerosis (and optic neuritis),297179016.0,Generalised multiple sclerosis
Multiple sclerosis (and optic neuritis),297180018.0,Exacerbation of multiple sclerosis
Multiple sclerosis (and optic neuritis),641211000000118.0,Benign multiple sclerosis
Multiple sclerosis (and optic neuritis),2692565012.0,Primary progressive multiple sclerosis
Multiple sclerosis (and optic neuritis),1682241000006111.0,Relapsing and remitting multiple sclerosis
Multiple sclerosis (and optic neuritis),2674605012.0,Secondary progressive multiple sclerosis
Multiple sclerosis (and optic neuritis),297181019.0,Multiple sclerosis NOS
