Condition,MedCodeId,Term
Osteoarthritis,5140621000006112.0,OA - Osteoarthritis of ankle
Osteoarthritis,889931000006113.0,Osteoarthritis - ankle/foot
Osteoarthritis,889881000006119.0,Osteoarthritis - elbow joint
Osteoarthritis,889901000006117.0,Osteoarthritis - hand joint
Osteoarthritis,889911000006119.0,Osteoarthritis - hip joint
Osteoarthritis,889921000006110.0,Osteoarthritis - knee joint
Osteoarthritis,889941000006115.0,Osteoarthritis - other joint
Osteoarthritis,889891000006116.0,Osteoarthritis - wrist joint
Osteoarthritis,889861000006112.0,Osteoarthritis -multiple joint
Osteoarthritis,889871000006117.0,Osteoarthritis -shoulder joint
Osteoarthritis,5140431000006112.0,Osteoarthritis of finger joint
Osteoarthritis,359420013.0,Osteoarthritis of knee
Osteoarthritis,905311000006112.0,[RFC] Osteoarthritis
Osteoarthritis,909181000006117.0,[RFC] Osteoarthritis
Osteoarthritis,309896011.0,"Localised, primary osteoarthritis of the lower leg"
Osteoarthritis,1.2732531000006116e+16,"Osteoarthritis NOS, of elbow"
Osteoarthritis,1.2719521000006116e+16,"Osteoarthritis NOS, of hip"
Osteoarthritis,1.272501100000611e+16,"Osteoarthritis NOS, of knee"
Osteoarthritis,1.272485100000612e+16,"Osteoarthritis NOS, of shoulder region"
Osteoarthritis,1.272557100000611e+16,"Osteoarthritis NOS, of the lower leg"
Osteoarthritis,1.2729761000006114e+16,"Osteoarthritis NOS, of wrist"
Osteoarthritis,1.2724861000006116e+16,"Osteoarthritis NOS, other specified site"
Osteoarthritis,1839121000006116.8,Osteoarthritis of spinal facet joint
Osteoarthritis,5140281000006114.0,Primary generalized osteoarthrosis
Osteoarthritis,255924016.0,O/E - hands - Heberden's nodes
Osteoarthritis,370721000000116.0,Delivery of rehabilitation for osteoarthritis
Osteoarthritis,41261000006115.0,Osteoarthritis and allied disorders
Osteoarthritis,1776248011.0,Osteoarthritis
Osteoarthritis,800731000006117.0,Generalised osteoarthritis - OA
Osteoarthritis,309862016.0,Generalised osteoarthritis of unspecified site
Osteoarthritis,400175010.0,Generalised osteoarthritis of the hand
Osteoarthritis,819391000006114.0,Heberdens' nodes
Osteoarthritis,523471000006111.0,Bouchards' nodes
Osteoarthritis,800751000006112.0,Generalised osteoarthritis of multiple sites
Osteoarthritis,523461000006116.0,Bouchard's nodes with arthropathy
Osteoarthritis,359399017.0,Primary generalized osteoarthrosis
Osteoarthritis,309876015.0,Secondary multiple arthrosis
Osteoarthritis,309877012.0,Erosive osteoarthrosis
Osteoarthritis,309878019.0,Heberden's nodes with arthropathy
Osteoarthritis,309880013.0,Generalised osteoarthritis NOS
Osteoarthritis,309881012.0,"Localised, primary osteoarthritis"
Osteoarthritis,309884016.0,"Localised, primary osteoarthritis of unspecified site"
Osteoarthritis,309885015.0,"Localised, primary osteoarthritis of the shoulder region"
