Condition,MedCodeId,Term
Other spirochaetal infections,309521015.0,Arthropathy associated with other bacterial disease NOS
Other spirochaetal infections,3280481000006114.0,Bacterial arthritis
Other spirochaetal infections,2875141000006113.0,Steere's disease
Other spirochaetal infections,493141000006114.0,"Arthropathy with other bacterial disease, of ankle and foot"
Other spirochaetal infections,493161000006113.0,"Arthropathy with other bacterial disease, of hand"
Other spirochaetal infections,493201000006119.0,"Arthropathy with other bacterial disease, of pelvic/thigh"
Other spirochaetal infections,493211000006116.0,"Arthropathy with other bacterial disease, of shoulder region"
Other spirochaetal infections,493221000006112.0,"Arthropathy with other bacterial disease, of unspec site"
Other spirochaetal infections,493231000006110.0,"Arthropathy with other bacterial disease, of upper arm"
Other spirochaetal infections,533231000006112.0,Canal of Guyon release
Other spirochaetal infections,648201000006115.0,Erythema chronicum migrans
Other spirochaetal infections,7733351000006110.0,Infection of central nervous system caused by Borrelia burgdorferi
Other spirochaetal infections,3631811000006115.0,Erythema chronica migrans
Other spirochaetal infections,7771461000006117.0,Cutaneous B-cell pseudolymphoma caused by Borrelia
Other spirochaetal infections,3631841000006116.0,Erythema chronicum migrans skin condition
Other spirochaetal infections,3280501000006116.0,Arthritis due to bacterial infection
Other spirochaetal infections,266189018.0,Peripheral nerve operations NOS
Other spirochaetal infections,296802015.0,Other specified bacterial meningitis NOS
Other spirochaetal infections,493151000006111.0,"Arthropathy with other bacterial disease, of forearm"
Other spirochaetal infections,493171000006118.0,"Arthropathy with other bacterial disease, of lower leg"
Other spirochaetal infections,4646201000006110.0,Guyon's canal decompression
Other spirochaetal infections,2875161000006112.0,Infection due to Borrelia burgdorferi sensu lato
Other spirochaetal infections,39462014.0,Lyme disease
Other spirochaetal infections,129217018.0,Lyme carditis
Other spirochaetal infections,485678014.0,Arthritis in Lyme disease
Other spirochaetal infections,2955528012.0,Erythema migrans
Other spirochaetal infections,2390131000000110.0,Borrelial lymphocytoma
Other spirochaetal infections,287470012.0,Other spirochaetal infection NOS
Other spirochaetal infections,1927231000006112.8,Lyme neuroborreliosis
Other spirochaetal infections,3266171000006116.0,Tarsal tunnel decompression
Other spirochaetal infections,296803013.0,Bacterial meningitis NOS
Other spirochaetal infections,308724016.0,Erythematous conditions NOS
Other spirochaetal infections,309505013.0,Arthropathy associated with other bacterial diseases
Other spirochaetal infections,481640018.0,Lyme borreliosis
Other spirochaetal infections,56659013.0,Lyme arthritis
Other spirochaetal infections,80383012.0,Septic arthritis
Other spirochaetal infections,399921010.0,Other erythematous conditions NOS
