Condition,MedCodeId,Term
Polyneuropathies and other disorders of the peripheral nervous system,297542011.0,Polyneuropathy in disseminated lupus erythematosus
Polyneuropathies and other disorders of the peripheral nervous system,84531000006118.0,Type 2 diabetes mellitus with mononeuropathy
Polyneuropathies and other disorders of the peripheral nervous system,84901000006117.0,Type II diabetes mellitus with mononeuropathy
Polyneuropathies and other disorders of the peripheral nervous system,84971000006111.0,Type II diabetes mellitus with polyneuropathy
Polyneuropathies and other disorders of the peripheral nervous system,84941000006115.0,Type II diabetes mellitus with neuropathic arthropathy
Polyneuropathies and other disorders of the peripheral nervous system,84571000006115.0,Type 2 diabetes mellitus with neuropathic arthropathy
Polyneuropathies and other disorders of the peripheral nervous system,914221000006113.0,Type 2 diabetes mellitus with mononeuropathy
Polyneuropathies and other disorders of the peripheral nervous system,914231000006111.0,Type II diabetes mellitus with mononeuropathy
Polyneuropathies and other disorders of the peripheral nervous system,914241000006118.0,Type 2 diabetes mellitus with polyneuropathy
Polyneuropathies and other disorders of the peripheral nervous system,914251000006116.0,Type II diabetes mellitus with polyneuropathy
Polyneuropathies and other disorders of the peripheral nervous system,459313016.0,Type 2 diabetes mellitus with neuropathic arthropathy
Polyneuropathies and other disorders of the peripheral nervous system,881501000006110.0,Diabetes + neuropathy
Polyneuropathies and other disorders of the peripheral nervous system,4808921000006113.0,Diabetic neuropathic arthropathy
Polyneuropathies and other disorders of the peripheral nervous system,913981000006115.0,Insulin dependent diab mell with neuropathic arthropathy
Polyneuropathies and other disorders of the peripheral nervous system,913771000006115.0,Insulin dependent diabetes mellitus with mononeuropathy
Polyneuropathies and other disorders of the peripheral nervous system,84351000006117.0,Type 1 diabetes mellitus with mononeuropathy
Polyneuropathies and other disorders of the peripheral nervous system,84421000006115.0,Type 1 diabetes mellitus with polyneuropathy
Polyneuropathies and other disorders of the peripheral nervous system,459295013.0,Type I diabetes mellitus with neuropathic arthropathy
Polyneuropathies and other disorders of the peripheral nervous system,84791000006110.0,Type I diabetes mellitus with polyneuropathy
Polyneuropathies and other disorders of the peripheral nervous system,345487013.0,Diabetes mellitus with neuropathy
Polyneuropathies and other disorders of the peripheral nervous system,616451000006110.0,Diabetes mellitus with polyneuropathy
Polyneuropathies and other disorders of the peripheral nervous system,771371000006118.0,Insulin dependent diabetes mellitus with mononeuropathy
Polyneuropathies and other disorders of the peripheral nervous system,771401000006115.0,Insulin dependent diabetes mellitus with polyneuropathy
Polyneuropathies and other disorders of the peripheral nervous system,772131000006111.0,Insulin dependent diab mell with neuropathic arthropathy
Polyneuropathies and other disorders of the peripheral nervous system,84761000006119.0,Type I diabetes mellitus with neuropathic arthropathy
Polyneuropathies and other disorders of the peripheral nervous system,84391000006111.0,Type 1 diabetes mellitus with neuropathic arthropathy
Polyneuropathies and other disorders of the peripheral nervous system,280521000006117.0,Non-insulin dependent diabetes mellitus with mononeuropathy
Polyneuropathies and other disorders of the peripheral nervous system,280541000006112.0,Non-insulin dependent diabetes mellitus with polyneuropathy
Polyneuropathies and other disorders of the peripheral nervous system,281181000006116.0,Non-insulin dependent d m with neuropathic arthropathy
Polyneuropathies and other disorders of the peripheral nervous system,913781000006117.0,Type 1 diabetes mellitus with mononeuropathy
Polyneuropathies and other disorders of the peripheral nervous system,913811000006115.0,Type 1 diabetes mellitus with polyneuropathy
Polyneuropathies and other disorders of the peripheral nervous system,913821000006111.0,Type I diabetes mellitus with polyneuropathy
Polyneuropathies and other disorders of the peripheral nervous system,459296014.0,Type 1 diabetes mellitus with neuropathic arthropathy
Polyneuropathies and other disorders of the peripheral nervous system,297492014.0,Diabetic mononeuritis multiplex
Polyneuropathies and other disorders of the peripheral nervous system,297510017.0,Diabetic mononeuritis NOS
Polyneuropathies and other disorders of the peripheral nervous system,214921000006116.0,Polyneuropathy in diabetes
Polyneuropathies and other disorders of the peripheral nervous system,82373015.0,Diabetic polyneuropathy
Polyneuropathies and other disorders of the peripheral nervous system,345486016.0,Diabetic neuropathy
Polyneuropathies and other disorders of the peripheral nervous system,297551015.0,Chronic painful diabetic neuropathy
Polyneuropathies and other disorders of the peripheral nervous system,297552010.0,Asymptomatic diabetic neuropathy
Polyneuropathies and other disorders of the peripheral nervous system,345492010.0,Diabetic mononeuropathy
Polyneuropathies and other disorders of the peripheral nervous system,309179013.0,Neuropathic diabetic ulcer - foot
Polyneuropathies and other disorders of the peripheral nervous system,616971000006114.0,Diabetic Charcot arthropathy
Polyneuropathies and other disorders of the peripheral nervous system,883141000006119.0,Mononeuritis - upper limb
Polyneuropathies and other disorders of the peripheral nervous system,891791000006110.0,Neuralgia/neurit.-pelvis/thigh
Polyneuropathies and other disorders of the peripheral nervous system,891861000006112.0,Neuralgia/neuritis - NOS
Polyneuropathies and other disorders of the peripheral nervous system,891811000006114.0,Neuralgia/neuritis - fore arm
Polyneuropathies and other disorders of the peripheral nervous system,891801000006111.0,Neuralgia/neuritis - hand
Polyneuropathies and other disorders of the peripheral nervous system,891781000006112.0,Neuralgia/neuritis - lower leg
Polyneuropathies and other disorders of the peripheral nervous system,891831000006115.0,Neuralgia/neuritis - shoulder
Polyneuropathies and other disorders of the peripheral nervous system,891821000006118.0,Neuralgia/neuritis - upper arm
Polyneuropathies and other disorders of the peripheral nervous system,891771000006114.0,Neuralgia/neuritis -ankle/foot
Polyneuropathies and other disorders of the peripheral nervous system,891851000006110.0,Neuralgia/neuritis NOS
Polyneuropathies and other disorders of the peripheral nervous system,883151000006117.0,Other mononeuritis -lower limb
Polyneuropathies and other disorders of the peripheral nervous system,2533651000006115.0,PHN - Post-herpetic neuralgia
Polyneuropathies and other disorders of the peripheral nervous system,5008921000006119.0,Retrobulbar neuritis
Polyneuropathies and other disorders of the peripheral nervous system,883541000006113.0,Retrobulbar neuritis
Polyneuropathies and other disorders of the peripheral nervous system,905761000006111.0,[RFC] Neuralgia
Polyneuropathies and other disorders of the peripheral nervous system,2626141000006112.0,Alcoholic polyneuropathy
Polyneuropathies and other disorders of the peripheral nervous system,1672021000006115.0,Axonal sensorimotor neuropathy
Polyneuropathies and other disorders of the peripheral nervous system,1.1925181000006112e+16,Median nerve lesions NOS
Polyneuropathies and other disorders of the peripheral nervous system,1.2717011000006112e+16,Mononeuritis of upper limb and mononeuritis multiplex
Polyneuropathies and other disorders of the peripheral nervous system,2984161000006113.0,Morton's metatarsalgia
Polyneuropathies and other disorders of the peripheral nervous system,1724321000006115.0,Neuropathic foot ulcer
Polyneuropathies and other disorders of the peripheral nervous system,1.273015100000612e+16,Other mononeuritis lower limb
Polyneuropathies and other disorders of the peripheral nervous system,1.2719611000006112e+16,Peripheral nervous system disorder NOS
Polyneuropathies and other disorders of the peripheral nervous system,3743811000006112.0,Postherpetic polyneuropathy
Polyneuropathies and other disorders of the peripheral nervous system,913791000006119.0,Type I diabetes mellitus with mononeuropathy
Polyneuropathies and other disorders of the peripheral nervous system,211231000006113.0,Postherpetic polyneuropathy
Polyneuropathies and other disorders of the peripheral nervous system,52697011.0,Mumps polyneuropathy
Polyneuropathies and other disorders of the peripheral nervous system,84721000006113.0,Type I diabetes mellitus with mononeuropathy
Polyneuropathies and other disorders of the peripheral nervous system,84601000006110.0,Type 2 diabetes mellitus with polyneuropathy
Polyneuropathies and other disorders of the peripheral nervous system,913801000006118.0,Insulin dependent diabetes mellitus with polyneuropathy
Polyneuropathies and other disorders of the peripheral nervous system,459312014.0,Type II diabetes mellitus with neuropathic arthropathy
Polyneuropathies and other disorders of the peripheral nervous system,294662017.0,Korsakov's alcoholic psychosis with peripheral neuritis
Polyneuropathies and other disorders of the peripheral nervous system,297470010.0,Mononeuritis of upper limb and mononeuritis multiplex
Polyneuropathies and other disorders of the peripheral nervous system,297475017.0,Other median nerve lesions
Polyneuropathies and other disorders of the peripheral nervous system,29902012.0,Median nerve neuritis
Polyneuropathies and other disorders of the peripheral nervous system,297477013.0,Median nerve compression in forearm
Polyneuropathies and other disorders of the peripheral nervous system,297479011.0,Median nerve lesions NOS
Polyneuropathies and other disorders of the peripheral nervous system,399414019.0,Ulnar nerve lesions
Polyneuropathies and other disorders of the peripheral nervous system,345456011.0,Neuritis ulnar nerve
Polyneuropathies and other disorders of the peripheral nervous system,93418010.0,Cubital tunnel syndrome
Polyneuropathies and other disorders of the peripheral nervous system,97213016.0,Tardy ulnar nerve palsy
Polyneuropathies and other disorders of the peripheral nervous system,297485016.0,Canal of Guyon compression
Polyneuropathies and other disorders of the peripheral nervous system,413630015.0,Ulnar nerve entrapment
Polyneuropathies and other disorders of the peripheral nervous system,475273015.0,Ulnar neuropathy
Polyneuropathies and other disorders of the peripheral nervous system,297487012.0,Ulnar nerve lesion NOS
Polyneuropathies and other disorders of the peripheral nervous system,297488019.0,Radial nerve lesions
Polyneuropathies and other disorders of the peripheral nervous system,297489010.0,Sensory branch of radial nerve lesion
Polyneuropathies and other disorders of the peripheral nervous system,297490018.0,Posterior interosseous nerve lesion
Polyneuropathies and other disorders of the peripheral nervous system,297491019.0,Radial nerve lesion NOS
Polyneuropathies and other disorders of the peripheral nervous system,2536776010.0,Causalgia
Polyneuropathies and other disorders of the peripheral nervous system,50702011.0,Mononeuritis multiplex
Polyneuropathies and other disorders of the peripheral nervous system,368388010.0,Median nerve entrapment
Polyneuropathies and other disorders of the peripheral nervous system,297493016.0,Other upper limb mononeuritis
Polyneuropathies and other disorders of the peripheral nervous system,297494010.0,Mononeuritis upper limb NOS
Polyneuropathies and other disorders of the peripheral nervous system,698001000006119.0,Mononeuritis lower limb
Polyneuropathies and other disorders of the peripheral nervous system,490703010.0,Sciatic nerve lesion
Polyneuropathies and other disorders of the peripheral nervous system,140945016.0,Meralgia paraesthetica
Polyneuropathies and other disorders of the peripheral nervous system,483022012.0,Femoral nerve lesions
Polyneuropathies and other disorders of the peripheral nervous system,1778567016.0,Common peroneal nerve lesion
Polyneuropathies and other disorders of the peripheral nervous system,1786691018.0,Lateral popliteal nerve lesion
Polyneuropathies and other disorders of the peripheral nervous system,1778686017.0,Tibial nerve lesion
Polyneuropathies and other disorders of the peripheral nervous system,712431000006111.0,Medial popliteal nerve lesion
Polyneuropathies and other disorders of the peripheral nervous system,78977014.0,Tarsal tunnel syndrome
Polyneuropathies and other disorders of the peripheral nervous system,50335015.0,Morton's metatarsalgia
Polyneuropathies and other disorders of the peripheral nervous system,50336019.0,Morton's neuralgia
Polyneuropathies and other disorders of the peripheral nervous system,474333019.0,Superficial peroneal nerve lesion
Polyneuropathies and other disorders of the peripheral nervous system,297504017.0,Deep peroneal nerve lesion
Polyneuropathies and other disorders of the peripheral nervous system,297505016.0,Other mononeuritis lower limb
Polyneuropathies and other disorders of the peripheral nervous system,297506015.0,Unspecified mononeuritis lower limb
Polyneuropathies and other disorders of the peripheral nervous system,399415018.0,Mononeuritis of unspecified site NOS
Polyneuropathies and other disorders of the peripheral nervous system,187824013.0,Dejerine-Sottas disease
Polyneuropathies and other disorders of the peripheral nervous system,84201015.0,Charcot-Marie-Tooth disease
Polyneuropathies and other disorders of the peripheral nervous system,1846861000006111.2,Charcot-Marie-Tooth syndrome
Polyneuropathies and other disorders of the peripheral nervous system,42524012.0,Refsum's disease
Polyneuropathies and other disorders of the peripheral nervous system,55426011.0,Idiopathic progressive polyneuropathy
Polyneuropathies and other disorders of the peripheral nervous system,70659018.0,Polyneuropathy
Polyneuropathies and other disorders of the peripheral nervous system,71168014.0,Peripheral neuropathy
Polyneuropathies and other disorders of the peripheral nervous system,297528015.0,Other idiopathic peripheral neuropathy
Polyneuropathies and other disorders of the peripheral nervous system,297530018.0,Other idiopathic peripheral neuropathy NOS
Polyneuropathies and other disorders of the peripheral nervous system,399416017.0,Inflammatory and toxic neuropathy
Polyneuropathies and other disorders of the peripheral nervous system,99281000006115.0,Toxic neuropathy
Polyneuropathies and other disorders of the peripheral nervous system,68321016.0,Guillain-Barre syndrome
Polyneuropathies and other disorders of the peripheral nervous system,211331000006117.0,Postinfectious polyneuritis
Polyneuropathies and other disorders of the peripheral nervous system,478396017.0,Miller-Fisher syndrome
Polyneuropathies and other disorders of the peripheral nervous system,297540015.0,Polyneuropathy in collagen vascular disease
Polyneuropathies and other disorders of the peripheral nervous system,297543018.0,Polyneuropathy in polyarteritis nodosa
Polyneuropathies and other disorders of the peripheral nervous system,297545013.0,Polyneuropathy in collagen vascular disease NOS
Polyneuropathies and other disorders of the peripheral nervous system,1234144017.0,Polyneuropathy in malignant disease
Polyneuropathies and other disorders of the peripheral nervous system,297553017.0,Polyneuropathy in disease EC
Polyneuropathies and other disorders of the peripheral nervous system,297554011.0,Polyneuropathy in amyloidosis
Polyneuropathies and other disorders of the peripheral nervous system,504101018.0,Polyneuropathy in beriberi
Polyneuropathies and other disorders of the peripheral nervous system,297555012.0,Polyneuropathy in vitamin B deficiency
Polyneuropathies and other disorders of the peripheral nervous system,345519017.0,Polyneuropathy in diphtheria
Polyneuropathies and other disorders of the peripheral nervous system,297557016.0,Polyneuropathy in herpes zoster
Polyneuropathies and other disorders of the peripheral nervous system,297558014.0,Polyneuropathy in hypoglycaemia
Polyneuropathies and other disorders of the peripheral nervous system,215001000006114.0,Polyneuropathy in mumps
Polyneuropathies and other disorders of the peripheral nervous system,297564019.0,Polyneuropathy in porphyria
Polyneuropathies and other disorders of the peripheral nervous system,297566017.0,Polyneuropathy in sarcoidosis
Polyneuropathies and other disorders of the peripheral nervous system,215061000006110.0,Polyneuropathy in uraemia
Polyneuropathies and other disorders of the peripheral nervous system,297569012.0,Polyneuropathy in disease NOS
Polyneuropathies and other disorders of the peripheral nervous system,14103017.0,Alcoholic polyneuropathy
Polyneuropathies and other disorders of the peripheral nervous system,214871000006114.0,Polyneuropathy due to drugs
Polyneuropathies and other disorders of the peripheral nervous system,297571012.0,Other toxic agent polyneuropathy
Polyneuropathies and other disorders of the peripheral nervous system,345580013.0,Intercostal neuropathy
Polyneuropathies and other disorders of the peripheral nervous system,778621000006116.0,"Inflammatory polyneuropathy, unspecified"
Polyneuropathies and other disorders of the peripheral nervous system,297574016.0,Other toxic or inflammatory neuropathy
Polyneuropathies and other disorders of the peripheral nervous system,297575015.0,Serum neuropathy
Polyneuropathies and other disorders of the peripheral nervous system,345594014.0,Axonal sensorimotor neuropathy
Polyneuropathies and other disorders of the peripheral nervous system,399418016.0,Toxic or inflammatory neuropathy NOS
Polyneuropathies and other disorders of the peripheral nervous system,450558019.0,Polyneuropathy unspecified
Polyneuropathies and other disorders of the peripheral nervous system,297656018.0,Other specified disorders of peripheral nervous system
Polyneuropathies and other disorders of the peripheral nervous system,297658017.0,Peripheral nervous system disorder NOS
Polyneuropathies and other disorders of the peripheral nervous system,299306010.0,[X]Paraneoplastic neuromyopathy and neuropathy
Polyneuropathies and other disorders of the peripheral nervous system,299358016.0,[X]Other lesions of median nerve
Polyneuropathies and other disorders of the peripheral nervous system,299359012.0,[X]Other mononeuropathies of upper limb
Polyneuropathies and other disorders of the peripheral nervous system,299360019.0,[X]Other mononeuropathies of lower limb
Polyneuropathies and other disorders of the peripheral nervous system,299361015.0,[X]Other specified mononeuropathies
Polyneuropathies and other disorders of the peripheral nervous system,299362010.0,[X]Other mononeuropathies in diseases classified elsewhere
Polyneuropathies and other disorders of the peripheral nervous system,422921000006119.0,[X]Polyneuropathies & other disord of peripheral nerv syst
Polyneuropathies and other disorders of the peripheral nervous system,299365012.0,[X]Other inflammatory polyneuropathies
Polyneuropathies and other disorders of the peripheral nervous system,299366013.0,[X]Other specified polyneuropathies
Polyneuropathies and other disorders of the peripheral nervous system,422971000006118.0,[X]Polyneuropathy/other endocrine+metabolic diseases CE
Polyneuropathies and other disorders of the peripheral nervous system,422981000006115.0,[X]Polyneuropathy/other musculoskeletal disorders CE
Polyneuropathies and other disorders of the peripheral nervous system,299375010.0,"[X]Inflammatory polyneuropathy, unspecified"
Polyneuropathies and other disorders of the peripheral nervous system,359071000006116.0,"[X] Polyneuropathy, unspecified"
Polyneuropathies and other disorders of the peripheral nervous system,498448012.0,Neuropathic foot ulcer
Polyneuropathies and other disorders of the peripheral nervous system,500766011.0,Neuropathic arthropathy
Polyneuropathies and other disorders of the peripheral nervous system,675631000006115.0,Neuropathic arthritis
Polyneuropathies and other disorders of the peripheral nervous system,311114015.0,Neuropathic spondylopathy
Polyneuropathies and other disorders of the peripheral nervous system,158497012.0,Ulnar neuritis
Polyneuropathies and other disorders of the peripheral nervous system,322645015.0,Neuropathic foot blister
