Condition,MedCodeId,Term
Schizophrenia,1974511000006112.8,"Paranoid schizophrenia, complete remission"
Schizophrenia,8232521000006118.0,Paranoid state in remission
Schizophrenia,882291000006111.0,Schizophrenic psychoses
Schizophrenia,882281000006113.0,Schizophrenic psychoses NOS
Schizophrenia,1.2759121000006116e+16,[X]Chronic hallucinatory psychosis
Schizophrenia,1.2759131000006116e+16,[X]Other nonorganic psychotic disorders
Schizophrenia,1.2480451000006112e+16,"[X]Schizophrenia, schizotypal and delusional disorders"
Schizophrenia,492821000000113.0,Schizophrenia resolved
Schizophrenia,492881000000114.0,Psychosis resolved
Schizophrenia,215691000006112.0,Poor insight into psychotic condition
Schizophrenia,294724012.0,Non-organic psychoses
Schizophrenia,294725013.0,Schizophrenic disorders
Schizophrenia,294727017.0,Simple schizophrenia
Schizophrenia,294726014.0,Schizophrenia simplex
Schizophrenia,294728010.0,Unspecified schizophrenia
Schizophrenia,28758018.0,Subchronic schizophrenia
Schizophrenia,1234861017.0,Chronic schizophrenic
Schizophrenia,9225016.0,Schizophrenia in remission
Schizophrenia,294734015.0,Simple schizophrenia NOS
Schizophrenia,819351000006115.0,Hebephrenic schizophrenia
Schizophrenia,294735019.0,Unspecified hebephrenic schizophrenia
Schizophrenia,294740010.0,Hebephrenic schizophrenia in remission
Schizophrenia,294741014.0,Hebephrenic schizophrenia NOS
Schizophrenia,294742019.0,Catatonic schizophrenia
Schizophrenia,294744018.0,Unspecified catatonic schizophrenia
Schizophrenia,71539017.0,Subchronic catatonic schizophrenia
Schizophrenia,178723016.0,Catatonic schizophrenia in remission
Schizophrenia,294753013.0,Catatonic schizophrenia NOS
Schizophrenia,107878010.0,Paranoid schizophrenia
Schizophrenia,294754019.0,Unspecified paranoid schizophrenia
Schizophrenia,132503015.0,Subchronic paranoid schizophrenia
Schizophrenia,52897013.0,Chronic paranoid schizophrenia
Schizophrenia,105029017.0,Paranoid schizophrenia in remission
Schizophrenia,294760019.0,Paranoid schizophrenia NOS
Schizophrenia,294764011.0,Latent schizophrenia
Schizophrenia,294765012.0,Unspecified latent schizophrenia
Schizophrenia,294767016.0,Chronic latent schizophrenia
Schizophrenia,294770017.0,Latent schizophrenia in remission
Schizophrenia,294771018.0,Latent schizophrenia NOS
Schizophrenia,43595011.0,Residual schizophrenia
Schizophrenia,155141000006116.0,Schizo-affective schizophrenia
Schizophrenia,294773015.0,Cyclic schizophrenia
Schizophrenia,78531000006116.0,Unspecified schizo-affective schizophrenia
Schizophrenia,123611000006110.0,Subchronic schizo-affective schizophrenia
Schizophrenia,556631000006116.0,Chronic schizo-affective schizophrenia
Schizophrenia,155151000006119.0,Schizo-affective schizophrenia in remission
Schizophrenia,155161000006117.0,Schizo-affective schizophrenia NOS
Schizophrenia,401764014.0,Other schizophrenia
Schizophrenia,294788013.0,Cenesthopathic schizophrenia
Schizophrenia,1219653018.0,Atypical schizophrenia
Schizophrenia,294787015.0,Coenesthopathic schizophrenia
Schizophrenia,294789017.0,Other schizophrenia NOS
Schizophrenia,294790014.0,Schizophrenia NOS
Schizophrenia,243361000006117.0,Paranoid states
Schizophrenia,294904016.0,Simple paranoid state
Schizophrenia,401768012.0,Chronic paranoid psychosis
Schizophrenia,161371000006118.0,Sander's disease
Schizophrenia,44335019.0,Paraphrenia
Schizophrenia,294910016.0,Other paranoid states
Schizophrenia,294911017.0,Paranoia querulans
Schizophrenia,294912012.0,Other paranoid states NOS
Schizophrenia,294913019.0,Paranoid psychosis NOS
Schizophrenia,294949018.0,Other specified non-organic psychoses
Schizophrenia,401771016.0,Non-organic psychosis NOS
Schizophrenia,296022017.0,"[X]Schizophrenia, schizotypal and delusional disorders"
Schizophrenia,425601000006114.0,[X]Schizophrenia
Schizophrenia,418221000006118.0,[X]Paranoid schizophrenia
Schizophrenia,418261000006112.0,[X]Paraphrenic schizophrenia
Schizophrenia,388741000006110.0,[X]Hebephrenic schizophrenia
Schizophrenia,378051000006119.0,[X]Disorganised schizophrenia
Schizophrenia,370451000006110.0,[X]Catatonic schizophrenia
Schizophrenia,370461000006112.0,[X]Catatonic stupor
Schizophrenia,425641000006111.0,[X]Schizophrenic catalepsy
Schizophrenia,425651000006113.0,[X]Schizophrenic catatonia
Schizophrenia,294743012.0,[X]Schizophrenic flexibilatis cerea
Schizophrenia,296031017.0,[X]Undifferentiated schizophrenia
Schizophrenia,366571000006114.0,[X]Atypical schizophrenia
Schizophrenia,424841000006113.0,[X]Residual schizophrenia
Schizophrenia,371031000006115.0,[X]Chronic undifferentiated schizophrenia
Schizophrenia,426881000006111.0,[X]Simple schizophrenia
Schizophrenia,401855010.0,[X]Other schizophrenia
Schizophrenia,425681000006117.0,[X]Schizophreniform disord NOS
Schizophrenia,425711000006116.0,[X]Schizophrenifrm psychos NOS
Schizophrenia,296040018.0,"[X]Schizophrenia, unspecified"
Schizophrenia,401856011.0,[X]Schizotypal disorder
Schizophrenia,395031000006114.0,[X]Latent schizophrenic reaction
Schizophrenia,367951000006113.0,[X]Borderline schizophrenia
Schizophrenia,395021000006111.0,[X]Latent schizophrenia
Schizophrenia,423271000006116.0,[X]Prepsychotic schizophrenia
Schizophrenia,423471000006117.0,[X]Prodromal schizophrenia
Schizophrenia,423731000006114.0,[X]Pseudoneurotic schizophrenia
Schizophrenia,423741000006116.0,[X]Pseudopsychopathic schizophrenia
Schizophrenia,419861000006117.0,[X]Persistent delusional disorders
