Condition,MedCodeId,Term
Spinal degenerative disease,890841000006118.0,Cervical spond.- no myelopathy
Spinal degenerative disease,890851000006116.0,Cervical spond.with myelopathy
Spinal degenerative disease,890861000006119.0,Lumbosacral spond + myelopathy
Spinal degenerative disease,318465011.0,"Open fracture lumbar vertebra, spondylolysis"
Spinal degenerative disease,890831000006111.0,Spondyloses
Spinal degenerative disease,990511000006110.0,Spondyloses
Spinal degenerative disease,1.2759411000006116e+16,Osteoarthritis of spine NOS
Spinal degenerative disease,1.272488100000611e+16,Spondylosis NOS
Spinal degenerative disease,297150011.0,Myelopathy due to spondylosis
Spinal degenerative disease,297465015.0,Nerve root and plexus compressions in spondylosis
Spinal degenerative disease,400266016.0,Spondylosis and allied disorders
Spinal degenerative disease,1209790019.0,Arthritis of spine
Spinal degenerative disease,18181000006118.0,Osteoarthritis of spine
Spinal degenerative disease,400267013.0,Cervical spondylosis without myelopathy
Spinal degenerative disease,1481870016.0,Cervical spondylosis
Spinal degenerative disease,219611000000112.0,Osteoarthritis cervical spine
Spinal degenerative disease,311055019.0,Single-level cervical spondylosis without myelopathy
Spinal degenerative disease,311056018.0,Two-level cervical spondylosis without myelopathy
Spinal degenerative disease,311057010.0,Multiple-level cervical spondylosis without myelopathy
Spinal degenerative disease,108431018.0,Cervical spondylosis with myelopathy
Spinal degenerative disease,311061016.0,Single-level cervical spondylosis with myelopathy
Spinal degenerative disease,311062011.0,Two-level cervical spondylosis with myelopathy
Spinal degenerative disease,311063018.0,Multiple-level cervical spondylosis with myelopathy
Spinal degenerative disease,400268015.0,Thoracic spondylosis without myelopathy
Spinal degenerative disease,1481872012.0,Thoracic spondylosis
Spinal degenerative disease,311068010.0,Single-level thoracic spondylosis without myelopathy
Spinal degenerative disease,311069019.0,Two-level thoracic spondylosis without myelopathy
Spinal degenerative disease,311070018.0,Multiple-level thoracic spondylosis without myelopathy
Spinal degenerative disease,400269011.0,Dorsal spondylosis without myelopathy
Spinal degenerative disease,19006012.0,Thoracic spondylosis with myelopathy
Spinal degenerative disease,311072014.0,Single-level thoracic spondylosis with myelopathy
Spinal degenerative disease,311074010.0,Multiple-level thoracic spondylosis with myelopathy
Spinal degenerative disease,80324016.0,Lumbosacral spondylosis without myelopathy
Spinal degenerative disease,611421000006111.0,Degeneration of lumbar spine
Spinal degenerative disease,359432012.0,Lumbar spondylosis
