Condition,MedCodeId,Term
Systemic connective tissue disorders,2534171012.0,Giant cell arteritis
Systemic connective tissue disorders,1787109017.0,Cranial arteritis
Systemic connective tissue disorders,1779388019.0,Temporal arteritis
Systemic connective tissue disorders,1787110010.0,Horton's disease
Systemic connective tissue disorders,300584016.0,Giant cell arteritis NOS
Systemic connective tissue disorders,359513016.0,Giant cell arteritis with polymyalgia rheumatica
Systemic connective tissue disorders,312576015.0,[X]Other giant cell arteritis
Systemic connective tissue disorders,108529013.0,Polymyalgia rheumatica
Systemic connective tissue disorders,158050019.0,Polymyalgia
Systemic connective tissue disorders,297639014.0,Myopathy due to disseminated lupus erythematosus
Systemic connective tissue disorders,660871000006118.0,Eyelid discoid lupus erythematosus
Systemic connective tissue disorders,301721015.0,Lung disease with systemic lupus erythematosus
Systemic connective tissue disorders,677561000006119.0,Nephrotic syndrome in systemic lupus erythematosus
Systemic connective tissue disorders,114310015.0,Lupus nephritis
Systemic connective tissue disorders,177301000006114.0,Renal tubulo-interstitial disorder in SLE
Systemic connective tissue disorders,308697013.0,Lupus erythematosus
Systemic connective tissue disorders,308700012.0,Lupus erythematosus chronicus
Systemic connective tissue disorders,308701011.0,Discoid lupus erythematosus
Systemic connective tissue disorders,308704015.0,Lupus erythematosus migrans
Systemic connective tissue disorders,308705019.0,Lupus erythematosus nodularis
Systemic connective tissue disorders,25612013.0,Lupus erythematosus profundus
Systemic connective tissue disorders,308706018.0,Lupus erythematosus tumidus
Systemic connective tissue disorders,308707010.0,Lupus erythematosus unguium mutilans
Systemic connective tissue disorders,308709013.0,Lupus erythematosus NOS
Systemic connective tissue disorders,309383019.0,[X]Other local lupus erythematosus
Systemic connective tissue disorders,92208011.0,Systemic lupus erythematosus
Systemic connective tissue disorders,92209015.0,Disseminated lupus erythematosus
Systemic connective tissue disorders,496853017.0,Libman-Sacks disease
Systemic connective tissue disorders,309405011.0,Drug-induced systemic lupus erythematosus
Systemic connective tissue disorders,114251000006118.0,Systemic lupus erythematosus with organ or sys involv
Systemic connective tissue disorders,453243010.0,Systemic lupus erythematosus with pericarditis
Systemic connective tissue disorders,512234017.0,Cerebral lupus
Systemic connective tissue disorders,309408013.0,Systemic lupus erythematosus NOS
Systemic connective tissue disorders,312579010.0,[X]Other forms of systemic lupus erythematosus
Systemic connective tissue disorders,297644019.0,Myopathy due to scleroderma
Systemic connective tissue disorders,301716018.0,Lung disease with systemic sclerosis
Systemic connective tissue disorders,354512012.0,Renal involvement in scleroderma
Systemic connective tissue disorders,309413012.0,Scleroderma
Systemic connective tissue disorders,1785104011.0,Acrosclerosis
Systemic connective tissue disorders,147833014.0,Systemic sclerosis
Systemic connective tissue disorders,147834015.0,Progressive systemic sclerosis
Systemic connective tissue disorders,53211014.0,CREST syndrome
Systemic connective tissue disorders,309416016.0,Systemic sclerosis induced by drugs and chemicals
Systemic connective tissue disorders,312581012.0,[X]Other forms of systemic sclerosis
Systemic connective tissue disorders,297645018.0,Myopathy due to Sjogren's disease
Systemic connective tissue disorders,301720019.0,Lung disease with Sjogren's disease
Systemic connective tissue disorders,141091000006112.0,Sicca (Sjogren's) syndrome
