Condition,ReadCode,CleansedReadCode,Term
Chronic viral hepatitis,C13-KC60,,Antigen Positive Viral Hepatitis B
Chronic viral hepatitis,EMISNQHE176,,Hepatitis A total antibody test positive
Chronic viral hepatitis,EMISNQHE178,,Hepatitis B surface antibody test positive
Chronic viral hepatitis,EMISNQHE11,,Hepatitis C positive
Chronic viral hepatitis,C13-SHHAPT,,[SHHAPT] Viral hepatitis B (HbsAg positive) - first diagnosis
Chronic viral hepatitis,EMISNQHE29,,Hepatitis C PCR positive
Chronic viral hepatitis,EMISNQHE46,,Hepatitis C resolved
Chronic viral hepatitis,21267,2126700,Hepatitis C resolved
Chronic viral hepatitis,43B4,43B4.00,Hepatitis B surface antig +ve
Chronic viral hepatitis,43B5,43B5.00,Hepatitis e antigen present
Chronic viral hepatitis,43X3,43X3.00,Hepatitis C antibody test positive
Chronic viral hepatitis,43j5,43j5.00,Hepatitis C nucleic acid detection
Chronic viral hepatitis,43jG,43jG.00,Hepatitis B nucleic acid detection
Chronic viral hepatitis,4J3B,4J3B.00,Hepatitis C viral load
Chronic viral hepatitis,4J3D,4J3D.00,Hepatitis B viral load
Chronic viral hepatitis,4JQ3,4JQ3.00,Hepatitis C virus genotype
Chronic viral hepatitis,4JQD,4JQD.00,Hepatitis C viral ribonucleic acid PCR positive
Chronic viral hepatitis,4JQD-1,4JQD.11,Hepatitis C PCR positive
Chronic viral hepatitis,4JQF,4JQF.00,Hepatitis C antigen positive
Chronic viral hepatitis,7Q052,7Q05200,Hepatitis B treatment drugs Band 1
Chronic viral hepatitis,8BB5,8BB5.00,12 week virologic response to hepatitis C treatment
Chronic viral hepatitis,9kX,9kX..00,Hepatitis status 6 months post treatment - enhanced serv adm
Chronic viral hepatitis,A703,A703.00,Viral (serum) hepatitis B
Chronic viral hepatitis,A7050,A705000,Viral hepatitis C without mention of hepatic coma
Chronic viral hepatitis,A707,A707.00,Chronic viral hepatitis
Chronic viral hepatitis,A7070,A707000,Chronic viral hepatitis B with delta-agent
Chronic viral hepatitis,A7071,A707100,Chronic viral hepatitis B without delta-agent
Chronic viral hepatitis,A7072,A707200,Chronic viral hepatitis C
Chronic viral hepatitis,A7073,A707300,Chronic viral hepatitis B
Chronic viral hepatitis,A707X,A707X00,"Chronic viral hepatitis, unspecified"
Chronic viral hepatitis,A70A,A70A.00,Hepatitis C genotype 1
Chronic viral hepatitis,A70B,A70B.00,Hepatitis C genotype 2
Chronic viral hepatitis,A70C,A70C.00,Hepatitis C genotype 3
Chronic viral hepatitis,A70D,A70D.00,Hepatitis C genotype 4
Chronic viral hepatitis,A70z0,A70z000,Hepatitis C
Chronic viral hepatitis,AyuB1,AyuB100,[X]Other chronic viral hepatitis
Chronic viral hepatitis,AyuB2,AyuB200,"[X]Chronic viral hepatitis, unspecified"
