Condition,ReadCode,CleansedReadCode,Term
Dementia,E00-97,E00..97,Dementia
Dementia,EMISNQDD2,,[D] Dementia
Dementia,EMISNQDD3,,[D] Dementia in Alzheimer's disease
Dementia,EMISNQDD1,,[D] Dementia with Lewy bodies
Dementia,EMISNQDV1,,[D] Vascular dementia
Dementia,^ESCTMU341426,,Multi infarct dementia
Dementia,9hD0,9hD0.00,Excepted from dementia quality indicators: Patient unsuitabl
Dementia,9hD1,9hD1.00,Excepted from dementia quality indicators: Informed dissent
Dementia,E00,E00..00,Senile and presenile organic psychotic conditions
Dementia,E00-1,E00..11,Senile dementia
Dementia,E00-2,E00..12,Senile/presenile dementia
Dementia,E000,E000.00,Uncomplicated senile dementia
Dementia,E001,E001.00,Presenile dementia
Dementia,E0010,E001000,Uncomplicated presenile dementia
Dementia,E0011,E001100,Presenile dementia with delirium
Dementia,E0012,E001200,Presenile dementia with paranoia
Dementia,E0013,E001300,Presenile dementia with depression
Dementia,E001z,E001z00,Presenile dementia NOS
Dementia,E002,E002.00,Senile dementia with depressive or paranoid features
Dementia,E0020,E002000,Senile dementia with paranoia
Dementia,E0021,E002100,Senile dementia with depression
Dementia,E002z,E002z00,Senile dementia with depressive or paranoid features NOS
Dementia,E003,E003.00,Senile dementia with delirium
Dementia,E004,E004.00,Arteriosclerotic dementia
Dementia,E004-1,E004.11,Multi infarct dementia
Dementia,E0040,E004000,Uncomplicated arteriosclerotic dementia
Dementia,E0041,E004100,Arteriosclerotic dementia with delirium
Dementia,E0042,E004200,Arteriosclerotic dementia with paranoia
Dementia,E0043,E004300,Arteriosclerotic dementia with depression
Dementia,E004z,E004z00,Arteriosclerotic dementia NOS
Dementia,E00y,E00y.00,Other senile and presenile organic psychoses
Dementia,E00y-1,E00y.11,Presbyophrenic psychosis
Dementia,E00z,E00z.00,Senile or presenile psychoses NOS
Dementia,E041,E041.00,Dementia in conditions EC
Dementia,Eu00,Eu00.00,[X]Dementia in Alzheimer's disease
Dementia,Eu000-1,Eu00011,"[X]Presenile dementia,Alzheimer's type"
Dementia,Eu000-3,Eu00013,[X]Alzheimer's disease type 2
Dementia,Eu001-1,Eu00111,[X]Alzheimer's disease type 1
Dementia,Eu001-2,Eu00112,"[X]Senile dementia,Alzheimer's type"
Dementia,Eu002,Eu00200,"[X]Dementia in Alzheimer's dis, atypical or mixed type"
Dementia,Eu00z,Eu00z00,"[X]Dementia in Alzheimer's disease, unspecified"
Dementia,Eu00z-1,Eu00z11,[X]Alzheimer's dementia unspec
Dementia,Eu01,Eu01.00,[X]Vascular dementia
Dementia,Eu01-1,Eu01.11,[X]Arteriosclerotic dementia
Dementia,Eu011,Eu01100,[X]Multi-infarct dementia
Dementia,Eu011-1,Eu01111,[X]Predominantly cortical dementia
Dementia,Eu012,Eu01200,[X]Subcortical vascular dementia
Dementia,Eu013,Eu01300,[X]Mixed cortical and subcortical vascular dementia
Dementia,Eu01y,Eu01y00,[X]Other vascular dementia
Dementia,Eu01z,Eu01z00,"[X]Vascular dementia, unspecified"
Dementia,Eu02z,Eu02z00,[X] Unspecified dementia
Dementia,Eu02z-1,Eu02z11,[X] Presenile dementia NOS
Dementia,Eu02z-2,Eu02z12,[X] Presenile psychosis NOS
Dementia,Eu02z-3,Eu02z13,[X] Primary degenerative dementia NOS
Dementia,Eu02z-4,Eu02z14,[X] Senile dementia NOS
Dementia,Eu02z-5,Eu02z15,[X] Senile psychosis NOS
Dementia,Eu02z-6,Eu02z16,"[X] Senile dementia, depressed or paranoid type"
Dementia,Eu041,Eu04100,[X]Delirium superimposed on dementia
Dementia,F110,F110.00,Alzheimer's disease
Dementia,Fyu30,Fyu3000,[X]Other Alzheimer's disease
