Condition,ReadCode,CleansedReadCode,Term
Diabetes,C10FR-1,C10FR11,Type II diabetes mellitus with gastroparesis
Diabetes,C1093-2,C109312,Type 2 diabetes mellitus with multiple complications
Diabetes,C1099-2,C109912,Type 2 diabetes mellitus without complication
Diabetes,C10FG-1,C10FG11,Type II diabetes mellitus with arthropathy
Diabetes,C1093-1,C109311,Type II diabetes mellitus with multiple complications
Diabetes,C10FC-1,C10FC11,Type II diabetes mellitus with nephropathy
Diabetes,^ESCT1270241,,Type II diabetes mellitus with neurological complications
Diabetes,^ESCT1270242,,Type II diabetes mellitus with ophthalmic complications
Diabetes,C1099-1,C109911,Type II diabetes mellitus without complication
Diabetes,C109-2,C109.12,Type 2 diabetes mellitus
Diabetes,C109-3,C109.13,Type II diabetes mellitus
Diabetes,C1090-1,C109011,Type II diabetes mellitus with renal complications
Diabetes,C1090-2,C109012,Type 2 diabetes mellitus with renal complications
Diabetes,C1091-1,C109111,Type II diabetes mellitus with ophthalmic complications
Diabetes,C1091-2,C109112,Type 2 diabetes mellitus with ophthalmic complications
Diabetes,C1092-1,C109211,Type II diabetes mellitus with neurological complications
Diabetes,C1092-2,C109212,Type 2 diabetes mellitus with neurological complications
Diabetes,C1094-1,C109411,Type II diabetes mellitus with ulcer
Diabetes,C1094-2,C109412,Type 2 diabetes mellitus with ulcer
Diabetes,C1096-1,C109611,Type II diabetes mellitus with retinopathy
Diabetes,C1096-2,C109612,Type 2 diabetes mellitus with retinopathy
Diabetes,C109C-1,C109C11,Type II diabetes mellitus with nephropathy
Diabetes,C109C-2,C109C12,Type 2 diabetes mellitus with nephropathy
Diabetes,C109D-1,C109D11,Type II diabetes mellitus with hypoglycaemic coma
Diabetes,C109D-2,C109D12,Type 2 diabetes mellitus with hypoglycaemic coma
Diabetes,C109G-1,C109G11,Type II diabetes mellitus with arthropathy
Diabetes,C109G-2,C109G12,Type 2 diabetes mellitus with arthropathy
Diabetes,C109J,C109J00,Insulin treated Type 2 diabetes mellitus
Diabetes,C109J-2,C109J12,Insulin treated Type II diabetes mellitus
Diabetes,C109K,C109K00,Hyperosmolar non-ketotic state in type 2 diabetes mellitus
Diabetes,C10F,C10F.00,Type 2 diabetes mellitus
Diabetes,C10F-1,C10F.11,Type II diabetes mellitus
Diabetes,C10F0,C10F000,Type 2 diabetes mellitus with renal complications
Diabetes,C10F0-1,C10F011,Type II diabetes mellitus with renal complications
Diabetes,C10F1,C10F100,Type 2 diabetes mellitus with ophthalmic complications
Diabetes,C10F2,C10F200,Type 2 diabetes mellitus with neurological complications
Diabetes,C10F2-1,C10F211,Type II diabetes mellitus with neurological complications
Diabetes,C10F3,C10F300,Type 2 diabetes mellitus with multiple complications
Diabetes,C10F3-1,C10F311,Type II diabetes mellitus with multiple complications
Diabetes,C10F4,C10F400,Type 2 diabetes mellitus with ulcer
Diabetes,C10F4-1,C10F411,Type II diabetes mellitus with ulcer
Diabetes,C10F6,C10F600,Type 2 diabetes mellitus with retinopathy
Diabetes,C10F6-1,C10F611,Type II diabetes mellitus with retinopathy
Diabetes,C10F9,C10F900,Type 2 diabetes mellitus without complication
Diabetes,C10F9-1,C10F911,Type II diabetes mellitus without complication
Diabetes,C10FC,C10FC00,Type 2 diabetes mellitus with nephropathy
Diabetes,C10FD,C10FD00,Type 2 diabetes mellitus with hypoglycaemic coma
Diabetes,C10FD-1,C10FD11,Type II diabetes mellitus with hypoglycaemic coma
Diabetes,C10FG,C10FG00,Type 2 diabetes mellitus with arthropathy
Diabetes,C10FJ,C10FJ00,Insulin treated Type 2 diabetes mellitus
Diabetes,C10FJ-1,C10FJ11,Insulin treated Type II diabetes mellitus
Diabetes,C10FK,C10FK00,Hyperosmolar non-ketotic state in type 2 diabetes mellitus
Diabetes,C10FL,C10FL00,Type 2 diabetes mellitus with persistent proteinuria
Diabetes,C10FL-1,C10FL11,Type II diabetes mellitus with persistent proteinuria
Diabetes,C10FM,C10FM00,Type 2 diabetes mellitus with persistent microalbuminuria
Diabetes,C10FM-1,C10FM11,Type II diabetes mellitus with persistent microalbuminuria
Diabetes,C10FN,C10FN00,Type 2 diabetes mellitus with ketoacidosis
Diabetes,C10FP,C10FP00,Type 2 diabetes mellitus with ketoacidotic coma
Diabetes,C10FQ,C10FQ00,Type 2 diabetes mellitus with exudative maculopathy
Diabetes,C10FR,C10FR00,Type 2 diabetes mellitus with gastroparesis
Diabetes,EMISNQCA1013,,Care contact service: diabetes
Diabetes,^ESCTDK695390,,DKA - diabetic ketoacidosis
Diabetes,EMISNQDI96,,Diabetes mellitus confirmed
Diabetes,C101-99,C101.99,Diabetes+ketoacidosis -no coma
Diabetes,EMISQDI1,,Diabetic - GP eye check
Diabetes,EMISQDI2,,Diabetic - hospital eye check
Diabetes,^ESCTDI331986,,Diabetic autonomic neuropathy
Diabetes,^ESCTDI695386,,Diabetic ketoacidosis
Diabetes,ESCTDI20,,Diabetic ketoacidosis without coma
Diabetes,EMISNQDI70,,Diabetic on non-insulin injectable
Diabetes,EMISNQDI80,,Diabetic retinopathy screen done by optician
Diabetes,EMISR4QIN2,,Ins-treat non-ins-dep diab mel
Diabetes,EMISQLA1,,Laser treated diabetic retinopathy
Diabetes,EMISQLE14,,Left diabetic foot active ulceration
Diabetes,EMISQLE15,,Left diabetic foot high risk
Diabetes,EMISQLE17,,Left diabetic foot low current risk
Diabetes,EMISQLE16,,Left diabetic foot moderate risk
Diabetes,EMISQLE11,,Left laser treated diabetic retinopathy
Diabetes,EMISQLE8,,Left non-proliferative diabetic retinopathy
Diabetes,EMISQLE10,,Left proliferative diabetic retinopathy
Diabetes,EMISNQNE127,,New diabetic foot ulcer
Diabetes,EMISNQNE23,,Newly diagnosed diabetes
Diabetes,EMISNQNO16,,No evidence of diabetic peripheral neuropathy
Diabetes,L180-99,L180.99,Preg.+ diabetes mellitus
Diabetes,^ESCTPR602272,,Proliferative diabetic retinopathy - high risk
Diabetes,TJ23-99,TJ23.99,Reaction: insulin/antidiabetic
Diabetes,EMISNQRE335,,Reason for influenza vaccine - diabetes mellitus
Diabetes,EMISNQRE174,,Referred to Diabetes Service
Diabetes,EMISQRI14,,Right diabetic foot active ulceration
Diabetes,EMISQRI15,,Right diabetic foot high risk
Diabetes,EMISQRI17,,Right diabetic foot low current risk
Diabetes,EMISQRI16,,Right diabetic foot moderate risk
Diabetes,EMISQRI11,,Right laser treated diabetic retinopathy
Diabetes,EMISQRI8,,Right non-proliferative diabetic retinopathy
Diabetes,EMISQRI9,,Right preproliferative diabetic retinopathy
Diabetes,EMISQRI10,,Right proliferative diabetic retinopathy
Diabetes,ESCTSE11,,Secondary endocrine diabetes mellitus
Diabetes,9NlP1,,Seen by diabetes specialist nurse
Diabetes,EMISNQSE63,,Seen in in-house nurse-led diabetic clinic
Diabetes,9NN91,,Under care of community-based diabetes specialist nurse
Diabetes,9NN90,,Under care of hospital-based diabetes specialist nurse
Diabetes,38VP,38VP.00,Young Townson FootSkin Scale for Diabetic Neuropathy
Diabetes,HNG0036,,[RFC] Diabetes
Diabetes,HNG0605,,[RFC] Diabetes mellitus
Diabetes,HNGNQRF95,,[RFC] Diabetic foot ulcer
Diabetes,HNG0167,,[RFC] Diabetic foot/leg ulcer
Diabetes,HNGNQRF94,,[RFC] Diabetic leg ulcer
Diabetes,^ESCT1273098,,Diabetes mellitus NOS with other specified manifestation
Diabetes,^ESCT1273097,,Diabetes mellitus with other specified manifestation
Diabetes,^ESCT1248936,,Diabetic diet - good compliance
Diabetes,^ESCT1248935,,Diabetic diet - poor compliance
Diabetes,C10EH-2,C10EH12,Insulin dependent diabetes mellitus with arthropathy
Diabetes,^ESCTIN605117,,Insulin dependent diabetes mellitus with arthropathy
Diabetes,C10EE-2,C10EE12,Insulin dependent diabetes mellitus with hypoglycaemic coma
Diabetes,^ESCTIN605004,,Insulin dependent diabetes mellitus with hypoglycaemic coma
Diabetes,C10ED-2,C10ED12,Insulin dependent diabetes mellitus with nephropathy
Diabetes,^ESCT1192755,,Insulin dependent diabetes mellitus with ulcer
Diabetes,C10E0-2,C10E012,Insulin-dependent diabetes mellitus with renal complications
Diabetes,C10EA-2,C10EA12,Insulin-dependent diabetes without complication
Diabetes,^ESCTIN603000,,Insulin-dependent diabetes without complication
Diabetes,^ESCTLI568775,,Lipoatrophic diabetes mellitus
Diabetes,^ESCT1272519,,Other specified diabetes mellitus with coma
Diabetes,PC0646,,Pt advised re diabetic diet
Diabetes,C108H-2,C108H12,Type 1 diabetes mellitus with arthropathy
Diabetes,C1083-2,C108312,Type 1 diabetes mellitus with multiple complications
Diabetes,C108D-2,C108D12,Type 1 diabetes mellitus with nephropathy
