Condition,ReadCode,CleansedReadCode,Term
"Diseases of oesophagus, stomach and duodenum",K21,K21..00,Prostate inflammatory diseases
"Diseases of oesophagus, stomach and duodenum",G25,G25..00,Stage 1 hypertension (NICE - Nat Ins for Hth Clin Excl 2011)
"Diseases of oesophagus, stomach and duodenum",J157,J157.00,Duodenitis
"Diseases of oesophagus, stomach and duodenum",J1544,J154400,Helicobacter gastritis
"Diseases of oesophagus, stomach and duodenum",J1540,J154000,Allergic gastritis
"Diseases of oesophagus, stomach and duodenum",A0743-3,A074313,Helicobacter gastritis
"Diseases of oesophagus, stomach and duodenum",J156,J156.00,Gastroduodenitis unspecified
"Diseases of oesophagus, stomach and duodenum",J151,J151.00,Chronic gastritis
"Diseases of oesophagus, stomach and duodenum",J1510,J151000,Chronic atrophic gastritis
"Diseases of oesophagus, stomach and duodenum",J15,J15..00,Gastritis and duodenitis
"Diseases of oesophagus, stomach and duodenum",J1542,J154200,Irritant gastritis
"Diseases of oesophagus, stomach and duodenum",J1543,J154300,Corrosive gastritis
"Diseases of oesophagus, stomach and duodenum",J155,J155.00,Gastritis unspecified
"Diseases of oesophagus, stomach and duodenum",J153,J153.00,Alcoholic gastritis
"Diseases of oesophagus, stomach and duodenum",J152,J152.00,Gastric mucosal hypertrophy
"Diseases of oesophagus, stomach and duodenum",J1511,J151100,Chronic inflammatory gastritis
"Diseases of oesophagus, stomach and duodenum",J1541,J154100,Bile induced gastritis
"Diseases of oesophagus, stomach and duodenum",J123,J123.00,Duodenal erosion
"Diseases of oesophagus, stomach and duodenum",J154,J154.00,Other specified gastritis
"Diseases of oesophagus, stomach and duodenum",J1512,J151200,Chronic superficial gastritis
"Diseases of oesophagus, stomach and duodenum",1957,1957.00,Gastric reflux
"Diseases of oesophagus, stomach and duodenum",J1011-2,J101112,Gastro-oesophageal reflux with oesophagitis
"Diseases of oesophagus, stomach and duodenum",J1011,J101100,Reflux oesophagitis
"Diseases of oesophagus, stomach and duodenum",J1011-1,J101111,Acid reflux
"Diseases of oesophagus, stomach and duodenum",760L1-1,760L111,Antireflux procedure using thoracic approach NEC
"Diseases of oesophagus, stomach and duodenum",171J,171J.00,Reflux cough
"Diseases of oesophagus, stomach and duodenum",760L3-1,760L311,Antireflux gastroplasty
"Diseases of oesophagus, stomach and duodenum",760L3,760L300,Antireflux gastropexy
"Diseases of oesophagus, stomach and duodenum",760L-1,760L.11,Oesophageal reflux operations
"Diseases of oesophagus, stomach and duodenum",760L1,760L100,Antireflux operation using thoracic approach NEC
"Diseases of oesophagus, stomach and duodenum",760L0,760L000,Antireflux fundoplication using thoracic approach
"Diseases of oesophagus, stomach and duodenum",J1011-3,J101113,Oesophageal reflux with oesophagitis
"Diseases of oesophagus, stomach and duodenum",760L4,760L400,Antireflux procedure and gastroplasty HFQ
"Diseases of oesophagus, stomach and duodenum",760L,760L.00,Antireflux operations
"Diseases of oesophagus, stomach and duodenum",760L2,760L200,Antireflux fundoplication using abdominal approach
"Diseases of oesophagus, stomach and duodenum",J11z-1,J11z.11,Gastric erosions
"Diseases of oesophagus, stomach and duodenum",Jyu13,Jyu1300,[X]Other gastritis
"Diseases of oesophagus, stomach and duodenum",J4z0,J4z0.00,Non-infective gastritis NOS
"Diseases of oesophagus, stomach and duodenum",J15z,J15z.00,Gastritis and duodenitis NOS
"Diseases of oesophagus, stomach and duodenum",J151z,J151z00,Chronic gastritis NOS
"Diseases of oesophagus, stomach and duodenum",J154z,J154z00,Other specified gastritis NOS
"Diseases of oesophagus, stomach and duodenum",760Lz,760Lz00,Antireflux operation NOS
"Diseases of oesophagus, stomach and duodenum",J10y5,J10y500,Laryngopharyngeal reflux
"Diseases of oesophagus, stomach and duodenum",J10y4-2,J10y412,Gastro-oesophageal reflux
"Diseases of oesophagus, stomach and duodenum",J10y4-3,J10y413,Acid reflux
"Diseases of oesophagus, stomach and duodenum",J10y4,J10y400,Oesopheal reflux without mention of oesophagitis
"Diseases of oesophagus, stomach and duodenum",J10y4-1,J10y411,Oesophageal reflux
"Diseases of oesophagus, stomach and duodenum",760Ly,760Ly00,Other specified antireflux operation
"Diseases of oesophagus, stomach and duodenum",J13y0,J13y000,Unspecified peptic ulcer without mention of complication
"Diseases of oesophagus, stomach and duodenum",J13y3,J13y300,Unspecified peptic ulcer with haemorrhage and perforation
"Diseases of oesophagus, stomach and duodenum",J13yz,J13yz00,Unspecified peptic ulcer NOS
