Condition,ReadCode,CleansedReadCode,Term
Drug or alcohol misuse,ALLERGY4.10,,Adverse reaction to Drugs used in Substance Dependence
Drug or alcohol misuse,EMISNQCU1,,Currently injecting drugs
Drug or alcohol misuse,7L19y-99,7L19y99,Hypodermic drug injection
Drug or alcohol misuse,7L182-99,7L18299,Intramuscular drug injection
Drug or alcohol misuse,EMISICD10|F1020,,"Mental and behav dis due to use alcohol: dependence syndr, currently abstinent"
Drug or alcohol misuse,EMISICD10|F1026,,"Mental and behav dis due to use alcohol: dependence syndr, episodic use [dipsomania]"
Drug or alcohol misuse,EMISICD10|F1125,,"Mental and behav dis due to use opioids: dependence syndr, continuous use"
Drug or alcohol misuse,EMISNQMI6,,Misuse of Cannabis herbal
Drug or alcohol misuse,EMISNQMI9,,Misuse of Cannabis herbal (skunk)
Drug or alcohol misuse,EMISNQMI7,,Misuse of Cannabis resin
Drug or alcohol misuse,EMISNQMI5,,Misuse of Cannabis unspecified
Drug or alcohol misuse,EMISNQMI93,,Misuse of Cocaine freebase (crack)
Drug or alcohol misuse,EMISNQMI91,,Misuse of Cocaine unspecified
Drug or alcohol misuse,EMISNQMI10,,Misuse of Heroin illicit
Drug or alcohol misuse,EMISNQMI52,,Misuse of Opiate compound analgesics
Drug or alcohol misuse,EMISNQMI45,,Misuse of Opiate containing mixture
Drug or alcohol misuse,EMISNQMI21,,Misuse of Opiates unspecified
Drug or alcohol misuse,EMISNQMI58,,Misuse of other Opiates
Drug or alcohol misuse,E24-99,E24..99,Morphine/cocaine dependence
Drug or alcohol misuse,13cM1,,Opioid analgesic dependence
Drug or alcohol misuse,E24-100,,Substance dependence
Drug or alcohol misuse,EMISNQND8,,Substance misuse of Amphetamines
Drug or alcohol misuse,EMISNQND16,,Substance misuse of Benzodiazepines
Drug or alcohol misuse,EMISNQND9,,Substance misuse of Cannabis
Drug or alcohol misuse,EMISNQND18,,Substance misuse of Cocaine
Drug or alcohol misuse,EMISNQND19,,Substance misuse of Crack
Drug or alcohol misuse,EMISNQND17,,Substance misuse of Ecstasy
Drug or alcohol misuse,EMISNQND10,,Substance misuse of Heroin
Drug or alcohol misuse,EMISNQND14,,Substance misuse of Methadone
Drug or alcohol misuse,EMISNQND15,,Substance misuse of other Opiates
Drug or alcohol misuse,EMISNQND22,,Substance misuse of other drugs
Drug or alcohol misuse,EMISNQND26,,Substance misuse of poly drug
Drug or alcohol misuse,HNGNQRF103,,[RFC] Drug/ substance abuse
Drug or alcohol misuse,HNGNQRF105,,[RFC] Substance abuse
Drug or alcohol misuse,ALLERGY267,,Adverse reaction to Buprenorphine
Drug or alcohol misuse,EMISQDR1,,Drug misuse behaviour
Drug or alcohol misuse,EMISQMI2,,Misused drugs in past
Drug or alcohol misuse,EMISNQSE108,,Seen in drug misuse clinic
Drug or alcohol misuse,13c5,13c5.00,Substance misuse increased
Drug or alcohol misuse,13c6,13c6.00,Substance misuse decreased
Drug or alcohol misuse,13c7,13c7.00,Current drug user
Drug or alcohol misuse,13c8,13c8.00,Reduced drugs misuse
Drug or alcohol misuse,13c9,13c9.00,Subcutaneous drug user
Drug or alcohol misuse,13cA,13cA.00,Smokes drugs
Drug or alcohol misuse,13cB,13cB.00,Misuses drugs orally
Drug or alcohol misuse,13cC,13cC.00,Continuous use of drugs
Drug or alcohol misuse,13cD,13cD.00,Episodic use of drugs
Drug or alcohol misuse,13cE,13cE.00,Prolonged high dose use of cannabis
Drug or alcohol misuse,13cF,13cF.00,Preoccupied with substance misuse
Drug or alcohol misuse,13cH,13cH.00,Persistent substance misuse
Drug or alcohol misuse,13cJ,13cJ.00,Previously injecting drug user
Drug or alcohol misuse,13cK,13cK.00,Current non recreational drug user
Drug or alcohol misuse,13cM,13cM.00,Substance misuse
Drug or alcohol misuse,1V,1V...00,Drug misuse behaviour
Drug or alcohol misuse,1V0,1V0..00,Misuses drugs
Drug or alcohol misuse,1V00,1V00.00,Occasional drug user
Drug or alcohol misuse,1V01,1V01.00,Long-term drug misuser
Drug or alcohol misuse,1V02,1V02.00,Poly-drug misuser
Drug or alcohol misuse,1V04,1V04.00,Misuses drugs rectally
Drug or alcohol misuse,1V07,1V07.00,Notified addict
Drug or alcohol misuse,1V08,1V08.00,Smokes drugs in cigarette form
Drug or alcohol misuse,1V09,1V09.00,Smokes drugs through a pipe
Drug or alcohol misuse,1V0A,1V0A.00,Chases the dragon
Drug or alcohol misuse,1V0B,1V0B.00,Sniffs drugs
Drug or alcohol misuse,1V0C,1V0C.00,Drug addict
Drug or alcohol misuse,1V0E,1V0E.00,Health problem secondary to drug misuse
Drug or alcohol misuse,1V22,1V22.00,Age at starting drug misuse
Drug or alcohol misuse,1V23,1V23.00,Time since stopped drug misuse
Drug or alcohol misuse,1V26,1V26.00,Misused drugs in past
Drug or alcohol misuse,1V3,1V3..00,Drug injection behaviour
Drug or alcohol misuse,1V30,1V30.00,Injects drugs subcutaneously
Drug or alcohol misuse,1V31,1V31.00,Injects drugs intramuscularly
Drug or alcohol misuse,1V32,1V32.00,Neck injector
Drug or alcohol misuse,1V35,1V35.00,Shares drug equipment
Drug or alcohol misuse,1V37,1V37.00,Drug injecting equipment hygiene
Drug or alcohol misuse,1V38,1V38.00,Sharing of drug injecting equipment
Drug or alcohol misuse,1V4,1V4..00,Priority of drug-related activities
Drug or alcohol misuse,1V5,1V5..00,Routine of drug-related activities
Drug or alcohol misuse,1V64,1V64.00,Illicit drug use
Drug or alcohol misuse,1V65,1V65.00,Heroin misuse
Drug or alcohol misuse,1V66,1V66.00,Ecstasy misuse
Drug or alcohol misuse,46QB1,46QB100,Urine methadone positive
Drug or alcohol misuse,46Qr0,46Qr000,Urine buprenorphine positive
Drug or alcohol misuse,7P220,7P22000,Delivery of rehabilitation for drug addiction
Drug or alcohol misuse,8B23-1,8B23.11,Drug addictn therap-methadone
Drug or alcohol misuse,8BA9,8BA9.00,Detoxification dependence drug
Drug or alcohol misuse,8BAd,8BAd.00,Opiate dependence detoxification
Drug or alcohol misuse,9G2,9G2..00,Drug addiction notification
Drug or alcohol misuse,9G2-1,9G2..11,Drug addict notific admin
Drug or alcohol misuse,9G21,9G21.00,Drug addict notific to CMO
Drug or alcohol misuse,9G22,9G22.00,Drug addict re-notific due
Drug or alcohol misuse,9G23,9G23.00,Drug addict re-notif to CMO
Drug or alcohol misuse,9G24,9G24.00,Drug addiction notification local SMR22
Drug or alcohol misuse,9G2Z,9G2Z.00,Drug addiction notif NOS
Drug or alcohol misuse,9HC4,9HC4.00,Substance misuse treatment withdrawn
Drug or alcohol misuse,9HC6,9HC6.00,Substance misuse treatment declined
Drug or alcohol misuse,9N1yJ,9N1yJ00,Seen in drug misuse clinic
Drug or alcohol misuse,9N4i,9N4i.00,DNA - Did not attend substance misuse clinic
Drug or alcohol misuse,9No5,9No5.00,Seen in substance misuse clinic
Drug or alcohol misuse,9k50,9k50.00,Drug misuse - enhanced service completed
Drug or alcohol misuse,9k51,9k51.00,Shared care drug misuse treatment - enhanced services admin
Drug or alcohol misuse,9k51-1,9k51.11,Shared care drug misuse treatment
Drug or alcohol misuse,9k52,9k52.00,Drug misuse treatment primary care - enhanced services admin
Drug or alcohol misuse,9k53,9k53.00,Pharmacy attended for drug misuse - enhanced services admin
Drug or alcohol misuse,E02,E02..00,Drug psychoses
Drug or alcohol misuse,E020,E020.00,Drug withdrawal syndrome
Drug or alcohol misuse,E021,E021.00,Drug-induced paranoia or hallucinatory states
Drug or alcohol misuse,E0210,E021000,Drug-induced paranoid state
Drug or alcohol misuse,E0211,E021100,Drug-induced hallucinosis
Drug or alcohol misuse,E021z,E021z00,Drug-induced paranoia or hallucinatory state NOS
Drug or alcohol misuse,E022,E022.00,Pathological drug intoxication
Drug or alcohol misuse,E02y,E02y.00,Other drug psychoses
Drug or alcohol misuse,E02y0,E02y000,Drug-induced delirium
Drug or alcohol misuse,E02y1,E02y100,Drug-induced dementia
Drug or alcohol misuse,E02y3,E02y300,Drug-induced depressive state
Drug or alcohol misuse,E02y4,E02y400,Drug-induced personality disorder
Drug or alcohol misuse,E02yz,E02yz00,Other drug psychoses NOS
Drug or alcohol misuse,E02z,E02z.00,Drug psychosis NOS
Drug or alcohol misuse,E24,E24..00,Drug dependence
Drug or alcohol misuse,E24-1,E24..11,Drug addiction
Drug or alcohol misuse,E240,E240.00,Opioid type drug dependence
