Condition,ReadCode,CleansedReadCode,Term
Inflammatory polyarthropathies,C34y4,C34y400,Gouty neuritis
Inflammatory polyarthropathies,F3712,F371200,Polyneuropathy in rheumatoid arthritis
Inflammatory polyarthropathies,N0310,N031000,Arthropathy in ulcerative colitis
Inflammatory polyarthropathies,N0311,N031100,Arthropathy in Crohn's disease
Inflammatory polyarthropathies,M160,M160.00,Psoriatic arthropathy
Inflammatory polyarthropathies,M160-1,M160.11,Psoriatic arthritis
Inflammatory polyarthropathies,M1600,M160000,Psoriasis spondylitica
Inflammatory polyarthropathies,M1601,M160100,Distal interphalangeal psoriatic arthropathy
Inflammatory polyarthropathies,M1602,M160200,Arthritis mutilans
Inflammatory polyarthropathies,M160z,M160z00,Psoriatic arthropathy NOS
Inflammatory polyarthropathies,Nyu13,Nyu1300,[X]Other psoriatic arthropathies
Inflammatory polyarthropathies,N040-92,N040.92,Rheum. arth. - ankle/foot
Inflammatory polyarthropathies,N040-97,N040.97,Rheum. arth. - elbow joint
Inflammatory polyarthropathies,N040-95,N040.95,Rheum. arth. - hand joint
Inflammatory polyarthropathies,N040-93,N040.93,Rheum. arth. - knee joint
Inflammatory polyarthropathies,N040-99,N040.99,Rheum. arth. - multiple joint
Inflammatory polyarthropathies,N040-91,N040.91,Rheum. arth. - other joint
Inflammatory polyarthropathies,N040-98,N040.98,Rheum. arth. - shoulder joint
Inflammatory polyarthropathies,N040-96,N040.96,Rheum. arth. - wrist joint
Inflammatory polyarthropathies,N040-90,N040.90,Rheumatoid arthritis NOS
Inflammatory polyarthropathies,^ESCTRH572143,,Rheumatoid arthritis of multiple joints
Inflammatory polyarthropathies,HNGP005,,[RFC] Rheumatoid arthritis
Inflammatory polyarthropathies,^ESCT1190391,,Seropositive errosive rheumatoid arthritis
Inflammatory polyarthropathies,2G25,2G25.00,O/E - hands - ulnar deviation
Inflammatory polyarthropathies,2G25-1,2G25.11,O/E - ulnar deviation
Inflammatory polyarthropathies,2G27,2G27.00,O/E-hands-rheumatoid spindling
Inflammatory polyarthropathies,7P203,7P20300,Delivery of rehabilitation for rheumatoid arthritis
Inflammatory polyarthropathies,F3964,F396400,Myopathy due to rheumatoid arthritis
Inflammatory polyarthropathies,G5y8,G5y8.00,Rheumatoid myocarditis
Inflammatory polyarthropathies,G5yA,G5yA.00,Rheumatoid carditis
Inflammatory polyarthropathies,H570,H570.00,Rheumatoid lung
Inflammatory polyarthropathies,N005,N005.00,Adult Still's Disease
Inflammatory polyarthropathies,N04,N04..00,Rheumatoid arthritis and other inflammatory polyarthropathy
Inflammatory polyarthropathies,N040,N040.00,Rheumatoid arthritis
Inflammatory polyarthropathies,N0400,N040000,Rheumatoid arthritis of cervical spine
Inflammatory polyarthropathies,N0402,N040200,Rheumatoid arthritis of shoulder
Inflammatory polyarthropathies,N0403,N040300,Rheumatoid arthritis of sternoclavicular joint
Inflammatory polyarthropathies,N0404,N040400,Rheumatoid arthritis of acromioclavicular joint
Inflammatory polyarthropathies,N0405,N040500,Rheumatoid arthritis of elbow
Inflammatory polyarthropathies,N0406,N040600,Rheumatoid arthritis of distal radio-ulnar joint
Inflammatory polyarthropathies,N0407,N040700,Rheumatoid arthritis of wrist
Inflammatory polyarthropathies,N0408,N040800,Rheumatoid arthritis of MCP joint
Inflammatory polyarthropathies,N0409,N040900,Rheumatoid arthritis of PIP joint of finger
Inflammatory polyarthropathies,N040A,N040A00,Rheumatoid arthritis of DIP joint of finger
Inflammatory polyarthropathies,N040B,N040B00,Rheumatoid arthritis of hip
Inflammatory polyarthropathies,N040C,N040C00,Rheumatoid arthritis of sacro-iliac joint
Inflammatory polyarthropathies,N040D,N040D00,Rheumatoid arthritis of knee
Inflammatory polyarthropathies,N040E,N040E00,Rheumatoid arthritis of tibio-fibular joint
Inflammatory polyarthropathies,N040F,N040F00,Rheumatoid arthritis of ankle
Inflammatory polyarthropathies,N040G,N040G00,Rheumatoid arthritis of subtalar joint
Inflammatory polyarthropathies,N040H,N040H00,Rheumatoid arthritis of talonavicular joint
Inflammatory polyarthropathies,N040J,N040J00,Rheumatoid arthritis of other tarsal joint
Inflammatory polyarthropathies,N040K,N040K00,Rheumatoid arthritis of 1st MTP joint
Inflammatory polyarthropathies,N040L,N040L00,Rheumatoid arthritis of lesser MTP joint
Inflammatory polyarthropathies,N040M,N040M00,Rheumatoid arthritis of IP joint of toe
Inflammatory polyarthropathies,N040N,N040N00,Rheumatoid vasculitis
Inflammatory polyarthropathies,N040P,N040P00,Seronegative rheumatoid arthritis
Inflammatory polyarthropathies,N040Q,N040Q00,Rheumatoid bursitis
Inflammatory polyarthropathies,N040R,N040R00,Rheumatoid nodule
Inflammatory polyarthropathies,N040S,N040S00,Rheumatoid arthritis - multiple joint
Inflammatory polyarthropathies,N040T,N040T00,Flare of rheumatoid arthritis
Inflammatory polyarthropathies,N041,N041.00,Felty's syndrome
