Condition,ReadCode,CleansedReadCode,Term
Malignant neoplasms,^ESCT1198970,,Human immunodeficiency virus with secondary cancers
Malignant neoplasms,A7895,A789500,HIV disease resulting in Kaposi's sarcoma
Malignant neoplasms,A7895-1,A789511,HIV disease resulting in Kaposi sarcoma
Malignant neoplasms,B01-99,B01..99,Tongue carcinoma
Malignant neoplasms,^ESCT1192569,,"Malignant neoplasm of lip unspecified, inner aspect"
Malignant neoplasms,^ESCT1271908,,"Malignant neoplasm of lip, oral cavity and pharynx NOS"
Malignant neoplasms,^ESCT1192570,,"Malignant neoplasm of lip, unspecified, lipstick area"
Malignant neoplasms,^ESCT1192553,,Malignant neoplasm of ventral tongue surface NOS
Malignant neoplasms,B0,B0...00,"Malignant neoplasm of lip, oral cavity and pharynx"
Malignant neoplasms,B0-1,B0...11,"Carcinoma of lip, oral cavity and pharynx"
Malignant neoplasms,B00,B00..00,Malignant neoplasm of lip
Malignant neoplasms,B00-1,B00..11,Carcinoma of lip
Malignant neoplasms,B000,B000.00,"Malignant neoplasm of upper lip, vermilion border"
Malignant neoplasms,B0000,B000000,"Malignant neoplasm of upper lip, external"
Malignant neoplasms,B0001,B000100,"Malignant neoplasm of upper lip, lipstick area"
Malignant neoplasms,B000z,B000z00,"Malignant neoplasm of upper lip, vermilion border NOS"
Malignant neoplasms,B001,B001.00,"Malignant neoplasm of lower lip, vermilion border"
Malignant neoplasms,B0010,B001000,"Malignant neoplasm of lower lip, external"
Malignant neoplasms,B0011,B001100,"Malignant neoplasm of lower lip, lipstick area"
Malignant neoplasms,B001z,B001z00,"Malignant neoplasm of lower lip, vermilion border NOS"
Malignant neoplasms,B002,B002.00,"Malignant neoplasm of upper lip, inner aspect"
Malignant neoplasms,B0021,B002100,"Malignant neoplasm of upper lip, frenulum"
Malignant neoplasms,B0022,B002200,"Malignant neoplasm of upper lip, mucosa"
Malignant neoplasms,B0023,B002300,"Malignant neoplasm of upper lip, oral aspect"
Malignant neoplasms,B002z,B002z00,"Malignant neoplasm of upper lip, inner aspect NOS"
Malignant neoplasms,B003,B003.00,"Malignant neoplasm of lower lip, inner aspect"
Malignant neoplasms,B0030,B003000,"Malignant neoplasm of lower lip, buccal aspect"
Malignant neoplasms,B0031,B003100,"Malignant neoplasm of lower lip, frenulum"
Malignant neoplasms,B0032,B003200,"Malignant neoplasm of lower lip, mucosa"
Malignant neoplasms,B0033,B003300,"Malignant neoplasm of lower lip, oral aspect"
Malignant neoplasms,B003z,B003z00,"Malignant neoplasm of lower lip, inner aspect NOS"
Malignant neoplasms,B004,B004.00,"Malignant neoplasm of lip unspecified, inner aspect"
