Condition,ReadCode,CleansedReadCode,Term
Other spirochaetal infections,N014z,N014z00,Arthropathy associated with other bacterial disease NOS
Other spirochaetal infections,^ESCTBA328048,,Bacterial arthritis
Other spirochaetal infections,^ESCTST287514,,Steere's disease
Other spirochaetal infections,N0147,N014700,"Arthropathy with other bacterial disease, of ankle and foot"
Other spirochaetal infections,N0144,N014400,"Arthropathy with other bacterial disease, of hand"
Other spirochaetal infections,N0145,N014500,"Arthropathy with other bacterial disease, of pelvic/thigh"
Other spirochaetal infections,N0141,N014100,"Arthropathy with other bacterial disease, of shoulder region"
Other spirochaetal infections,N0140,N014000,"Arthropathy with other bacterial disease, of unspec site"
Other spirochaetal infections,N0142,N014200,"Arthropathy with other bacterial disease, of upper arm"
Other spirochaetal infections,70561,7056100,Canal of Guyon release
Other spirochaetal infections,AA41,AA41.00,Erythema chronicum migrans
Other spirochaetal infections,^ESCTIN773335,,Infection of central nervous system caused by Borrelia burgdorferi
Other spirochaetal infections,^ESCTER363181,,Erythema chronica migrans
Other spirochaetal infections,^ESCTCU777146,,Cutaneous B-cell pseudolymphoma caused by Borrelia
Other spirochaetal infections,^ESCTER363184,,Erythema chronicum migrans skin condition
Other spirochaetal infections,^ESCTAR328050,,Arthritis due to bacterial infection
Other spirochaetal infections,705z,705z.00,Peripheral nerve operations NOS
Other spirochaetal infections,F00yz,F00yz00,Other specified bacterial meningitis NOS
Other spirochaetal infections,N0143,N014300,"Arthropathy with other bacterial disease, of forearm"
Other spirochaetal infections,N0146,N014600,"Arthropathy with other bacterial disease, of lower leg"
Other spirochaetal infections,^ESCTGU464620,,Guyon's canal decompression
Other spirochaetal infections,^ESCTIN287516,,Infection due to Borrelia burgdorferi sensu lato
Other spirochaetal infections,A8710,A871000,Lyme disease
Other spirochaetal infections,A8712,A871200,Lyme carditis
Other spirochaetal infections,N010A,N010A00,Arthritis in Lyme disease
Other spirochaetal infections,AA41-1,AA41.11,Erythema migrans
Other spirochaetal infections,A8713,A871300,Borrelial lymphocytoma
Other spirochaetal infections,AA4z,AA4z.00,Other spirochaetal infection NOS
Other spirochaetal infections,A8711,A871100,Lyme neuroborreliosis
Other spirochaetal infections,^ESCTTA326617,,Tarsal tunnel decompression
Other spirochaetal infections,F00z,F00z.00,Bacterial meningitis NOS
Other spirochaetal infections,M15z,M15z.00,Erythematous conditions NOS
Other spirochaetal infections,N014,N014.00,Arthropathy associated with other bacterial diseases
Other spirochaetal infections,A8710-1,A871011,Lyme borreliosis
Other spirochaetal infections,N010A-1,N010A11,Lyme arthritis
Other spirochaetal infections,N010-1,N010.11,Septic arthritis
Other spirochaetal infections,M15yz,M15yz00,Other erythematous conditions NOS
