Condition,ReadCode,CleansedReadCode,Term
Polyneuropathies and other disorders of the peripheral nervous system,F3710,F371000,Polyneuropathy in disseminated lupus erythematosus
Polyneuropathies and other disorders of the peripheral nervous system,C109A-2,C109A12,Type 2 diabetes mellitus with mononeuropathy
Polyneuropathies and other disorders of the peripheral nervous system,C109A-1,C109A11,Type II diabetes mellitus with mononeuropathy
Polyneuropathies and other disorders of the peripheral nervous system,C109B-1,C109B11,Type II diabetes mellitus with polyneuropathy
Polyneuropathies and other disorders of the peripheral nervous system,C109H-1,C109H11,Type II diabetes mellitus with neuropathic arthropathy
Polyneuropathies and other disorders of the peripheral nervous system,C109H-2,C109H12,Type 2 diabetes mellitus with neuropathic arthropathy
Polyneuropathies and other disorders of the peripheral nervous system,C10FA,C10FA00,Type 2 diabetes mellitus with mononeuropathy
Polyneuropathies and other disorders of the peripheral nervous system,C10FA-1,C10FA11,Type II diabetes mellitus with mononeuropathy
Polyneuropathies and other disorders of the peripheral nervous system,C10FB,C10FB00,Type 2 diabetes mellitus with polyneuropathy
Polyneuropathies and other disorders of the peripheral nervous system,C10FB-1,C10FB11,Type II diabetes mellitus with polyneuropathy
Polyneuropathies and other disorders of the peripheral nervous system,C10FH,C10FH00,Type 2 diabetes mellitus with neuropathic arthropathy
Polyneuropathies and other disorders of the peripheral nervous system,C106-99,C106.99,Diabetes + neuropathy
Polyneuropathies and other disorders of the peripheral nervous system,^ESCTDI480892,,Diabetic neuropathic arthropathy
Polyneuropathies and other disorders of the peripheral nervous system,C10EJ-2,C10EJ12,Insulin dependent diab mell with neuropathic arthropathy
Polyneuropathies and other disorders of the peripheral nervous system,C10EB-2,C10EB12,Insulin dependent diabetes mellitus with mononeuropathy
Polyneuropathies and other disorders of the peripheral nervous system,C108B-2,C108B12,Type 1 diabetes mellitus with mononeuropathy
Polyneuropathies and other disorders of the peripheral nervous system,C108C-2,C108C12,Type 1 diabetes mellitus with polyneuropathy
Polyneuropathies and other disorders of the peripheral nervous system,C10EJ-1,C10EJ11,Type I diabetes mellitus with neuropathic arthropathy
Polyneuropathies and other disorders of the peripheral nervous system,C108C-1,C108C11,Type I diabetes mellitus with polyneuropathy
Polyneuropathies and other disorders of the peripheral nervous system,C106-2,C106.12,Diabetes mellitus with neuropathy
Polyneuropathies and other disorders of the peripheral nervous system,C106-3,C106.13,Diabetes mellitus with polyneuropathy
Polyneuropathies and other disorders of the peripheral nervous system,C108B,C108B00,Insulin dependent diabetes mellitus with mononeuropathy
Polyneuropathies and other disorders of the peripheral nervous system,C108C,C108C00,Insulin dependent diabetes mellitus with polyneuropathy
Polyneuropathies and other disorders of the peripheral nervous system,C108J,C108J00,Insulin dependent diab mell with neuropathic arthropathy
Polyneuropathies and other disorders of the peripheral nervous system,C108J-1,C108J11,Type I diabetes mellitus with neuropathic arthropathy
Polyneuropathies and other disorders of the peripheral nervous system,C108J-2,C108J12,Type 1 diabetes mellitus with neuropathic arthropathy
Polyneuropathies and other disorders of the peripheral nervous system,C109A,C109A00,Non-insulin dependent diabetes mellitus with mononeuropathy
Polyneuropathies and other disorders of the peripheral nervous system,C109B,C109B00,Non-insulin dependent diabetes mellitus with polyneuropathy
Polyneuropathies and other disorders of the peripheral nervous system,C109H,C109H00,Non-insulin dependent d m with neuropathic arthropathy
Polyneuropathies and other disorders of the peripheral nervous system,C10EB,C10EB00,Type 1 diabetes mellitus with mononeuropathy
Polyneuropathies and other disorders of the peripheral nervous system,C10EC,C10EC00,Type 1 diabetes mellitus with polyneuropathy
Polyneuropathies and other disorders of the peripheral nervous system,C10EC-1,C10EC11,Type I diabetes mellitus with polyneuropathy
Polyneuropathies and other disorders of the peripheral nervous system,C10EJ,C10EJ00,Type 1 diabetes mellitus with neuropathic arthropathy
Polyneuropathies and other disorders of the peripheral nervous system,F3450,F345000,Diabetic mononeuritis multiplex
Polyneuropathies and other disorders of the peripheral nervous system,F35z0,F35z000,Diabetic mononeuritis NOS
Polyneuropathies and other disorders of the peripheral nervous system,F372,F372.00,Polyneuropathy in diabetes
Polyneuropathies and other disorders of the peripheral nervous system,F372-1,F372.11,Diabetic polyneuropathy
Polyneuropathies and other disorders of the peripheral nervous system,F372-2,F372.12,Diabetic neuropathy
Polyneuropathies and other disorders of the peripheral nervous system,F3721,F372100,Chronic painful diabetic neuropathy
Polyneuropathies and other disorders of the peripheral nervous system,F3722,F372200,Asymptomatic diabetic neuropathy
Polyneuropathies and other disorders of the peripheral nervous system,F3y0,F3y0.00,Diabetic mononeuropathy
Polyneuropathies and other disorders of the peripheral nervous system,M2711,M271100,Neuropathic diabetic ulcer - foot
Polyneuropathies and other disorders of the peripheral nervous system,N0301,N030100,Diabetic Charcot arthropathy
Polyneuropathies and other disorders of the peripheral nervous system,F34-99,F34..99,Mononeuritis - upper limb
Polyneuropathies and other disorders of the peripheral nervous system,N242-93,N242.93,Neuralgia/neurit.-pelvis/thigh
Polyneuropathies and other disorders of the peripheral nervous system,N242z-99,N242z99,Neuralgia/neuritis - NOS
Polyneuropathies and other disorders of the peripheral nervous system,N242-95,N242.95,Neuralgia/neuritis - fore arm
Polyneuropathies and other disorders of the peripheral nervous system,N242-94,N242.94,Neuralgia/neuritis - hand
Polyneuropathies and other disorders of the peripheral nervous system,N242-92,N242.92,Neuralgia/neuritis - lower leg
Polyneuropathies and other disorders of the peripheral nervous system,N242-97,N242.97,Neuralgia/neuritis - shoulder
Polyneuropathies and other disorders of the peripheral nervous system,N242-96,N242.96,Neuralgia/neuritis - upper arm
Polyneuropathies and other disorders of the peripheral nervous system,N242-91,N242.91,Neuralgia/neuritis -ankle/foot
Polyneuropathies and other disorders of the peripheral nervous system,N242-99,N242.99,Neuralgia/neuritis NOS
Polyneuropathies and other disorders of the peripheral nervous system,F35x-99,F35x.99,Other mononeuritis -lower limb
Polyneuropathies and other disorders of the peripheral nervous system,^ESCTPH253365,,PHN - Post-herpetic neuralgia
Polyneuropathies and other disorders of the peripheral nervous system,^ESCTRE500892,,Retrobulbar neuritis
Polyneuropathies and other disorders of the peripheral nervous system,F4H3-99,F4H3.99,Retrobulbar neuritis
Polyneuropathies and other disorders of the peripheral nervous system,HNG0061,,[RFC] Neuralgia
Polyneuropathies and other disorders of the peripheral nervous system,^ESCTAL262614,,Alcoholic polyneuropathy
Polyneuropathies and other disorders of the peripheral nervous system,EMISNQAX1,,Axonal sensorimotor neuropathy
Polyneuropathies and other disorders of the peripheral nervous system,^ESCT1192518,,Median nerve lesions NOS
Polyneuropathies and other disorders of the peripheral nervous system,^ESCT1271701,,Mononeuritis of upper limb and mononeuritis multiplex
Polyneuropathies and other disorders of the peripheral nervous system,^ESCTMO298416,,Morton's metatarsalgia
Polyneuropathies and other disorders of the peripheral nervous system,EMISNQNE25,,Neuropathic foot ulcer
Polyneuropathies and other disorders of the peripheral nervous system,^ESCT1273015,,Other mononeuritis lower limb
Polyneuropathies and other disorders of the peripheral nervous system,^ESCT1271961,,Peripheral nervous system disorder NOS
Polyneuropathies and other disorders of the peripheral nervous system,^ESCTPO374381,,Postherpetic polyneuropathy
Polyneuropathies and other disorders of the peripheral nervous system,C10EB-1,C10EB11,Type I diabetes mellitus with mononeuropathy
Polyneuropathies and other disorders of the peripheral nervous system,A5313,A531300,Postherpetic polyneuropathy
Polyneuropathies and other disorders of the peripheral nervous system,A72x1,A72x100,Mumps polyneuropathy
Polyneuropathies and other disorders of the peripheral nervous system,C108B-1,C108B11,Type I diabetes mellitus with mononeuropathy
Polyneuropathies and other disorders of the peripheral nervous system,C109B-2,C109B12,Type 2 diabetes mellitus with polyneuropathy
Polyneuropathies and other disorders of the peripheral nervous system,C10EC-2,C10EC12,Insulin dependent diabetes mellitus with polyneuropathy
Polyneuropathies and other disorders of the peripheral nervous system,C10FH-1,C10FH11,Type II diabetes mellitus with neuropathic arthropathy
Polyneuropathies and other disorders of the peripheral nervous system,E0111,E011100,Korsakov's alcoholic psychosis with peripheral neuritis
Polyneuropathies and other disorders of the peripheral nervous system,F34,F34..00,Mononeuritis of upper limb and mononeuritis multiplex
Polyneuropathies and other disorders of the peripheral nervous system,F341,F341.00,Other median nerve lesions
Polyneuropathies and other disorders of the peripheral nervous system,F3410,F341000,Median nerve neuritis
Polyneuropathies and other disorders of the peripheral nervous system,F3411,F341100,Median nerve compression in forearm
Polyneuropathies and other disorders of the peripheral nervous system,F341z,F341z00,Median nerve lesions NOS
Polyneuropathies and other disorders of the peripheral nervous system,F342,F342.00,Ulnar nerve lesions
Polyneuropathies and other disorders of the peripheral nervous system,F342-1,F342.11,Neuritis ulnar nerve
Polyneuropathies and other disorders of the peripheral nervous system,F3420,F342000,Cubital tunnel syndrome
Polyneuropathies and other disorders of the peripheral nervous system,F3421,F342100,Tardy ulnar nerve palsy
Polyneuropathies and other disorders of the peripheral nervous system,F3422,F342200,Canal of Guyon compression
Polyneuropathies and other disorders of the peripheral nervous system,F3423,F342300,Ulnar nerve entrapment
Polyneuropathies and other disorders of the peripheral nervous system,F3424,F342400,Ulnar neuropathy
Polyneuropathies and other disorders of the peripheral nervous system,F342z,F342z00,Ulnar nerve lesion NOS
Polyneuropathies and other disorders of the peripheral nervous system,F343,F343.00,Radial nerve lesions
Polyneuropathies and other disorders of the peripheral nervous system,F3431,F343100,Sensory branch of radial nerve lesion
Polyneuropathies and other disorders of the peripheral nervous system,F3432,F343200,Posterior interosseous nerve lesion
Polyneuropathies and other disorders of the peripheral nervous system,F343z,F343z00,Radial nerve lesion NOS
Polyneuropathies and other disorders of the peripheral nervous system,F344,F344.00,Causalgia
Polyneuropathies and other disorders of the peripheral nervous system,F345,F345.00,Mononeuritis multiplex
Polyneuropathies and other disorders of the peripheral nervous system,F346,F346.00,Median nerve entrapment
Polyneuropathies and other disorders of the peripheral nervous system,F34y,F34y.00,Other upper limb mononeuritis
Polyneuropathies and other disorders of the peripheral nervous system,F34z,F34z.00,Mononeuritis upper limb NOS
Polyneuropathies and other disorders of the peripheral nervous system,F35,F35..00,Mononeuritis lower limb
Polyneuropathies and other disorders of the peripheral nervous system,F350,F350.00,Sciatic nerve lesion
Polyneuropathies and other disorders of the peripheral nervous system,F351,F351.00,Meralgia paraesthetica
Polyneuropathies and other disorders of the peripheral nervous system,F352,F352.00,Femoral nerve lesions
Polyneuropathies and other disorders of the peripheral nervous system,F353,F353.00,Common peroneal nerve lesion
Polyneuropathies and other disorders of the peripheral nervous system,F353-1,F353.11,Lateral popliteal nerve lesion
Polyneuropathies and other disorders of the peripheral nervous system,F354,F354.00,Tibial nerve lesion
Polyneuropathies and other disorders of the peripheral nervous system,F354-1,F354.11,Medial popliteal nerve lesion
Polyneuropathies and other disorders of the peripheral nervous system,F355,F355.00,Tarsal tunnel syndrome
Polyneuropathies and other disorders of the peripheral nervous system,F3560,F356000,Morton's metatarsalgia
Polyneuropathies and other disorders of the peripheral nervous system,F3561,F356100,Morton's neuralgia
Polyneuropathies and other disorders of the peripheral nervous system,F357,F357.00,Superficial peroneal nerve lesion
Polyneuropathies and other disorders of the peripheral nervous system,F358,F358.00,Deep peroneal nerve lesion
Polyneuropathies and other disorders of the peripheral nervous system,F35x,F35x.00,Other mononeuritis lower limb
Polyneuropathies and other disorders of the peripheral nervous system,F35y,F35y.00,Unspecified mononeuritis lower limb
Polyneuropathies and other disorders of the peripheral nervous system,F35z,F35z.00,Mononeuritis of unspecified site NOS
Polyneuropathies and other disorders of the peripheral nervous system,F3600,F360000,Dejerine-Sottas disease
Polyneuropathies and other disorders of the peripheral nervous system,F3610,F361000,Charcot-Marie-Tooth disease
Polyneuropathies and other disorders of the peripheral nervous system,F3610-2,F361012,Charcot-Marie-Tooth syndrome
Polyneuropathies and other disorders of the peripheral nervous system,F363,F363.00,Refsum's disease
Polyneuropathies and other disorders of the peripheral nervous system,F364,F364.00,Idiopathic progressive polyneuropathy
Polyneuropathies and other disorders of the peripheral nervous system,F366,F366.00,Polyneuropathy
Polyneuropathies and other disorders of the peripheral nervous system,F367,F367.00,Peripheral neuropathy
Polyneuropathies and other disorders of the peripheral nervous system,F36y,F36y.00,Other idiopathic peripheral neuropathy
Polyneuropathies and other disorders of the peripheral nervous system,F36yz,F36yz00,Other idiopathic peripheral neuropathy NOS
Polyneuropathies and other disorders of the peripheral nervous system,F37,F37..00,Inflammatory and toxic neuropathy
Polyneuropathies and other disorders of the peripheral nervous system,F37-1,F37..11,Toxic neuropathy
Polyneuropathies and other disorders of the peripheral nervous system,F3700,F370000,Guillain-Barre syndrome
Polyneuropathies and other disorders of the peripheral nervous system,F3701,F370100,Postinfectious polyneuritis
Polyneuropathies and other disorders of the peripheral nervous system,F3702,F370200,Miller-Fisher syndrome
Polyneuropathies and other disorders of the peripheral nervous system,F371,F371.00,Polyneuropathy in collagen vascular disease
Polyneuropathies and other disorders of the peripheral nervous system,F3711,F371100,Polyneuropathy in polyarteritis nodosa
Polyneuropathies and other disorders of the peripheral nervous system,F371z,F371z00,Polyneuropathy in collagen vascular disease NOS
Polyneuropathies and other disorders of the peripheral nervous system,F373,F373.00,Polyneuropathy in malignant disease
Polyneuropathies and other disorders of the peripheral nervous system,F374,F374.00,Polyneuropathy in disease EC
Polyneuropathies and other disorders of the peripheral nervous system,F3740,F374000,Polyneuropathy in amyloidosis
Polyneuropathies and other disorders of the peripheral nervous system,F3741,F374100,Polyneuropathy in beriberi
Polyneuropathies and other disorders of the peripheral nervous system,F3742,F374200,Polyneuropathy in vitamin B deficiency
Polyneuropathies and other disorders of the peripheral nervous system,F3743,F374300,Polyneuropathy in diphtheria
Polyneuropathies and other disorders of the peripheral nervous system,F3744,F374400,Polyneuropathy in herpes zoster
Polyneuropathies and other disorders of the peripheral nervous system,F3745,F374500,Polyneuropathy in hypoglycaemia
Polyneuropathies and other disorders of the peripheral nervous system,F3746,F374600,Polyneuropathy in mumps
Polyneuropathies and other disorders of the peripheral nervous system,F3748,F374800,Polyneuropathy in porphyria
Polyneuropathies and other disorders of the peripheral nervous system,F3749,F374900,Polyneuropathy in sarcoidosis
Polyneuropathies and other disorders of the peripheral nervous system,F374A,F374A00,Polyneuropathy in uraemia
Polyneuropathies and other disorders of the peripheral nervous system,F374z,F374z00,Polyneuropathy in disease NOS
Polyneuropathies and other disorders of the peripheral nervous system,F375,F375.00,Alcoholic polyneuropathy
Polyneuropathies and other disorders of the peripheral nervous system,F376,F376.00,Polyneuropathy due to drugs
Polyneuropathies and other disorders of the peripheral nervous system,F377,F377.00,Other toxic agent polyneuropathy
Polyneuropathies and other disorders of the peripheral nervous system,F378,F378.00,Intercostal neuropathy
Polyneuropathies and other disorders of the peripheral nervous system,F37X,F37X.00,"Inflammatory polyneuropathy, unspecified"
Polyneuropathies and other disorders of the peripheral nervous system,F37y,F37y.00,Other toxic or inflammatory neuropathy
Polyneuropathies and other disorders of the peripheral nervous system,F37y0,F37y000,Serum neuropathy
Polyneuropathies and other disorders of the peripheral nervous system,F37y1,F37y100,Axonal sensorimotor neuropathy
Polyneuropathies and other disorders of the peripheral nervous system,F37z,F37z.00,Toxic or inflammatory neuropathy NOS
Polyneuropathies and other disorders of the peripheral nervous system,F37z-1,F37z.11,Polyneuropathy unspecified
