Condition,ReadCode,CleansedReadCode,Term
Systemic connective tissue disorders,G755,G755.00,Giant cell arteritis
Systemic connective tissue disorders,G7550,G755000,Cranial arteritis
Systemic connective tissue disorders,G7551,G755100,Temporal arteritis
Systemic connective tissue disorders,G7552,G755200,Horton's disease
Systemic connective tissue disorders,G755z,G755z00,Giant cell arteritis NOS
Systemic connective tissue disorders,N200,N200.00,Giant cell arteritis with polymyalgia rheumatica
Systemic connective tissue disorders,Nyu41,Nyu4100,[X]Other giant cell arteritis
Systemic connective tissue disorders,N20,N20..00,Polymyalgia rheumatica
Systemic connective tissue disorders,N20-1,N20..11,Polymyalgia
Systemic connective tissue disorders,F3961,F396100,Myopathy due to disseminated lupus erythematosus
Systemic connective tissue disorders,F4D33,F4D3300,Eyelid discoid lupus erythematosus
Systemic connective tissue disorders,H57y4,H57y400,Lung disease with systemic lupus erythematosus
Systemic connective tissue disorders,K01x4,K01x400,Nephrotic syndrome in systemic lupus erythematosus
Systemic connective tissue disorders,K01x4-1,K01x411,Lupus nephritis
Systemic connective tissue disorders,K0B40,K0B4000,Renal tubulo-interstitial disorder in SLE
Systemic connective tissue disorders,M154,M154.00,Lupus erythematosus
Systemic connective tissue disorders,M1540,M154000,Lupus erythematosus chronicus
Systemic connective tissue disorders,M1541,M154100,Discoid lupus erythematosus
Systemic connective tissue disorders,M1542,M154200,Lupus erythematosus migrans
Systemic connective tissue disorders,M1543,M154300,Lupus erythematosus nodularis
Systemic connective tissue disorders,M1544,M154400,Lupus erythematosus profundus
Systemic connective tissue disorders,M1545,M154500,Lupus erythematosus tumidus
Systemic connective tissue disorders,M1546,M154600,Lupus erythematosus unguium mutilans
Systemic connective tissue disorders,M154z,M154z00,Lupus erythematosus NOS
Systemic connective tissue disorders,Myu78,Myu7800,[X]Other local lupus erythematosus
Systemic connective tissue disorders,N000,N000.00,Systemic lupus erythematosus
Systemic connective tissue disorders,N0000,N000000,Disseminated lupus erythematosus
Systemic connective tissue disorders,N0001,N000100,Libman-Sacks disease
Systemic connective tissue disorders,N0002,N000200,Drug-induced systemic lupus erythematosus
Systemic connective tissue disorders,N0003,N000300,Systemic lupus erythematosus with organ or sys involv
Systemic connective tissue disorders,N0004,N000400,Systemic lupus erythematosus with pericarditis
Systemic connective tissue disorders,N0006,N000600,Cerebral lupus
Systemic connective tissue disorders,N000z,N000z00,Systemic lupus erythematosus NOS
Systemic connective tissue disorders,Nyu43,Nyu4300,[X]Other forms of systemic lupus erythematosus
Systemic connective tissue disorders,F3966,F396600,Myopathy due to scleroderma
Systemic connective tissue disorders,H572,H572.00,Lung disease with systemic sclerosis
Systemic connective tissue disorders,K0J0,K0J0.00,Renal involvement in scleroderma
Systemic connective tissue disorders,N001,N001.00,Scleroderma
Systemic connective tissue disorders,N001-1,N001.11,Acrosclerosis
Systemic connective tissue disorders,N001-2,N001.12,Systemic sclerosis
Systemic connective tissue disorders,N0010,N001000,Progressive systemic sclerosis
Systemic connective tissue disorders,N0011,N001100,CREST syndrome
Systemic connective tissue disorders,N0012,N001200,Systemic sclerosis induced by drugs and chemicals
Systemic connective tissue disorders,Nyu45,Nyu4500,[X]Other forms of systemic sclerosis
Systemic connective tissue disorders,F3967,F396700,Myopathy due to Sjogren's disease
Systemic connective tissue disorders,H57y3,H57y300,Lung disease with Sjogren's disease
Systemic connective tissue disorders,N002,N002.00,Sicca (Sjogren's) syndrome
