Condition,SNOMED_Code,SnomedCTDescriptionId,Term
Cataract,420756003,3688522015.0,Type II diabetes mellitus with diabetic cataract
Cataract,420756003,3688522015.0,Type 2 diabetes mellitus with diabetic cataract
Cataract,421920002,3688521010.0,Type I diabetes mellitus with diabetic cataract
Cataract,43959009,73294018.0,Insulin dependent diabetes mellitus with diabetic cataract
Cataract,420756003,3035281015.0,Non-insulin depend diabetes mellitus with diabetic cataract
Cataract,421920002,2618234016.0,Type 1 diabetes mellitus with diabetic cataract
Cataract,43959009,73294018.0,Diabetic cataract
Cataract,54885007,91237012.0,Cataract extraction
Cataract,853291000006107,853291000006111.0,Cataract extraction & lens repl
Cataract,538661000000100,859771000006116.0,Cataract extraction unspec.
Cataract,13793006,1221016013.0,Extracapsular cataract extraction
Cataract,853641000006100,853641000006116.0,Left cataract extraction
Cataract,853651000006103,853651000006119.0,Right cataract extraction
Cataract,193600001,883311000006115.0,Secondary cataract
Cataract,172532006,859751000006114.0,YAG laser post capsulotomy
Cataract,857711000006100,857711000006116.0,Yag laser capsulotomy
Cataract,587641000000106,1303421000000111.0,Cataract due to other disorder
Cataract,76309006,126733015.0,Cataract with neovascularization
Cataract,47337003,78919019.0,Posterior capsule opacification
Cataract,162811006,253774010.0,O/E - cataract present
Cataract,247052002,368958013.0,Cataract observation
Cataract,308088006,451393017.0,O/E - Right cataract present
Cataract,308089003,451394011.0,O/E - Left cataract present
Cataract,5130002,495988011.0,Needling of lens for cataract
Cataract,5130002,495989015.0,Discission of cataract
Cataract,193570009,298076010.0,Cataract
Cataract,399305009,1778757011.0,Unspecified presenile cataract
Cataract,1412008,3463017.0,Anterior subcapsular polar cataract
Cataract,34533008,57632013.0,Posterior subcapsular polar cataract
Cataract,193576003,298083015.0,Cortical cataract
Cataract,193577007,298084014.0,Lamellar zonular cataract
Cataract,53889007,89579016.0,Nuclear cataract
Cataract,193579005,298086011.0,Combined nonsenile cataract
Cataract,193571008,298078011.0,Other nonsenile cataract
Cataract,193571008,298078011.0,Nonsenile cataract NOS
Cataract,39450006,66160017.0,Senile cataract
Cataract,39450006,492086016.0,Unspecified senile cataract
Cataract,44219007,73743014.0,Lens capsule pseudoexfoliation
Cataract,12195004,21000016.0,Coronary cataract
Cataract,40714009,67912012.0,Punctate cataract
Cataract,52421005,87235014.0,Incipient cataract NOS
Cataract,446474007,2884338017.0,Immature cataract NOS
Cataract,111515007,178759010.0,Anterior subcapsular polar senile cataract
Cataract,5318001,9918017.0,Posterior subcapsular polar senile cataract
Cataract,78875003,130863017.0,Cortical senile cataract
Cataract,193589009,298096019.0,Nuclear senile cataract
Cataract,193590000,298097011.0,"Total, mature senile cataract"
Cataract,267626000,399449014.0,Hypermature cataract
Cataract,267626000,399449014.0,Morgagni cataract
Cataract,11422002,19766015.0,Combined senile cataract
Cataract,39450006,66160017.0,Other senile cataract
Cataract,39450006,66160017.0,Senile cataract NOS
Cataract,193600001,298113012.0,Cataract secondary to ocular disease
Cataract,193600001,298113012.0,Unspecified cataracta complicata
Cataract,193602009,298117013.0,Cataract in eye inflammatory disorder
Cataract,76309006,503251011.0,Cataract with neovascularization
Cataract,766837000,3662814015.0,Cataract in degenerative disorder
Cataract,193600001,298113012.0,Cataract secondary to ocular disorder NOS
Cataract,193570009,298076010.0,Cataract due to other disorder
Cataract,68216000,113312017.0,Tetanic cataract
Cataract,64741003,107602013.0,Myotonic cataract
Cataract,193570009,298076010.0,Cataract associated with other syndromes
Cataract,193570009,298076010.0,Cataract due to other disorder NOS
Cataract,47337003,78919019.0,After cataract
Cataract,193570009,298076010.0,Unspecified secondary cataract
Cataract,47337003,78919019.0,Other after cataract with vision normal
Cataract,193615000,298135016.0,After-cataract with vision obscured
Cataract,47337003,78919019.0,After cataract NOS
Cataract,95722004,158572010.0,Bilateral cataracts
Cataract,193570009,298076010.0,Other cataract
Cataract,193570009,298076010.0,Other cataract NOS
Cataract,193570009,298076010.0,Cataract NOS
Cataract,311789006,455415018.0,Immature cortical cataract
Cataract,10810001,18772014.0,[X]Other senile cataract
Cataract,10810001,18772014.0,[X]Other specified cataract
Cataract,10810001,18772014.0,[X]Cataract in other diseases classified elsewhere
Cataract,204124004,313009012.0,Capsular and subcapsular cataract
Cataract,204125003,313010019.0,Capsular cataract
Cataract,95723009,158573017.0,Subcapsular cataract
Cataract,204124004,3009961018.0,Capsular or subcapsular cataract NOS
Cataract,204127006,313012010.0,Cortical and zonular cataract
Cataract,204128001,313014011.0,Zonular cataract
Cataract,204128001,313013017.0,Cortical or zonular cataract NOS
Cataract,204138006,313032011.0,Blue dot cataract
Cataract,428535004,2693274017.0,[V]State following cataract extraction
