Condition,SNOMED_Code,SnomedCTDescriptionId,Term
Conductive and sensorineural hearing loss,49526009,1230737011.0,Age-related hearing loss
Conductive and sensorineural hearing loss,48436005,80699013.0,Articulatory defect due to conductive hearing loss
Conductive and sensorineural hearing loss,48436005,80700014.0,Articulatory defect secondary to hearing loss
Conductive and sensorineural hearing loss,48436005,2410391000000119.0,Articulatory impairment due to conductive hearing loss
Conductive and sensorineural hearing loss,44057004,1230041018.0,CHL - Conductive hearing loss
Conductive and sensorineural hearing loss,85571008,1235048014.0,Cochlear hearing loss
Conductive and sensorineural hearing loss,8531006,15071010.0,Complete deafness
Conductive and sensorineural hearing loss,30169000,1226997019.0,FHL - Functional hearing loss
Conductive and sensorineural hearing loss,30169000,1226996011.0,Functional hearing loss
Conductive and sensorineural hearing loss,679391000000103,883901000006119.0,Hearing loss NOS
Conductive and sensorineural hearing loss,15188001,989081000006119.0,Hearing loss NOS
Conductive and sensorineural hearing loss,15188001,477218019.0,Impaired hearing
Conductive and sensorineural hearing loss,85571008,1235049018.0,Inner ear hearing loss
Conductive and sensorineural hearing loss,77507001,1234120019.0,MHL - Mixed hearing loss
Conductive and sensorineural hearing loss,77507001,128669010.0,Mixed conductive AND sensorineural hearing loss
Conductive and sensorineural hearing loss,77507001,1234121015.0,Mixed deafness
Conductive and sensorineural hearing loss,73415002,502427012.0,NIHL - Noise-induced hearing loss
Conductive and sensorineural hearing loss,30169000,1226994014.0,NOHL - Non-organic hearing loss
Conductive and sensorineural hearing loss,30169000,1226995010.0,Non-organic hearing loss
Conductive and sensorineural hearing loss,877191000000104,2310371000000114.0,Profound BSNHL (bilateral sensorineural hearing loss)
Conductive and sensorineural hearing loss,73371001,502416010.0,Retrocochlear hearing loss
Conductive and sensorineural hearing loss,60700002,1232124012.0,SNHL - Sensorineural hearing loss
Conductive and sensorineural hearing loss,60700002,100854015.0,Sensorineural deafness
Conductive and sensorineural hearing loss,60700002,1232123018.0,Sensory-neural hearing loss
Conductive and sensorineural hearing loss,194418004,2821126011.0,Unilateral conductive hearing loss with unrestricted hearing on the contralateral side
Conductive and sensorineural hearing loss,194428008,2821036017.0,Unilateral mixed conductive and sensorineural hearing loss with unrestricted hearing on the contralateral side
Conductive and sensorineural hearing loss,194425006,2820989012.0,Unilateral sensorineural hearing loss with unrestricted hearing on the contralateral side
Conductive and sensorineural hearing loss,411511000000107,927411000000113.0,[V]Fitting or adjustment of hearing aid
Conductive and sensorineural hearing loss,918721000006105,918721000006114.0,Bilateral deafness
Conductive and sensorineural hearing loss,183126007,2619459016.0,Changing hearing aid battery
Conductive and sensorineural hearing loss,694231000000100,1518611000000111.0,"Deaf mutism, NEC"
Conductive and sensorineural hearing loss,918681000006103,918681000006119.0,Deafness
Conductive and sensorineural hearing loss,679391000000103,1488821000000110.0,Deafness NOS
Conductive and sensorineural hearing loss,285055002,423945013.0,Does use hearing aid
Conductive and sensorineural hearing loss,15188001,477220016.0,Hard of hearing
Conductive and sensorineural hearing loss,982621000006102,982621000006118.0,Hearing impaired
Conductive and sensorineural hearing loss,15188001,477221017.0,Hearing impairment
Conductive and sensorineural hearing loss,15188001,477225014.0,HI - Hearing impairment
Conductive and sensorineural hearing loss,15188001,477224013.0,HL - Hearing loss
Conductive and sensorineural hearing loss,15188001,477219010.0,HOH - Hard of hearing
Conductive and sensorineural hearing loss,164068006,255434015.0,O/E - conductive deafness
Conductive and sensorineural hearing loss,918711000006102,918711000006118.0,Partial deafness
Conductive and sensorineural hearing loss,162342008,253161014.0,Unilateral deafness
