Condition,SNOMED_Code,SnomedCTDescriptionId,Term
Dementia,268612007,882171000006115.0,Dementia
Dementia,914941000006108,914941000006112.0,[D] Dementia
Dementia,914951000006105,914951000006114.0,[D] Dementia in Alzheimer's disease
Dementia,914931000006103,914931000006119.0,[D] Dementia with Lewy bodies
Dementia,914921000006101,914921000006117.0,[D] Vascular dementia
Dementia,56267009,2921000019.0,Multi infarct dementia
Dementia,716341000000104,1568891000000117.0,Excepted from dementia quality indicators: Patient unsuitabl
Dementia,716131000000105,1568691000000118.0,Excepted from dementia quality indicators: Informed dissent
Dementia,268612007,401757012.0,Senile and presenile organic psychotic conditions
Dementia,15662003,26545010.0,Senile dementia
Dementia,52448006,87274019.0,Senile/presenile dementia
Dementia,191449005,294635013.0,Uncomplicated senile dementia
Dementia,12348006,21256010.0,Presenile dementia
Dementia,191451009,294637017.0,Uncomplicated presenile dementia
Dementia,191452002,294638010.0,Presenile dementia with delirium
Dementia,191454001,294641018.0,Presenile dementia with paranoia
Dementia,191455000,294642013.0,Presenile dementia with depression
Dementia,12348006,21256010.0,Presenile dementia NOS
Dementia,191457008,294644014.0,Senile dementia with depressive or paranoid features
Dementia,191458003,294645010.0,Senile dementia with paranoia
Dementia,191459006,294646011.0,Senile dementia with depression
Dementia,191457008,294644014.0,Senile dementia with depressive or paranoid features NOS
Dementia,191461002,294648012.0,Senile dementia with delirium
Dementia,56267009,497559016.0,Arteriosclerotic dementia
Dementia,56267009,93568017.0,Multi infarct dementia
Dementia,191463004,294652012.0,Uncomplicated arteriosclerotic dementia
Dementia,191464005,294653019.0,Arteriosclerotic dementia with delirium
Dementia,191465006,294654013.0,Arteriosclerotic dementia with paranoia
Dementia,191466007,294655014.0,Arteriosclerotic dementia with depression
Dementia,56267009,497559016.0,Arteriosclerotic dementia NOS
Dementia,268612007,401757012.0,Other senile and presenile organic psychoses
Dementia,231438001,346897015.0,Presbyophrenic psychosis
Dementia,268612007,401757012.0,Senile or presenile psychoses NOS
Dementia,191519005,294718018.0,Dementia in conditions EC
Dementia,26929004,45046017.0,[X]Dementia in Alzheimer's disease
Dementia,416780008,2957138011.0,"[X]Presenile dementia,Alzheimer's type"
Dementia,416780008,2957119019.0,[X]Alzheimer's disease type 2
Dementia,416975007,2957137018.0,[X]Alzheimer's disease type 1
Dementia,416975007,2957124016.0,"[X]Senile dementia,Alzheimer's type"
Dementia,26929004,45046017.0,"[X]Dementia in Alzheimer's dis, atypical or mixed type"
Dementia,26929004,45046017.0,"[X]Dementia in Alzheimer's disease, unspecified"
Dementia,26929004,45046017.0,[X]Alzheimer's dementia unspec
Dementia,429998004,2770951017.0,[X]Vascular dementia
Dementia,56267009,497559016.0,[X]Arteriosclerotic dementia
Dementia,56267009,93568017.0,[X]Multi-infarct dementia
Dementia,56267009,93568017.0,[X]Predominantly cortical dementia
Dementia,230286002,345111013.0,[X]Subcortical vascular dementia
Dementia,230287006,345112018.0,[X]Mixed cortical and subcortical vascular dementia
Dementia,429998004,2770951017.0,[X]Other vascular dementia
Dementia,429998004,2770951017.0,"[X]Vascular dementia, unspecified"
Dementia,52448006,87274019.0,[X] Unspecified dementia
Dementia,12348006,21256010.0,[X] Presenile dementia NOS
Dementia,268612007,401757012.0,[X] Presenile psychosis NOS
Dementia,279982005,417465012.0,[X] Primary degenerative dementia NOS
Dementia,15662003,26545010.0,[X] Senile dementia NOS
Dementia,268612007,401757012.0,[X] Senile psychosis NOS
Dementia,191457008,294644014.0,"[X] Senile dementia, depressed or paranoid type"
Dementia,2776000,5694012.0,[X]Delirium superimposed on dementia
Dementia,26929004,45046017.0,Alzheimer's disease
Dementia,26929004,45046017.0,[X]Other Alzheimer's disease
