Condition,SNOMED_Code,SnomedCTDescriptionId,Term
Diabetes,713703005,3698412014.0,Type II diabetes mellitus with gastroparesis
Diabetes,190388001,292577016.0,Type 2 diabetes mellitus with multiple complications
Diabetes,313436004,457329019.0,Type 2 diabetes mellitus without complication
Diabetes,314903002,459311019.0,Type II diabetes mellitus with arthropathy
Diabetes,190388001,292576013.0,Type II diabetes mellitus with multiple complications
Diabetes,420279001,3013392012.0,Type II diabetes mellitus with nephropathy
Diabetes,421326000,84931000006113.0,Type II diabetes mellitus with neurological complications
Diabetes,422099009,1.2702421000006112e+16,Type II diabetes mellitus with ophthalmic complications
Diabetes,313436004,457330012.0,Type II diabetes mellitus without complication
Diabetes,44054006,197761014.0,Type 2 diabetes mellitus
Diabetes,44054006,493774016.0,Type II diabetes mellitus
Diabetes,420279001,3013392012.0,Type II diabetes mellitus with renal complications
Diabetes,420279001,2618208012.0,Type 2 diabetes mellitus with renal complications
Diabetes,422099009,3698440016.0,Type II diabetes mellitus with ophthalmic complications
Diabetes,422099009,3698440016.0,Type 2 diabetes mellitus with ophthalmic complications
Diabetes,421326000,3695406015.0,Type II diabetes mellitus with neurological complications
Diabetes,421326000,3695406015.0,Type 2 diabetes mellitus with neurological complications
Diabetes,190389009,292581016.0,Type II diabetes mellitus with ulcer
Diabetes,190389009,292579018.0,Type 2 diabetes mellitus with ulcer
Diabetes,422034002,3699410014.0,Type II diabetes mellitus with retinopathy
Diabetes,422034002,3699410014.0,Type 2 diabetes mellitus with retinopathy
Diabetes,420279001,3035432019.0,Type 2 diabetes mellitus with nephropathy
Diabetes,719216001,3316336015.0,Type II diabetes mellitus with hypoglycaemic coma
Diabetes,719216001,3316336015.0,Type 2 diabetes mellitus with hypoglycaemic coma
Diabetes,314903002,459310018.0,Type 2 diabetes mellitus with arthropathy
Diabetes,237599002,2967820013.0,Insulin treated Type 2 diabetes mellitus
Diabetes,237599002,1223147012.0,Insulin treated Type II diabetes mellitus
Diabetes,395204000,1488898011.0,Hyperosmolar non-ketotic state in type 2 diabetes mellitus
Diabetes,421986006,2967751013.0,Type 2 diabetes mellitus with persistent proteinuria
Diabetes,421986006,2967751013.0,Type II diabetes mellitus with persistent proteinuria
Diabetes,420715001,2967769016.0,Type 2 diabetes mellitus with persistent microalbuminuria
Diabetes,420715001,2967769016.0,Type II diabetes mellitus with persistent microalbuminuria
Diabetes,421750000,2967754017.0,Type 2 diabetes mellitus with ketoacidosis
Diabetes,421847006,2618218019.0,Type 2 diabetes mellitus with ketoacidotic coma
Diabetes,421779007,2618237011.0,Type 2 diabetes mellitus with exudative maculopathy
Diabetes,713703005,3698412014.0,Type 2 diabetes mellitus with gastroparesis
Diabetes,1873301000006105,1873301000006114.0,Care contact service: diabetes
Diabetes,420422005,3303994013.0,DKA - diabetic ketoacidosis
Diabetes,1823921000006103,1823921000006119.2,Diabetes mellitus confirmed
Diabetes,420422005,881461000006110.0,Diabetes+ketoacidosis -no coma
Diabetes,856531000006103,856531000006119.0,Diabetic - GP eye check
Diabetes,856551000006105,856551000006114.0,Diabetic - hospital eye check
Diabetes,50620007,84344019.0,Diabetic autonomic neuropathy
Diabetes,420422005,2616611010.0,Diabetic ketoacidosis
Diabetes,111556005,178798017.0,Diabetic ketoacidosis without coma
Diabetes,1780981000006104,1780981000006115.0,Diabetic on non-insulin injectable
Diabetes,1804191000006105,1804191000006114.0,Diabetic retinopathy screen done by optician
Diabetes,851051000006106,851051000006110.0,Ins-treat non-ins-dep diab mel
Diabetes,856611000006105,856611000006114.0,Laser treated diabetic retinopathy
