Condition,SNOMED_Code,SnomedCTDescriptionId,Term
"Disease of arteries, arterioles and capilleries",175283003,271421014.0,Emerg repl aneurysm bifurc aorta by anast aorta to fem art
"Disease of arteries, arterioles and capilleries",175284009,271422019.0,Replace aneurysm bifurc aorta by anast aorta to femoral art
"Disease of arteries, arterioles and capilleries",265492000,394302013.0,Emerg repl aneurysm bifurc aorta by anast aorta to iliac a
"Disease of arteries, arterioles and capilleries",265493005,394303015.0,Replace aneurysm bifurc aorta by anast aorta to iliac artery
"Disease of arteries, arterioles and capilleries",275037003,410960011.0,Y graft abdominal Aortic aneurysm
"Disease of arteries, arterioles and capilleries",175298001,271448010.0,Emerg replace aneurysm asc aorta by anastom aorta to aorta
"Disease of arteries, arterioles and capilleries",175299009,271449019.0,Emerg replace aneurysm thor aorta by anastom aorta to aorta
"Disease of arteries, arterioles and capilleries",175301002,271451015.0,Emerg replace aneurysm infrarenal aorta by anast aorta/aorta
"Disease of arteries, arterioles and capilleries",123679006,192168019.0,Emerg replace aneurysm abdom aorta by anast aorta/aorta NEC
"Disease of arteries, arterioles and capilleries",233370007,349678018.0,Aortic aneurysm repair
"Disease of arteries, arterioles and capilleries",116360008,183983017.0,Replace aneurysm ascend aorta by anast of aorta/aorta NEC
"Disease of arteries, arterioles and capilleries",116360008,183983017.0,Replace aneurysm thoracic aorta by anast of aorta/aorta NEC
"Disease of arteries, arterioles and capilleries",116360008,183983017.0,Replace aneurys suprarenal aorta by anast aorta to aorta NEC
"Disease of arteries, arterioles and capilleries",116360008,183983017.0,Replace aneurys infrarenal aorta by anast aorta to aorta NEC
"Disease of arteries, arterioles and capilleries",448122008,2899751014.0,Replace aneurysm abdominal aorta by anast aorta to aorta NEC
"Disease of arteries, arterioles and capilleries",233376001,349693019.0,Tube graft of Abdominal aortic aneurysm
"Disease of arteries, arterioles and capilleries",448122008,2899751014.0,Emerg bypass abdominal aorta by anastom aorta to aorta NEC
"Disease of arteries, arterioles and capilleries",441612006,2816827015.0,Endovascular stenting infrarenal abdominal aortic aneurysm
"Disease of arteries, arterioles and capilleries",378481000000107,745431000000115.0,Endovascular stenting of suprarenal aortic aneurysm
"Disease of arteries, arterioles and capilleries",378491000000109,745451000000110.0,Endovascular stenting of thoracic aortic aneurysm
"Disease of arteries, arterioles and capilleries",307701005,451048019.0,Endovascular stenting for aortic aneurysm of bifurcation NEC
