Condition,SNOMED_Code,SnomedCTDescriptionId,Term
"Diseases of oesophagus, stomach and duodenum",9713002,16976011.0,Prostate inflammatory diseases
"Diseases of oesophagus, stomach and duodenum",843821000000102,2189411000000111.2,Stage 1 hypertension (NICE - Nat Ins for Hth Clin Excl 2011)
"Diseases of oesophagus, stomach and duodenum",72007001,119655018.0,Duodenitis
"Diseases of oesophagus, stomach and duodenum",89538001,148452011.0,Helicobacter gastritis
"Diseases of oesophagus, stomach and duodenum",1824008,4151013.0,Allergic gastritis
"Diseases of oesophagus, stomach and duodenum",196731005,2532163012.0,Gastroduodenitis unspecified
"Diseases of oesophagus, stomach and duodenum",8493009,15005019.0,Chronic gastritis
"Diseases of oesophagus, stomach and duodenum",84568007,140221013.0,Chronic atrophic gastritis
"Diseases of oesophagus, stomach and duodenum",196731005,302616010.0,Gastritis and duodenitis
"Diseases of oesophagus, stomach and duodenum",42541005,70968018.0,Irritant gastritis
"Diseases of oesophagus, stomach and duodenum",196740009,302630017.0,Corrosive gastritis
"Diseases of oesophagus, stomach and duodenum",4556007,7841019.0,Gastritis unspecified
"Diseases of oesophagus, stomach and duodenum",2043009,4525015.0,Alcoholic gastritis
"Diseases of oesophagus, stomach and duodenum",60002000,99677013.0,Gastric mucosal hypertrophy
"Diseases of oesophagus, stomach and duodenum",8493009,15005019.0,Chronic inflammatory gastritis
"Diseases of oesophagus, stomach and duodenum",72950008,502298012.0,Bile induced gastritis
"Diseases of oesophagus, stomach and duodenum",235692002,353328012.0,Duodenal erosion
"Diseases of oesophagus, stomach and duodenum",4556007,7841019.0,Other specified gastritis
"Diseases of oesophagus, stomach and duodenum",196735001,302621013.0,Chronic superficial gastritis
"Diseases of oesophagus, stomach and duodenum",225587003,339001014.0,Gastric reflux
"Diseases of oesophagus, stomach and duodenum",266433003,396339011.0,Gastro-oesophageal reflux with oesophagitis
"Diseases of oesophagus, stomach and duodenum",266433003,396340013.0,Reflux oesophagitis
"Diseases of oesophagus, stomach and duodenum",698065002,2970070010.0,Acid reflux
"Diseases of oesophagus, stomach and duodenum",265357009,394124015.0,Antireflux procedure using thoracic approach NEC
"Diseases of oesophagus, stomach and duodenum",200151000000106,303321000000115.0,Reflux cough
"Diseases of oesophagus, stomach and duodenum",9429009,16524019.0,Antireflux gastroplasty
"Diseases of oesophagus, stomach and duodenum",265360002,394129013.0,Antireflux gastropexy
"Diseases of oesophagus, stomach and duodenum",265357009,394126018.0,Oesophageal reflux operations
"Diseases of oesophagus, stomach and duodenum",265357009,394124015.0,Antireflux operation using thoracic approach NEC
"Diseases of oesophagus, stomach and duodenum",265358004,394127010.0,Antireflux fundoplication using thoracic approach
"Diseases of oesophagus, stomach and duodenum",266433003,396339011.0,Oesophageal reflux with oesophagitis
"Diseases of oesophagus, stomach and duodenum",265357009,394124015.0,Antireflux procedure and gastroplasty HFQ
"Diseases of oesophagus, stomach and duodenum",265357009,394125019.0,Antireflux operations
