Condition,SNOMED_Code,SnomedCTDescriptionId,Term
"Diseases of veins, lymphatic vessels and lymph nodes, note eslewhere classified",163052007,254104013.0,O/E - varicose veins
"Diseases of veins, lymphatic vessels and lymph nodes, note eslewhere classified",705031001,2463941000000119.0,LYMQOL (Lymphoedema Quality of Life Tool) - leg
"Diseases of veins, lymphatic vessels and lymph nodes, note eslewhere classified",302357009,443996017.0,Cockett subfascial ligation of perforating varicose vein
"Diseases of veins, lymphatic vessels and lymph nodes, note eslewhere classified",302357009,443996017.0,Subfascial ligation of varicose veins
"Diseases of veins, lymphatic vessels and lymph nodes, note eslewhere classified",15617002,1221208011.0,Ligation of varicose vein of leg
"Diseases of veins, lymphatic vessels and lymph nodes, note eslewhere classified",175819004,272209014.0,Ligation of recurrent varicose vein of leg
"Diseases of veins, lymphatic vessels and lymph nodes, note eslewhere classified",265543008,394358017.0,Ligation of perforating varicose vein of leg
"Diseases of veins, lymphatic vessels and lymph nodes, note eslewhere classified",265543008,394358017.0,Linton ligation of perforating varicose vein of leg
"Diseases of veins, lymphatic vessels and lymph nodes, note eslewhere classified",15617002,26472016.0,Other specified ligation of varicose vein of leg
"Diseases of veins, lymphatic vessels and lymph nodes, note eslewhere classified",15617002,1221208011.0,Ligation of varicose vein of leg NOS
"Diseases of veins, lymphatic vessels and lymph nodes, note eslewhere classified",429623000,2900604011.0,Transilluminated powered phlebectomy of varicose vein of leg
"Diseases of veins, lymphatic vessels and lymph nodes, note eslewhere classified",9365003,16429014.0,Stripping of varicose vein of leg NEC
"Diseases of veins, lymphatic vessels and lymph nodes, note eslewhere classified",265855005,394888016.0,Mayo stripping of varicose vein
"Diseases of veins, lymphatic vessels and lymph nodes, note eslewhere classified",265545001,394360015.0,Babcock subcutaneous enucleation of varicose veins
"Diseases of veins, lymphatic vessels and lymph nodes, note eslewhere classified",448606008,2398391000000112.0,Endovascular radiofrequency ablation of varicose vein of leg
"Diseases of veins, lymphatic vessels and lymph nodes, note eslewhere classified",713158000,1088601000000114.0,Endovascular laser ablation of varicose vein of leg
"Diseases of veins, lymphatic vessels and lymph nodes, note eslewhere classified",448606008,2901369015.0,Radiofrequency ablation of varicose vein of leg
"Diseases of veins, lymphatic vessels and lymph nodes, note eslewhere classified",609166008,2958283018.0,Perc transluminal laser ablation of varicose vein of leg NEC
"Diseases of veins, lymphatic vessels and lymph nodes, note eslewhere classified",265007006,393534013.0,Charles correction for lymphoedema of arm
"Diseases of veins, lymphatic vessels and lymph nodes, note eslewhere classified",47700006,79485019.0,Thompson correction for lymphoedema
"Diseases of veins, lymphatic vessels and lymph nodes, note eslewhere classified",234307002,351014016.0,Homan correction for lymphoedema
"Diseases of veins, lymphatic vessels and lymph nodes, note eslewhere classified",234305005,351008011.0,Kondoleon correction for lymphoedema
"Diseases of veins, lymphatic vessels and lymph nodes, note eslewhere classified",445710004,2882783018.0,Lymphoedema care
"Diseases of veins, lymphatic vessels and lymph nodes, note eslewhere classified",185189000,285169016.0,Seen in varicose vein clinic
"Diseases of veins, lymphatic vessels and lymph nodes, note eslewhere classified",904571000000103,2326351000000113.0,Seen in lymphoedema clinic
"Diseases of veins, lymphatic vessels and lymph nodes, note eslewhere classified",892341000000102,2297741000000112.0,Seen in community lymphoedema clinic
"Diseases of veins, lymphatic vessels and lymph nodes, note eslewhere classified",191394000,294540013.0,Calcified lymph nodes
"Diseases of veins, lymphatic vessels and lymph nodes, note eslewhere classified",49601007,2474885016.0,"Vein, lymphatic and circulatory diseases NOS"
"Diseases of veins, lymphatic vessels and lymph nodes, note eslewhere classified",72866009,1788137014.0,Varicose veins of the legs
"Diseases of veins, lymphatic vessels and lymph nodes, note eslewhere classified",195445008,300721013.0,Varicose veins of the leg with ulcer
"Diseases of veins, lymphatic vessels and lymph nodes, note eslewhere classified",275700003,411635018.0,Varicose veins of the leg with eczema
"Diseases of veins, lymphatic vessels and lymph nodes, note eslewhere classified",366362000,489882019.0,Varicose eczema
"Diseases of veins, lymphatic vessels and lymph nodes, note eslewhere classified",195447000,300723011.0,Varicose veins of the leg with ulcer and eczema
"Diseases of veins, lymphatic vessels and lymph nodes, note eslewhere classified",195448005,300724017.0,Varicose veins of the leg with rupture
"Diseases of veins, lymphatic vessels and lymph nodes, note eslewhere classified",72866009,121026013.0,Varicose veins of leg without mention of complications
"Diseases of veins, lymphatic vessels and lymph nodes, note eslewhere classified",234055007,350683012.0,Varicose veins of leg with long saphenous vein distribution
"Diseases of veins, lymphatic vessels and lymph nodes, note eslewhere classified",234056008,350684018.0,Varicose veins of leg with short saphenous vein distribution
"Diseases of veins, lymphatic vessels and lymph nodes, note eslewhere classified",195450002,300728019.0,Infected varicose ulcer
"Diseases of veins, lymphatic vessels and lymph nodes, note eslewhere classified",313254003,457115011.0,Varicose vein of leg with phlebitis
"Diseases of veins, lymphatic vessels and lymph nodes, note eslewhere classified",402863005,1781953019.0,Venous ulcer of leg
"Diseases of veins, lymphatic vessels and lymph nodes, note eslewhere classified",72866009,1788137014.0,Varicose veins of the leg NOS
"Diseases of veins, lymphatic vessels and lymph nodes, note eslewhere classified",128060009,194654014.0,Other varicose veins
"Diseases of veins, lymphatic vessels and lymph nodes, note eslewhere classified",128060009,194654014.0,Other specified varicose veins
"Diseases of veins, lymphatic vessels and lymph nodes, note eslewhere classified",128060009,474288018.0,Other varicose veins NOS
"Diseases of veins, lymphatic vessels and lymph nodes, note eslewhere classified",266273006,395807016.0,Noninfective lymphatic disorders
"Diseases of veins, lymphatic vessels and lymph nodes, note eslewhere classified",234097001,350732017.0,Lymphoedema
"Diseases of veins, lymphatic vessels and lymph nodes, note eslewhere classified",33129002,485419019.0,Postmastectomy lymphoedema
"Diseases of veins, lymphatic vessels and lymph nodes, note eslewhere classified",33129002,485419019.0,Elephantiasis-postmastectomy
"Diseases of veins, lymphatic vessels and lymph nodes, note eslewhere classified",234097001,350732017.0,Other lymphoedema
"Diseases of veins, lymphatic vessels and lymph nodes, note eslewhere classified",234097001,350731012.0,Elephantiasis-non filarial-NOS
"Diseases of veins, lymphatic vessels and lymph nodes, note eslewhere classified",28590005,483926012.0,Acquired (chronic) lymphoedema
"Diseases of veins, lymphatic vessels and lymph nodes, note eslewhere classified",234097001,350731012.0,Lymphoedema praecox
