Condition,SNOMED_Code,SnomedCTDescriptionId,Term
Disorders of bone density and structure,309745002,453226012.0,Osteoporosis localized to spine
Disorders of bone density and structure,391070005,1485098013.0,Hip DXA scan result osteoporotic
Disorders of bone density and structure,391075000,1485103010.0,Lumbar DXA scan result osteoporotic
Disorders of bone density and structure,440100002,3013373010.0,Femoral neck DEXA scan result osteoporotic
Disorders of bone density and structure,505171000000102,1152201000000112.0,Bone sparing drug treatment offered for osteoporosis - ESA
Disorders of bone density and structure,64859006,107806013.0,Osteoporosis
Disorders of bone density and structure,64859006,107806013.0,"Osteoporosis, unspecified"
Disorders of bone density and structure,18040001,30475015.0,Senile osteoporosis
Disorders of bone density and structure,102447009,165682016.0,Postmenopausal osteoporosis
Disorders of bone density and structure,203429007,312126010.0,Idiopathic osteoporosis
Disorders of bone density and structure,53174001,88440018.0,Dissuse osteoporosis
Disorders of bone density and structure,14651005,24883018.0,Drug-induced osteoporosis
Disorders of bone density and structure,203433000,312133010.0,Postoophorectomy osteoporosis
Disorders of bone density and structure,203434006,312134016.0,Postsurgical malabsorption osteoporosis
Disorders of bone density and structure,203437004,312138018.0,Osteoporosis in endocrine disorders
Disorders of bone density and structure,203438009,312139014.0,Vertebral osteoporosis
Disorders of bone density and structure,309745002,453225011.0,Osteoporosis localized to spine
Disorders of bone density and structure,390833005,1484866013.0,Osteoporosis due to corticosteroids
Disorders of bone density and structure,64859006,107806013.0,Osteoporosis NOS
Disorders of bone density and structure,203444008,312156018.0,Postoophorectomy osteoporosis with pathological fracture
Disorders of bone density and structure,203445009,312157010.0,Osteoporosis of disuse with pathological fracture
Disorders of bone density and structure,203446005,312158017.0,Postsurgical malabsorption osteoporosis with path fracture
Disorders of bone density and structure,203447001,312159013.0,Drug-induced osteoporosis with pathological fracture
Disorders of bone density and structure,203448006,312160015.0,Idiopathic osteoporosis with pathological fracture
Disorders of bone density and structure,203450003,312162011.0,Osteoporosis + pathological fracture lumbar vertebrae
Disorders of bone density and structure,203451004,312163018.0,Osteoporosis + pathological fracture thoracic vertebrae
Disorders of bone density and structure,203452006,312164012.0,Osteoporosis + pathological fracture cervical vertebrae
Disorders of bone density and structure,203453001,312165013.0,Postmenopausal osteoporosis with pathological fracture
Disorders of bone density and structure,443165006,2837900019.0,Fragility fracture due to unspecified osteoporosis
Disorders of bone density and structure,443165006,2837900019.0,Minimal trauma fracture due to unspecified osteoporosis
Disorders of bone density and structure,306171000000106,545121000000114.0,Fragility fracture
Disorders of bone density and structure,306171000000106,557111000000111.0,Minimal trauma fracture
Disorders of bone density and structure,203657009,312441019.0,Osteoporotic kyphosis
Disorders of bone density and structure,443165006,2837900019.0,[X]Other osteoporosis with pathological fracture
Disorders of bone density and structure,64859006,107806013.0,[X]Other osteoporosis
Disorders of bone density and structure,64859006,107806013.0,[X]Osteoporosis in other disorders classified elsewhere
Disorders of bone density and structure,443165006,2837900019.0,[X]Unspecified osteoporosis with pathological fracture
