Condition,SNOMED_Code,SnomedCTDescriptionId,Term
Disorders of thryoid gland,654491000000108,881391000006112.0,Acquired hypothyroidism NOS
Disorders of thryoid gland,237519003,355966019.0,Autoimmune hypothyroidism
Disorders of thryoid gland,111566002,881381000006114.0,Hypothyroidism-congen.+ acqui.
Disorders of thryoid gland,1539151000006106,1539151000006110.0,Secondary hypothyroidism
Disorders of thryoid gland,82598004,137019010.0,Secondary hypothyroidism
Disorders of thryoid gland,286909009,881371000006111.0,Thyrotoxicosis +/- goitre
Disorders of thryoid gland,905741000006108,905741000006112.0,[RFC] Hyperthyroidism
Disorders of thryoid gland,681051000000104,1492161000000113.0,Hypothyroidism NOS
Disorders of thryoid gland,654491000000108,1438601000000113.0,Other acquired hypothyroidism
Disorders of thryoid gland,27059002,2536050019.0,Postsurgical hypothyroidism
Disorders of thryoid gland,416477006,2548990010.0,Hyperthyroidism resolved
Disorders of thryoid gland,276177000,412221013.0,Thyroid eye disease
Disorders of thryoid gland,90739004,150375010.0,Thyrotoxicosis
Disorders of thryoid gland,34486009,57561015.0,Hyperthyroidism
Disorders of thryoid gland,237498007,355932011.0,Toxic goitre
Disorders of thryoid gland,267374005,398780011.0,Toxic diffuse goitre
Disorders of thryoid gland,353295004,2912991014.0,Basedow's disease
Disorders of thryoid gland,353295004,472452010.0,Graves' disease
Disorders of thryoid gland,237825005,356406019.0,Thyroid-associated dermopathy
Disorders of thryoid gland,267374005,398780011.0,Toxic diffuse goitre NOS
Disorders of thryoid gland,73869005,200396013.0,Toxic uninodular goitre
Disorders of thryoid gland,73869005,200396013.0,Toxic uninodular goitre NOS
Disorders of thryoid gland,26389007,196525014.0,Toxic multinodular goitre
Disorders of thryoid gland,26389007,196525014.0,Toxic multinodular goitre NOS
Disorders of thryoid gland,57777000,497988010.0,Toxic nodular goitre unspecified
Disorders of thryoid gland,57777000,497988010.0,Toxic nodular goitre NOS
Disorders of thryoid gland,90739004,150375010.0,Thyrotoxicosis of other specified origin
Disorders of thryoid gland,90739004,150375010.0,Thyrotoxicosis of other specified origin NOS
Disorders of thryoid gland,90739004,150375010.0,Thyrotoxicosis without mention of goitre or other cause
Disorders of thryoid gland,90739004,150375010.0,Thyrotoxicosis NOS
Disorders of thryoid gland,111566002,178809013.0,Acquired hypothyroidism
Disorders of thryoid gland,43153006,493538010.0,Myxoedema
Disorders of thryoid gland,40930008,68268011.0,Thyroid deficiency
Disorders of thryoid gland,40930008,68268011.0,Hypothyroidism
Disorders of thryoid gland,27059002,45271010.0,Postsurgical hypothyroidism
Disorders of thryoid gland,237527007,355975017.0,Post ablative hypothyroidism
Disorders of thryoid gland,237527007,355975017.0,Other postablative hypothyroidism
Disorders of thryoid gland,190277005,292395017.0,Irradiation hypothyroidism
Disorders of thryoid gland,237527007,355975017.0,Postablative hypothyroidism NOS
Disorders of thryoid gland,88273006,146340011.0,Other iatrogenic hypothyroidism
Disorders of thryoid gland,88273006,146340011.0,Iatrogenic hypothyroidism NOS
Disorders of thryoid gland,237519003,355964016.0,Autoimmune myxoedema
Disorders of thryoid gland,111566002,178809013.0,Other acquired hypothyroidism
Disorders of thryoid gland,40930008,68268011.0,Hypothyroidism NOS
Disorders of thryoid gland,40930008,68268011.0,Pretibial myxoedema - hypothyroid
Disorders of thryoid gland,40930008,68268011.0,Thyroid insufficiency
Disorders of thryoid gland,237518006,355961012.0,"Hypothyroid goitre, acquired"
Disorders of thryoid gland,190291004,292417011.0,Premature puberty due to hypothyroidism
Disorders of thryoid gland,21263006,35727012.0,Myxoedema coma
Disorders of thryoid gland,82119001,136211012.0,Thyroiditis
Disorders of thryoid gland,21983002,481187014.0,Chronic lymphocytic thyroiditis
Disorders of thryoid gland,21983002,481188016.0,Autoimmune thyroiditis
Disorders of thryoid gland,21983002,36888019.0,Hashimoto's disease
Disorders of thryoid gland,84362007,139911019.0,Chronic fibrous thyroiditis
Disorders of thryoid gland,45053005,75139015.0,Other and unspecified chronic thyroiditis
Disorders of thryoid gland,237538007,355987012.0,Chronic thyroiditis with transient thyrotoxicosis
Disorders of thryoid gland,82119001,136211012.0,Thyroiditis NOS
Disorders of thryoid gland,82598004,505169010.0,TSH - thyroid-stimulating hormone deficiency
Disorders of thryoid gland,40930008,68268011.0,[X]Other sp cified hypothyroidism
Disorders of thryoid gland,90739004,150375010.0,[X]Other thyrotoxicosis
Disorders of thryoid gland,45053005,75139015.0,[X]Other chronic thyroiditis
Disorders of thryoid gland,192816007,297016016.0,Cerebral degeneration due to myxoedema
Disorders of thryoid gland,193212008,297588017.0,Myasthenic syndrome due to hypothyroidism
Disorders of thryoid gland,193214009,297591017.0,Myasthenic syndrome due to thyrotoxicosis
Disorders of thryoid gland,87844004,507778013.0,Myopathy due to myxoedema
Disorders of thryoid gland,68437005,1233040016.0,Myopathy due to thyrotoxicosis
Disorders of thryoid gland,19885005,33469013.0,Thyrotoxic exophthalmos
Disorders of thryoid gland,509381000000104,1132591000000116.0,[X]Dysthyroid exophthalmos
Disorders of thryoid gland,60446003,100438013.0,Thyrotoxic heart disease
