Condition,SNOMED_Code,SnomedCTDescriptionId,Term
Diverticular disease of the intestine,397881000,886341000006110.0,Diverticular disease NOS
Diverticular disease of the intestine,851321000006104,851321000006115.0,Duodenal diverticulum
Diverticular disease of the intestine,857121000006107,857121000006111.0,Jejunal diverticula
Diverticular disease of the intestine,906061000006100,906061000006116.0,[RFC] Diverticulitis
Diverticular disease of the intestine,398050005,1786077011.0,Diverticulosis of the colon
Diverticular disease of the intestine,397881000,626841000006115.0,Diverticulosis unspecified
Diverticular disease of the intestine,197104005,303147010.0,Perforated diverticulum
Diverticular disease of the intestine,853491000006106,853491000006110.0,Perforated diverticulum
Diverticular disease of the intestine,197104005,233441000006111.0,Perforated diverticulum unspecified
Diverticular disease of the intestine,21692001,1222658010.0,Appendicular diverticulum
Diverticular disease of the intestine,63532004,105596011.0,Diverticula of intestine
Diverticular disease of the intestine,397881000,1777478012.0,Diverticular disease
Diverticular disease of the intestine,397881000,1777478012.0,Diverticulosis
Diverticular disease of the intestine,197083003,303123015.0,Diverticulosis of the duodenum
Diverticular disease of the intestine,197084009,303124014.0,Diverticulosis of the jejunum
Diverticular disease of the intestine,197085005,303126011.0,Diverticulosis of the ileum
Diverticular disease of the intestine,8114009,14400014.0,Diverticulosis of the small intestine unspecified
Diverticular disease of the intestine,8114009,14400014.0,Diverticulosis of the small intestine NOS
Diverticular disease of the intestine,398050005,1777620011.0,Diverticulosis of the colon
Diverticular disease of the intestine,398157006,1777716018.0,Diverticulosis of the large intestine unspecified
Diverticular disease of the intestine,398157006,1777716018.0,Diverticulosis of the large intestine NOS
Diverticular disease of the intestine,197091007,303133011.0,Divertic dis/both sml+lge intestin without perfor or abscess
Diverticular disease of the intestine,197092000,303134017.0,Bleeding diverticulosis
Diverticular disease of the intestine,397881000,1786007012.0,Diverticulosis unspecified
Diverticular disease of the intestine,397881000,1777478012.0,Diverticulosis NOS
Diverticular disease of the intestine,307496006,450775010.0,Diverticulitis
Diverticular disease of the intestine,33838003,485644015.0,Diverticulitis of the duodenum
Diverticular disease of the intestine,111358007,178594018.0,Diverticulitis of the jejunum
Diverticular disease of the intestine,67153004,500628015.0,Diverticulitis of the ileum
Diverticular disease of the intestine,56165008,93400012.0,Diverticulitis of the small intestine unspecified
Diverticular disease of the intestine,56165008,93400012.0,Diverticulitis of the small intestine NOS
Diverticular disease of the intestine,111359004,178595017.0,Diverticulitis of the colon
Diverticular disease of the intestine,4494009,7629011.0,Diverticulitis of the large intestine unspecified
Diverticular disease of the intestine,4494009,7629011.0,Diverticulitis of the large intestine NOS
Diverticular disease of the intestine,307496006,450775010.0,Diverticulitis unspecified
Diverticular disease of the intestine,307496006,450775010.0,Diverticulitis NOS
Diverticular disease of the intestine,197104005,3512575015.0,Perforated diverticulum
Diverticular disease of the intestine,197105006,303148017.0,Perforated diverticulum of duodenum
Diverticular disease of the intestine,197106007,303149013.0,Perforated diverticulum of jejunum
Diverticular disease of the intestine,197107003,303150013.0,Perforated diverticulum of ileum
Diverticular disease of the intestine,280993006,418881013.0,Perforated diverticulum of small intestine unspecified
Diverticular disease of the intestine,280993006,418881013.0,Perforated diverticulum of small intestine NOS
Diverticular disease of the intestine,76953007,503419012.0,Perforated diverticulum of colon
Diverticular disease of the intestine,280992001,418880014.0,Perforated diverticulum of large intestine unspecified
Diverticular disease of the intestine,280992001,418880014.0,Perforated diverticulum of large intestine NOS
Diverticular disease of the intestine,197112002,303155015.0,Divertic disease/both sml+lge intestin with perforat+abscess
Diverticular disease of the intestine,197104005,3512575015.0,Perforated diverticulum unspecified
Diverticular disease of the intestine,197104005,3512575015.0,Perforated diverticulum of intestine NOS
Diverticular disease of the intestine,235774002,353440011.0,Diverticular abscess
Diverticular disease of the intestine,63532004,105596011.0,Diverticula of the intestine NOS
