Condition,SNOMED_Code,SnomedCTDescriptionId,Term
Eating disorders,608241000000102,882611000006115.0,Eating disorder NOS - psychog.
Eating disorders,1620911000006108,1620911000006112.0,Eating disorders
Eating disorders,1664151000006105,1664151000006114.0,Seen in eating disorders clinic
Eating disorders,56882008,94597012.0,Anorexia nervosa
Eating disorders,78004001,129452012.0,Bulimia (non-organic overeating)
Eating disorders,56882008,94597012.0,[X]Anorexia nervosa
Eating disorders,231522009,347005011.0,[X]Atypical anorexia nervosa
Eating disorders,78004001,129452012.0,[X]Bulimia nervosa
Eating disorders,78004001,129452012.0,[X]Bulimia NOS
Eating disorders,231523004,347006012.0,[X]Atypical bulimia nervosa
Eating disorders,78004001,129453019.0,[D]Bulimia NOS
