Condition,SNOMED_Code,SnomedCTDescriptionId,Term
Endometriosis,64286001,106864016.0,Endometriosis of the pouch of Douglas
Endometriosis,76376003,126837014.0,Internal endometriosis
Endometriosis,416155004,2548653011.0,Laparoscopic laser destruction of endometriosis
Endometriosis,128726006,207190013.0,[M]Stromal endometriosis
Endometriosis,129103003,1784724014.0,Endometriosis
Endometriosis,76376003,126839012.0,Adenomyosis
Endometriosis,76376003,126835018.0,Endometriosis of uterus
Endometriosis,198247003,304789015.0,Internal endometriosis
Endometriosis,237115002,355411011.0,Endometriosis of myometrium
Endometriosis,237115002,355411011.0,Adenomyosis of endometrium
Endometriosis,61640006,102424012.0,Endometriosis of cervix
Endometriosis,76376003,126835018.0,Endometriosis of uterus NOS
Endometriosis,266589005,396767017.0,Endometriosis of ovary
Endometriosis,237116001,355412016.0,Chocolate cyst of ovary
Endometriosis,22611009,37950010.0,Endometriosis of the fallopian tube
Endometriosis,198251001,304795019.0,Endometriosis of the pelvic peritoneum
Endometriosis,10535001,18314019.0,Endometriosis of the broad ligament
Endometriosis,64286001,1232545013.0,Endometriosis of the pouch of Douglas
Endometriosis,84305006,139827010.0,Endometriosis of the parametrium
Endometriosis,5327000,9929018.0,Endometriosis of the round ligament
Endometriosis,198251001,304795019.0,Endometriosis of the pelvic peritoneum NOS
Endometriosis,52533003,87425018.0,Endometriosis of the rectovaginal septum and vagina
Endometriosis,52533003,87425018.0,Endometriosis of the rectovaginal septum
Endometriosis,57493005,95606014.0,Endometriosis of the vagina
Endometriosis,52533003,87425018.0,Endometriosis of the rectovaginal septum and vagina NOS
Endometriosis,5562006,10284014.0,Endometriosis of the intestine
Endometriosis,8421002,14907015.0,Endometriosis of the appendix
Endometriosis,44601009,74408017.0,Endometriosis of the colon
Endometriosis,9563009,16732013.0,Endometriosis of the rectum
Endometriosis,5562006,10284014.0,Endometriosis of the intestine NOS
Endometriosis,53913001,89618011.0,Endometriosis in scar of skin
Endometriosis,129103003,1784724014.0,Other endometriosis
Endometriosis,65099004,108185013.0,Endometriosis of the bladder
Endometriosis,50993001,84979012.0,Endometriosis of the lung
Endometriosis,17829005,30125011.0,Endometriosis of the umbilicus
Endometriosis,38780008,64543018.0,Endometriosis of the vulva
Endometriosis,129103003,1784724014.0,Other endometriosis NOS
Endometriosis,129103003,1784724014.0,Endometriosis NOS
Endometriosis,129103003,1784724014.0,[X]Other endometriosis
