Condition,SNOMED_Code,SnomedCTDescriptionId,Term
Fibrosing alveolitis/unspecified alveolitis,909731000006101,909731000006117.0,[RFC] Pulmonary fibrosis
Fibrosing alveolitis/unspecified alveolitis,51615001,85961019.0,Cirrhosis of lung
Fibrosing alveolitis/unspecified alveolitis,45157009,75302014.0,Idiopathic fibrosing alveolitis
Fibrosing alveolitis/unspecified alveolitis,266368002,3035384014.0,Postinflammatory pulmonary fibrosis
Fibrosing alveolitis/unspecified alveolitis,51615001,885491000006116.0,Pulmonary fibrosis
Fibrosing alveolitis/unspecified alveolitis,162974009,254003016.0,O/E - fibrosis of lung present
Fibrosing alveolitis/unspecified alveolitis,162974009,254002014.0,O/E - fibrosis of lung
Fibrosing alveolitis/unspecified alveolitis,266368002,396123011.0,Postinflammatory pulmonary fibrosis
Fibrosing alveolitis/unspecified alveolitis,266368002,396123011.0,Cirrhosis of lung
Fibrosing alveolitis/unspecified alveolitis,700250006,2989716019.0,Idiopathic fibrosing alveolitis
Fibrosing alveolitis/unspecified alveolitis,236302005,2579204016.0,Hamman - Rich syndrome
Fibrosing alveolitis/unspecified alveolitis,700250006,2989718018.0,Cryptogenic fibrosing alveolitis
Fibrosing alveolitis/unspecified alveolitis,700250006,2989760019.0,Idiopathic pulmonary fibrosis
Fibrosing alveolitis/unspecified alveolitis,196125002,301706014.0,Diffuse pulmonary fibrosis
Fibrosing alveolitis/unspecified alveolitis,51615001,85960018.0,Pulmonary fibrosis
Fibrosing alveolitis/unspecified alveolitis,196125002,2475606014.0,Usual interstitial pneumonitis
Fibrosing alveolitis/unspecified alveolitis,700250006,2989716019.0,Idiopathic fibrosing alveolitis NOS
Fibrosing alveolitis/unspecified alveolitis,233703007,350185018.0,[X]Other interstitial pulmonary diseases with fibrosis
