Condition,SNOMED_Code,SnomedCTDescriptionId,Term
In situ neoplasms,189336000,881181000006112.0,Carcinoma in situ breast
In situ neoplasms,189336000,290868010.0,Carcinoma in situ of breast
In situ neoplasms,189336000,290868010.0,[X]Other carcinoma in situ of breast
In situ neoplasms,302836005,444775014.0,[M]Lentigo maligna
In situ neoplasms,302836005,444775014.0,[M]Lentigo maligna melanoma
In situ neoplasms,92605003,1235747011.0,Carcinoma in situ of gingiva
In situ neoplasms,92668003,1235757012.0,Carcinoma in situ of mesopharynx
In situ neoplasms,92664001,510063016.0,Carcinoma in situ of epipharynx
In situ neoplasms,92595004,510042018.0,FOM - Carcinoma in situ of floor of mouth
In situ neoplasms,92660005,3036137011.0,Cancer in situ of mouth
In situ neoplasms,92668003,3036227013.0,Cancer in situ of oropharynx
In situ neoplasms,92664001,510064010.0,Carcinoma in situ of postnasal space
In situ neoplasms,92612007,1235749014.0,Carcinoma in situ of laryngopharynx
In situ neoplasms,92668003,1235756015.0,Carcinoma situ of oropharynx
In situ neoplasms,92664001,510062014.0,PNS - carcinoma in situ of postnasal space
In situ neoplasms,92681005,3036384017.0,Cancer in situ of pharynx
In situ neoplasms,92605003,3036107019.0,Cancer in situ of gum
In situ neoplasms,271325000,3084642019.0,"Carcinoma in situ of lip, oral cavity and/or pharynx"
In situ neoplasms,271325000,406054011.0,"Carcinoma in situ of lip, oral cavity and pharynx"
In situ neoplasms,92660005,153252016.0,"Carcinoma in situ of lip, oral cavity and pharynx NOS"
In situ neoplasms,92612007,3036240015.0,Cancer in situ of hypopharynx
In situ neoplasms,92769003,153382013.0,Carcinoma in situ of tongue
In situ neoplasms,92643000,153229015.0,Carcinoma in situ of lip
In situ neoplasms,92668003,153265013.0,Carcinoma in situ of oropharynx
In situ neoplasms,92670007,153268010.0,Carcinoma in situ of palate
In situ neoplasms,92681005,153283017.0,Carcinoma in situ of pharynx
In situ neoplasms,189258000,290783010.0,Carcinoma in situ of aryepiglottic fold
In situ neoplasms,92660005,510061019.0,Carcinoma in situ of oral cavity
In situ neoplasms,92595004,153169012.0,Carcinoma in situ of floor of mouth
In situ neoplasms,92664001,153258017.0,Carcinoma in situ of nasopharynx
In situ neoplasms,92605003,153183014.0,Carcinoma in situ of gums
In situ neoplasms,92558004,153122019.0,Carcinoma in situ of buccal mucosa
In situ neoplasms,92769003,3035939018.0,Cancer in situ of tongue
In situ neoplasms,92558004,510031010.0,Carcinoma in situ of internal cheek
In situ neoplasms,92670007,510067015.0,Carcinoma in situ of roof of mouth
