Condition,SNOMED_Code,SnomedCTDescriptionId,Term
Iron deficiency anaemia,87522002,507616014.0,Asiderotic anaemia
Iron deficiency anaemia,87522002,507616014.0,Sideropenic anaemia
Iron deficiency anaemia,87522002,507616014.0,Iron deficiency anaemias
Iron deficiency anaemia,413533008,2532901013.0,Iron deficiency anaemia due to chronic blood loss
Iron deficiency anaemia,234352004,351092018.0,Normocytic anaemia due to chronic blood loss
Iron deficiency anaemia,413533008,2532901013.0,Iron deficiency anaemia due to blood loss
Iron deficiency anaemia,191128004,293864013.0,Iron deficiency anaemia due to dietary causes
Iron deficiency anaemia,87522002,507616014.0,Other specified iron deficiency anaemia
Iron deficiency anaemia,80126007,132937017.0,Kelly - Paterson syndrome
Iron deficiency anaemia,80126007,132937017.0,Plummer - Vinson syndrome
Iron deficiency anaemia,80126007,132939019.0,Sideropenic dysphagia
Iron deficiency anaemia,80126007,132937017.0,Kelly-Paterson syndrome
Iron deficiency anaemia,80126007,132937017.0,Plummer-Vinson syndrome
Iron deficiency anaemia,87522002,507616014.0,Other specified iron deficiency anaemia NOS
Iron deficiency anaemia,87522002,507616014.0,Unspecified iron deficiency anaemia
Iron deficiency anaemia,80875006,504528016.0,Achlorhydric anaemia
Iron deficiency anaemia,87522002,507623010.0,Chlorotic anaemia
Iron deficiency anaemia,87522002,507616014.0,Iron deficiency anaemia NOS
Iron deficiency anaemia,87522002,507616014.0,[X]Other iron deficiency anaemias
