Condition,SNOMED_Code,SnomedCTDescriptionId,Term
Malignant neoplasms,363346000,829211000006116.0,Human immunodeficiency virus with secondary cancers
Malignant neoplasms,420524008,2617386013.0,HIV disease resulting in Kaposi's sarcoma
Malignant neoplasms,420524008,2614767011.0,HIV disease resulting in Kaposi sarcoma
Malignant neoplasms,363375006,879691000006112.0,Tongue carcinoma
Malignant neoplasms,363348004,724921000006119.0,"Malignant neoplasm of lip unspecified, inner aspect"
Malignant neoplasms,534791000000107,1193831000000115.0,"Malignant neoplasm of lip, oral cavity and pharynx NOS"
Malignant neoplasms,363348004,725001000006112.0,"Malignant neoplasm of lip, unspecified, lipstick area"
Malignant neoplasms,363375006,720321000006110.0,Malignant neoplasm of ventral tongue surface NOS
Malignant neoplasms,271323007,406052010.0,"Malignant neoplasm of lip, oral cavity and pharynx"
Malignant neoplasms,255069008,380095017.0,"Carcinoma of lip, oral cavity and pharynx"
Malignant neoplasms,363348004,482495016.0,Malignant neoplasm of lip
Malignant neoplasms,269515006,403771011.0,Carcinoma of lip
Malignant neoplasms,363372009,1228504019.0,"Malignant neoplasm of upper lip, vermilion border"
Malignant neoplasms,421249001,2618242015.0,"Malignant neoplasm of upper lip, external"
Malignant neoplasms,187601000,288350019.0,"Malignant neoplasm of upper lip, lipstick area"
Malignant neoplasms,363372009,482541011.0,"Malignant neoplasm of upper lip, vermilion border NOS"
Malignant neoplasms,363373004,1228505018.0,"Malignant neoplasm of lower lip, vermilion border"
Malignant neoplasms,187604008,288354011.0,"Malignant neoplasm of lower lip, external"
Malignant neoplasms,363373004,1228506017.0,"Malignant neoplasm of lower lip, lipstick area"
Malignant neoplasms,363373004,482542016.0,"Malignant neoplasm of lower lip, vermilion border NOS"
Malignant neoplasms,187606005,288363013.0,"Malignant neoplasm of upper lip, inner aspect"
Malignant neoplasms,187608006,288372017.0,"Malignant neoplasm of upper lip, frenulum"
Malignant neoplasms,187606005,288364019.0,"Malignant neoplasm of upper lip, mucosa"
Malignant neoplasms,187606005,288362015.0,"Malignant neoplasm of upper lip, oral aspect"
Malignant neoplasms,187606005,288356013.0,"Malignant neoplasm of upper lip, inner aspect NOS"
Malignant neoplasms,271568003,406399011.0,"Malignant neoplasm of lower lip, inner aspect"
Malignant neoplasms,187613005,288380012.0,"Malignant neoplasm of lower lip, buccal aspect"
Malignant neoplasms,187614004,288382016.0,"Malignant neoplasm of lower lip, frenulum"
Malignant neoplasms,271568003,406400016.0,"Malignant neoplasm of lower lip, mucosa"
Malignant neoplasms,271568003,406398015.0,"Malignant neoplasm of lower lip, oral aspect"
Malignant neoplasms,271568003,406398015.0,"Malignant neoplasm of lower lip, inner aspect NOS"
Malignant neoplasms,187622006,288402019.0,"Malignant neoplasm of lip unspecified, inner aspect"
Malignant neoplasms,187622006,288392012.0,"Malignant neoplasm of lip unspecified, buccal aspect"
Malignant neoplasms,187622006,288392012.0,"Malignant neoplasm of lip unspecified, mucosa"
Malignant neoplasms,187622006,288393019.0,"Malignant neoplasm of lip, oral aspect"
Malignant neoplasms,363374005,482544015.0,Malignant neoplasm of commissure of lip
Malignant neoplasms,363348004,482495016.0,"Malignant neoplasm of lip, unspecified"
Malignant neoplasms,363348004,482495016.0,"Malignant neoplasm of lip, unspecified, external"
Malignant neoplasms,275399006,411376018.0,"Malignant neoplasm of lip, unspecified, lipstick area"
Malignant neoplasms,421249001,2618242015.0,"Malignant neoplasm of lip, vermilion border NOS"
Malignant neoplasms,363375006,482546018.0,Malignant neoplasm of tongue
Malignant neoplasms,363376007,482549013.0,Malignant neoplasm of base of tongue
Malignant neoplasms,363376007,1228509012.0,Malignant neoplasm of posterior third of tongue
Malignant neoplasms,187631006,288411019.0,Malignant neoplasm of base of tongue dorsal surface
Malignant neoplasms,363376007,482548017.0,Malignant neoplasm of fixed part of tongue NOS
Malignant neoplasms,187633009,288413016.0,Malignant neoplasm of dorsal surface of tongue
Malignant neoplasms,187635002,288417015.0,Malignant neoplasm of midline of tongue
Malignant neoplasms,187633009,288413016.0,Malignant neoplasm of dorsum of tongue NOS
Malignant neoplasms,187637005,288419017.0,"Malignant neoplasm of tongue, tip and lateral border"
Malignant neoplasms,94134006,155669014.0,Malignant neoplasm of ventral surface of tongue
Malignant neoplasms,187640005,288423013.0,Malignant neoplasm of anterior 2/3 of tongue ventral surface
Malignant neoplasms,187641009,288427014.0,Malignant neoplasm of frenulum linguae
Malignant neoplasms,1090271000000101,2731401000000113.0,Malignant neoplasm of ventral tongue surface NOS
Malignant neoplasms,363360003,482519011.0,Malignant neoplasm of anterior 2/3 of tongue unspecified
Malignant neoplasms,187644001,288433017.0,"Malignant neoplasm of tongue, junctional zone"
Malignant neoplasms,363377003,482550013.0,Malignant neoplasm of lingual tonsil
Malignant neoplasms,363375006,482546018.0,Malignant neoplasm of other sites of tongue
