Condition,SNOMED_Code,SnomedCTDescriptionId,Term
Meniere disease,29904009,50047017.0,Lermoyez's syndrome
Meniere disease,13445001,710891000006111.0,Unspecified Meniere's disease
Meniere disease,13445001,475303017.0,Meniere's disease
Meniere disease,9794007,17117015.0,Endolymphatic hydrops
Meniere disease,29904009,2842581018.0,Lermoyez's syndrome
Meniere disease,13445001,2920410013.0,Unspecified Meniere's disease
Meniere disease,194348002,299160012.0,Active cochleovestibular Meniere's disease
Meniere disease,194349005,299161011.0,Active cochlear Meniere's disease
Meniere disease,194350005,299162016.0,Active vestibular Meniere's disease
Meniere disease,194351009,299163014.0,Inactive Meniere's disease
Meniere disease,13445001,178783019.0,Meniere's disease NOS
