Condition,SNOMED_Code,SnomedCTDescriptionId,Term
Migraine,4473006,7596016.0,Classical migraine
Migraine,408381007,2159945013.0,Migraine prophylaxis
Migraine,37796009,63055014.0,Migraine
Migraine,230462002,345348012.0,Classical migraine
Migraine,4473006,7595017.0,Migraine with aura
Migraine,56097005,93295014.0,Common migraine
Migraine,56097005,93294013.0,Migraine without aura
Migraine,56097005,93296010.0,Atypical migraine
Migraine,56097005,93295014.0,Common migraine NOS
Migraine,193030005,297337016.0,Migraine variants
Migraine,75879005,126030010.0,Abdominal migraine
Migraine,83351003,138248010.0,Basilar migraine
Migraine,95655001,158460019.0,Ophthalmic migraine
Migraine,781381000000100,1746951000000114.0,Migraine induced by oestrogen contraceptive
Migraine,193030005,297337016.0,Migraine variant NOS
Migraine,37796009,63055014.0,Other forms of migraine
Migraine,59292006,98501012.0,Hemiplegic migraine
Migraine,49605003,82623012.0,Ophthalmoplegic migraine
Migraine,49605003,82623012.0,Moebius' ophthalmoplegic migraine
Migraine,230467008,345355014.0,Status migrainosus
Migraine,193039006,297354012.0,Complicated migraine
Migraine,37796009,63055014.0,Other forms of migraine NOS
Migraine,37796009,63055014.0,Migraine NOS
Migraine,37796009,63055014.0,[X]Other migraine
Migraine,23186000,38943013.0,Migraine - menstrual
