Condition,SNOMED_Code,SnomedCTDescriptionId,Term
Mood disorders,231485007,346956014.0,[X]Post-schizophrenic depression
Mood disorders,851691000006105,851691000006114.0,Hypomanic
Mood disorders,268619003,882321000006119.0,Mania/hypomania
Mood disorders,13746004,882311000006110.0,Manic-depressive psychoses
Mood disorders,405273008,2157096015.0,Manic mood
Mood disorders,285491000000101,492761000000114.0,Bipolar affective disorder resolved
Mood disorders,13746004,23447014.0,Bipolar psychoses
Mood disorders,231494001,346966018.0,Manic psychoses
Mood disorders,231496004,346969013.0,Hypomanic psychoses
Mood disorders,191618007,294846014.0,"Bipolar affective disorder, currently manic"
Mood disorders,191618007,294847017.0,Manic-depressive - now manic
Mood disorders,191618007,294846014.0,"Bipolar affective disorder, currently manic, unspecified"
Mood disorders,191620005,294849019.0,"Bipolar affective disorder, currently manic, mild"
Mood disorders,191621009,294850019.0,"Bipolar affective disorder, currently manic, moderate"
Mood disorders,63249007,105141010.0,"Bipolar affect disord,currently manic, part/unspec remission"
Mood disorders,191625000,294857016.0,"Bipolar affective disorder, currently manic, full remission"
Mood disorders,191618007,294846014.0,"Bipolar affective disorder, currently manic, NOS"
Mood disorders,191627008,294859018.0,"Bipolar affective disorder, currently depressed"
Mood disorders,191627008,294860011.0,Manic-depressive - now depressed
Mood disorders,191627008,294859018.0,"Bipolar affective disorder, currently depressed, unspecified"
Mood disorders,191629006,294862015.0,"Bipolar affective disorder, currently depressed, mild"
Mood disorders,191630001,294863013.0,"Bipolar affective disorder, currently depressed, moderate"
Mood disorders,49512000,82468013.0,"Bipolar affect disord, now depressed, part/unspec remission"
Mood disorders,191634005,294867014.0,"Bipolar affective disorder, now depressed, in full remission"
Mood disorders,191627008,294859018.0,"Bipolar affective disorder, currently depressed, NOS"
Mood disorders,191636007,294869012.0,Mixed bipolar affective disorder
Mood disorders,191636007,294869012.0,"Mixed bipolar affective disorder, unspecified"
Mood disorders,191638008,294871012.0,"Mixed bipolar affective disorder, mild"
Mood disorders,191639000,294872017.0,"Mixed bipolar affective disorder, moderate"
Mood disorders,760721000000109,1683621000000116.0,"Mixed bipolar affective disorder, partial/unspec remission"
Mood disorders,191643001,294876019.0,"Mixed bipolar affective disorder, in full remission"
Mood disorders,191636007,294869012.0,"Mixed bipolar affective disorder, NOS"
Mood disorders,13746004,2839307017.0,Unspecified bipolar affective disorder
Mood disorders,13746004,2839307017.0,"Unspecified bipolar affective disorder, unspecified"
Mood disorders,13313007,22777014.0,"Unspecified bipolar affective disorder, mild"
Mood disorders,79584002,132034014.0,"Unspecified bipolar affective disorder, moderate"
Mood disorders,5703000,10501015.0,"Unspecified bipolar affect disord, partial/unspec remission"
Mood disorders,41836007,69794013.0,"Unspecified bipolar affective disorder, in full remission"
Mood disorders,13746004,2839307017.0,"Unspecified bipolar affective disorder, NOS"
