Condition,SNOMED_Code,SnomedCTDescriptionId,Term
Multiple sclerosis (and optic neuritis),983291000006106,983291000006110.0,Multiple sclerosis - primary progressive
Multiple sclerosis (and optic neuritis),983311000006105,983311000006114.0,Multiple sclerosis - relapsing remitting
Multiple sclerosis (and optic neuritis),983301000006107,983301000006111.0,Multiple sclerosis - secondary progressive
Multiple sclerosis (and optic neuritis),905781000006102,905781000006118.0,[RFC] Multiple sclerosis
Multiple sclerosis (and optic neuritis),908811000006108,908811000006112.0,[RFC] Multiple sclerosis
Multiple sclerosis (and optic neuritis),166411000000100,1154041000000111.0,Spec serv for pat with multiple sclerosis - enh serv admin
Multiple sclerosis (and optic neuritis),24700007,41398015.0,Multiple sclerosis
Multiple sclerosis (and optic neuritis),24700007,1223979019.0,Disseminated sclerosis
Multiple sclerosis (and optic neuritis),192926004,297176011.0,Multiple sclerosis of the brain stem
Multiple sclerosis (and optic neuritis),192927008,297177019.0,Multiple sclerosis of the spinal cord
Multiple sclerosis (and optic neuritis),192928003,297179016.0,Generalised multiple sclerosis
Multiple sclerosis (and optic neuritis),192929006,297180018.0,Exacerbation of multiple sclerosis
Multiple sclerosis (and optic neuritis),438511000,2791037019.0,Benign multiple sclerosis
Multiple sclerosis (and optic neuritis),428700003,2692565012.0,Primary progressive multiple sclerosis
Multiple sclerosis (and optic neuritis),426373005,2674690012.0,Relapsing and remitting multiple sclerosis
Multiple sclerosis (and optic neuritis),425500002,2674605012.0,Secondary progressive multiple sclerosis
Multiple sclerosis (and optic neuritis),24700007,41398015.0,Multiple sclerosis NOS
