Condition,SNOMED_Code,SnomedCTDescriptionId,Term
"Neurotic, stress-related and somatoform disorders",268957000,402504012.0,"Psychotic condition, insight present"
"Neurotic, stress-related and somatoform disorders",78667006,376751000006117.0,[X]Depressive personality disorder
"Neurotic, stress-related and somatoform disorders",231504006,346979010.0,Anxiety with depression
"Neurotic, stress-related and somatoform disorders",78667006,130532011.0,[X]Dysthymia
"Neurotic, stress-related and somatoform disorders",78667006,130534012.0,[X]Depressive neurosis
"Neurotic, stress-related and somatoform disorders",78667006,130534012.0,[X]Neurotic depression
"Neurotic, stress-related and somatoform disorders",231504006,346979010.0,[X]Persistant anxiety depression
"Neurotic, stress-related and somatoform disorders",231504006,346979010.0,[X]Mixed anxiety and depressive disorder
"Neurotic, stress-related and somatoform disorders",231504006,346979010.0,[X]Mild anxiety depression
"Neurotic, stress-related and somatoform disorders",191722009,882381000006115.0,Agoraphobia
"Neurotic, stress-related and somatoform disorders",191723004,988881000006118.0,Agoraphobia
"Neurotic, stress-related and somatoform disorders",56576003,94086016.0,Panic disorder without agoraphobia
"Neurotic, stress-related and somatoform disorders",1809331000006109,1809331000006112.8,Symptoms of agoraphobia
"Neurotic, stress-related and somatoform disorders",386810004,420631000006114.0,[X]Phobia NOS
"Neurotic, stress-related and somatoform disorders",853241000006103,853241000006119.0,Phobic anxiety
"Neurotic, stress-related and somatoform disorders",563201000000101,1252611000000113.0,Phobic disorder NOS
"Neurotic, stress-related and somatoform disorders",1402001,2665410014.0,Fear
"Neurotic, stress-related and somatoform disorders",247845000,370038014.0,Specific fear
"Neurotic, stress-related and somatoform disorders",417620007,2549835014.0,O/E - fearful mood
"Neurotic, stress-related and somatoform disorders",268957000,402503018.0,"Neurotic condition, insight present"
"Neurotic, stress-related and somatoform disorders",268958005,402505013.0,Poor insight into neurotic condition
"Neurotic, stress-related and somatoform disorders",111475002,1219652011.0,Neurotic disorders
"Neurotic, stress-related and somatoform disorders",197480006,303689015.0,Anxiety states
"Neurotic, stress-related and somatoform disorders",198288003,304838011.0,Anxiety state unspecified
"Neurotic, stress-related and somatoform disorders",371631005,1210253015.0,Panic disorder
"Neurotic, stress-related and somatoform disorders",21897009,481154010.0,Generalised anxiety disorder
"Neurotic, stress-related and somatoform disorders",191708009,294960010.0,Chronic anxiety
"Neurotic, stress-related and somatoform disorders",191709001,294961014.0,Recurrent anxiety
"Neurotic, stress-related and somatoform disorders",198288003,304838011.0,Anxiety state NOS
"Neurotic, stress-related and somatoform disorders",33693007,56251019.0,Compensation neurosis
"Neurotic, stress-related and somatoform disorders",386810004,1491809016.0,Phobic disorders
"Neurotic, stress-related and somatoform disorders",25501002,42759014.0,Social phobic disorders
"Neurotic, stress-related and somatoform disorders",386810004,1491809016.0,Phobic anxiety
"Neurotic, stress-related and somatoform disorders",386808001,1480928018.0,Phobia unspecified
"Neurotic, stress-related and somatoform disorders",191724005,294994012.0,"Social phobia, fear of eating in public"
"Neurotic, stress-related and somatoform disorders",191725006,294995013.0,"Social phobia, fear of public speaking"
"Neurotic, stress-related and somatoform disorders",191726007,294996014.0,"Social phobia, fear of public washing"
"Neurotic, stress-related and somatoform disorders",58963008,97986013.0,Acrophobia
"Neurotic, stress-related and somatoform disorders",54307006,1231321013.0,Animal phobia
"Neurotic, stress-related and somatoform disorders",19887002,33475016.0,Claustrophobia
"Neurotic, stress-related and somatoform disorders",191728008,294998010.0,Fear of crowds
"Neurotic, stress-related and somatoform disorders",247853008,370048011.0,Fear of flying
"Neurotic, stress-related and somatoform disorders",34563004,485870016.0,Cancer phobia
"Neurotic, stress-related and somatoform disorders",38617005,65032014.0,Dental phobia
"Neurotic, stress-related and somatoform disorders",102912007,166341019.0,Fear of death
"Neurotic, stress-related and somatoform disorders",191733007,295004011.0,Fear of pregnancy
"Neurotic, stress-related and somatoform disorders",386810004,1480929014.0,Phobic disorder NOS
"Neurotic, stress-related and somatoform disorders",111475002,178715018.0,Other neurotic disorders
"Neurotic, stress-related and somatoform disorders",191744004,295029017.0,Writer's cramp neurosis
"Neurotic, stress-related and somatoform disorders",111475002,178715018.0,Other occupational neurosis
"Neurotic, stress-related and somatoform disorders",191746002,295032019.0,Psychasthenic neurosis
"Neurotic, stress-related and somatoform disorders",111475002,178715018.0,Other neurotic disorder NOS
"Neurotic, stress-related and somatoform disorders",111475002,1219652011.0,Neurotic disorder NOS
"Neurotic, stress-related and somatoform disorders",386810004,1491809016.0,[X]Phobic anxiety disorders
"Neurotic, stress-related and somatoform disorders",70691001,117416017.0,[X]Agoraphobia
"Neurotic, stress-related and somatoform disorders",191722009,294992011.0,[X]Panic disorder with agoraphobia
"Neurotic, stress-related and somatoform disorders",25501002,42759014.0,[X]Social phobias
"Neurotic, stress-related and somatoform disorders",25501002,42759014.0,[X]Social neurosis
"Neurotic, stress-related and somatoform disorders",54587008,90725015.0,[X]Specific (isolated) phobias
"Neurotic, stress-related and somatoform disorders",54587008,90725015.0,[X]Acrophobia
"Neurotic, stress-related and somatoform disorders",54307006,1231321013.0,[X]Animal phobias
"Neurotic, stress-related and somatoform disorders",54587008,90725015.0,[X]Claustrophobia
"Neurotic, stress-related and somatoform disorders",386810004,1491809016.0,[X]Simple phobia
"Neurotic, stress-related and somatoform disorders",231501003,346974017.0,[X]Needle phobia
"Neurotic, stress-related and somatoform disorders",386810004,1491809016.0,[X]Other phobic anxiety disorders
"Neurotic, stress-related and somatoform disorders",386810004,1480929014.0,"[X]Phobic anxiety disorder, unspecified"
"Neurotic, stress-related and somatoform disorders",386810004,1480929014.0,[X]Phobia NOS
"Neurotic, stress-related and somatoform disorders",386810004,1480929014.0,[X]Phobic state NOS
"Neurotic, stress-related and somatoform disorders",197480006,303689015.0,[X]Other anxiety disorders
"Neurotic, stress-related and somatoform disorders",371631005,1210253015.0,[X]Panic disorder [episodic paroxysmal anxiety]
"Neurotic, stress-related and somatoform disorders",371631005,1210253015.0,[X]Panic state
"Neurotic, stress-related and somatoform disorders",21897009,481154010.0,[X]Generalized anxiety disorder
"Neurotic, stress-related and somatoform disorders",207363009,317740010.0,[X]Anxiety neurosis
"Neurotic, stress-related and somatoform disorders",197480006,303689015.0,[X]Anxiety reaction
"Neurotic, stress-related and somatoform disorders",198288003,304838011.0,[X]Anxiety state
"Neurotic, stress-related and somatoform disorders",231504006,346979010.0,[X]Other mixed anxiety disorders
