Condition,SNOMED_Code,SnomedCTDescriptionId,Term
Noninfective enteritis and colitis,64766004,2579429013.0,Idiopathic proctocolitis
Noninfective enteritis and colitis,43752006,72962011.0,Mucous colitis and/or proctitis
Noninfective enteritis and colitis,295046003,435370011.0,Ulcerative colitis and/or proctitis
Noninfective enteritis and colitis,295046003,435370011.0,Ulcerative proctocolitis
Noninfective enteritis and colitis,196987008,302953018.0,Ulcerative ileocolitis
Noninfective enteritis and colitis,64766004,107644019.0,Ulcerative colitis
Noninfective enteritis and colitis,52506002,496332018.0,Ulcerative rectosigmoiditis
Noninfective enteritis and colitis,52231000,496249010.0,Ulcerative proctitis
Noninfective enteritis and colitis,414156000,2532953017.0,Exacerbation of ulcerative colitis
Noninfective enteritis and colitis,295046003,435370011.0,Ulcerative proctocolitis NOS
Noninfective enteritis and colitis,235714007,353357011.0,Ulcerative (chronic) enterocolitis
Noninfective enteritis and colitis,196987008,302953018.0,Ulcerative (chronic) ileocolitis
Noninfective enteritis and colitis,444548001,2872721013.0,Ulcerative pancolitis
Noninfective enteritis and colitis,418130002,2576688010.0,Other idiopathic proctocolitis
Noninfective enteritis and colitis,418130002,2576688010.0,Other idiopathic proctocolitis NOS
Noninfective enteritis and colitis,64766004,2579429013.0,Idiopathic proctocolitis NOS
Noninfective enteritis and colitis,64766004,107644019.0,[X]Other ulcerative colitis
Noninfective enteritis and colitis,34000006,886291000006112.0,Regional enteritis - Crohn
Noninfective enteritis and colitis,906051000006102,906051000006118.0,[RFC] Crohns disease
Noninfective enteritis and colitis,34000006,56770011.0,Granulomatous enteritis
Noninfective enteritis and colitis,196578009,302322010.0,Orofacial Crohn's disease
Noninfective enteritis and colitis,34000006,485713019.0,Regional enteritis - Crohn's disease
Noninfective enteritis and colitis,34000006,56765016.0,Crohn's disease
Noninfective enteritis and colitis,34000006,56765016.0,Granulomatous enteritis
Noninfective enteritis and colitis,56689002,94270018.0,Regional enteritis of the small bowel
Noninfective enteritis and colitis,56287005,497569010.0,Regional enteritis of the duodenum
Noninfective enteritis and colitis,196976000,302937016.0,Regional enteritis of the jejunum
Noninfective enteritis and colitis,196977009,302938014.0,Crohn's disease of the terminal ileum
Noninfective enteritis and colitis,38106008,64705019.0,Crohn's disease of the ileum unspecified
Noninfective enteritis and colitis,38106008,64705019.0,Crohn's disease of the ileum NOS
Noninfective enteritis and colitis,414154002,2532958014.0,Exacerbation of Crohn's disease of small intestine
Noninfective enteritis and colitis,56689002,94270018.0,Crohn's disease of the small bowel NOS
Noninfective enteritis and colitis,7620006,1495442018.0,Regional enteritis of the large bowel
Noninfective enteritis and colitis,50440006,1230866018.0,Regional enteritis of the colon
Noninfective enteritis and colitis,3815005,488238014.0,Regional enteritis of the rectum
Noninfective enteritis and colitis,414153008,2532950019.0,Exacerbation of Crohn's disease of large intestine
Noninfective enteritis and colitis,7620006,13585013.0,Crohn's disease of the large bowel NOS
Noninfective enteritis and colitis,50440006,1230866018.0,Crohn's colitis
Noninfective enteritis and colitis,196983007,302946010.0,Regional ileocolitis
Noninfective enteritis and colitis,34000006,56765016.0,Regional enteritis NOS
Noninfective enteritis and colitis,34000006,56765016.0,Crohn's disease NOS
Noninfective enteritis and colitis,34000006,56765016.0,[X]Other Crohn's disease
