Condition,SNOMED_Code,SnomedCTDescriptionId,Term
Other forms of heart disease,164901004,256490016.0,ECG:complete sinu-atrial block
Other forms of heart disease,164903001,256492012.0,ECG: partial A-V block - 2:1
Other forms of heart disease,164904007,256493019.0,ECG: partial A-V block - 3:1
Other forms of heart disease,164905008,256494013.0,ECG: Wenckebach phenomenon
Other forms of heart disease,164905008,1739491000000118.0,Electrocardiogram: Mobitz type 1 second degree AV block
Other forms of heart disease,164906009,256495014.0,ECG: complete A-V block
Other forms of heart disease,164907000,256496010.0,ECG: right bundle branch block
Other forms of heart disease,164909002,256500012.0,ECG: left bundle branch block
Other forms of heart disease,445309007,2871902010.0,ECG: trifascicular block
Other forms of heart disease,426183003,1689181000000114.0,Electrocardiogram: Mobitz type 2 second degree AV block
Other forms of heart disease,27885002,46670010.0,Complete atrioventricular block
Other forms of heart disease,27885002,46671014.0,Third degree atrioventricular block
Other forms of heart disease,28189009,47191011.0,Mobitz type II atrioventricular block
Other forms of heart disease,54016002,1231274018.0,Mobitz type I (Wenckebach) atrioventricular block
Other forms of heart disease,54016002,1231273012.0,Mobitz type 1 second degree atrioventricular block
Other forms of heart disease,195042002,300073018.0,Second degree atrioventricular block
Other forms of heart disease,63467002,105498014.0,Left bundle branch block
Other forms of heart disease,195046004,300079019.0,Left main stem bundle branch block
Other forms of heart disease,59118001,98239015.0,Right bundle branch block
Other forms of heart disease,6374002,11568018.0,Other bundle branch block
Other forms of heart disease,6374002,11568018.0,Bundle branch block unspecified
Other forms of heart disease,20143001,33890011.0,Other bilateral bundle branch block
Other forms of heart disease,86014007,142607010.0,Trifascicular block
Other forms of heart disease,6374002,11568018.0,Other bundle branch block NOS
Other forms of heart disease,395105005,1488804017.0,Heart failure confirmed
Other forms of heart disease,521691000000100,1165041000000115.0,Heart failure resolved
Other forms of heart disease,762994006,3637504017.0,New York Heart Assoc classification heart failure symptoms
Other forms of heart disease,420300004,2616470012.0,New York Heart Association Classification - Class I
Other forms of heart disease,421704003,2616471011.0,New York Heart Association Classification - Class II
Other forms of heart disease,420913000,2616472016.0,New York Heart Association Classification - Class III
Other forms of heart disease,422293003,2616473014.0,New York Heart Association Classification - Class IV
Other forms of heart disease,789621000000105,1765351000000114.0,Preferred place of care for next exacerbation heart failure
Other forms of heart disease,851521000000102,2205951000000116.8,Heart failure clinical pathway
Other forms of heart disease,717181000000106,1569721000000116.0,Excepted from LVD quality indicators: Patient unsuitable
Other forms of heart disease,717281000000100,1569821000000111.0,Excepted from LVD quality indicators: Informed dissent
Other forms of heart disease,717481000000104,1570021000000117.0,Excepted heart failure quality indicators: Patient unsuitabl
Other forms of heart disease,717491000000102,1570031000000115.0,Excepted heart failure quality indicators: Informed dissent
Other forms of heart disease,417359009,2548316014.0,Seen by community heart failure nurse
Other forms of heart disease,200171000000102,303361000000111.0,Referred by heart failure nurse specialist
Other forms of heart disease,43736008,72934016.0,Rheumatic left ventricular failure
Other forms of heart disease,64715009,107545013.0,Hypertensive heart disease NOS with CCF
Other forms of heart disease,194779001,299672017.0,Hypertensive heart&renal dis wth (congestive) heart failure
Other forms of heart disease,194781004,299674016.0,Hyperten heart&renal dis+both(congestv)heart and renal fail
Other forms of heart disease,79955004,132655012.0,Chronic cor pulmonale
Other forms of heart disease,399020009,1778488011.0,Congestive cardiomyopathy
Other forms of heart disease,233871002,350413012.0,Congestive obstructive cardiomyopathy
Other forms of heart disease,84114007,139475013.0,Heart failure
Other forms of heart disease,84114007,139482012.0,Cardiac failure
Other forms of heart disease,42343007,70653017.0,Congestive heart failure
Other forms of heart disease,42343007,70653017.0,Congestive cardiac failure
Other forms of heart disease,128404006,206703015.0,Right heart failure
Other forms of heart disease,367363000,490972013.0,Right ventricular failure
Other forms of heart disease,92506005,153058012.0,Biventricular failure
Other forms of heart disease,88805009,147247018.0,Chronic congestive heart failure
Other forms of heart disease,195111005,300179017.0,Decompensated cardiac failure
Other forms of heart disease,195112003,300180019.0,Compensated cardiac failure
Other forms of heart disease,426611007,2675255018.0,Congestive heart failure due to valvular disease
Other forms of heart disease,85232009,141306010.0,Left ventricular failure
Other forms of heart disease,71892000,119456014.0,Asthma - cardiac
