Condition,SNOMED_Code,SnomedCTDescriptionId,Term
Other spirochaetal infections,111212009,178441013.0,Arthropathy associated with other bacterial disease NOS
Other spirochaetal infections,48245008,80380010.0,Bacterial arthritis
Other spirochaetal infections,23502006,481637018.0,Steere's disease
Other spirochaetal infections,111212009,178441013.0,"Arthropathy with other bacterial disease, of ankle and foot"
Other spirochaetal infections,111212009,178441013.0,"Arthropathy with other bacterial disease, of hand"
Other spirochaetal infections,111212009,178441013.0,"Arthropathy with other bacterial disease, of pelvic/thigh"
Other spirochaetal infections,111212009,178441013.0,"Arthropathy with other bacterial disease, of shoulder region"
Other spirochaetal infections,111212009,178441013.0,"Arthropathy with other bacterial disease, of unspec site"
Other spirochaetal infections,111212009,178441013.0,"Arthropathy with other bacterial disease, of upper arm"
Other spirochaetal infections,171838003,266125014.0,Canal of Guyon release
Other spirochaetal infections,69588003,1233178016.0,Erythema chronicum migrans
Other spirochaetal infections,715507005,3302869017.0,Infection of central nervous system caused by Borrelia burgdorferi
Other spirochaetal infections,69588003,115616014.0,Erythema chronica migrans
Other spirochaetal infections,718373005,3312536018.0,Cutaneous B-cell pseudolymphoma caused by Borrelia
Other spirochaetal infections,69588003,3028124013.0,Erythema chronicum migrans skin condition
Other spirochaetal infections,48245008,495039014.0,Arthritis due to bacterial infection
Other spirochaetal infections,24723005,41436018.0,Peripheral nerve operations NOS
Other spirochaetal infections,95883001,158829010.0,Other specified bacterial meningitis NOS
Other spirochaetal infections,111212009,178441013.0,"Arthropathy with other bacterial disease, of forearm"
Other spirochaetal infections,111212009,178441013.0,"Arthropathy with other bacterial disease, of lower leg"
Other spirochaetal infections,171838003,266123019.0,Guyon's canal decompression
Other spirochaetal infections,23502006,2923214018.0,Infection due to Borrelia burgdorferi sensu lato
Other spirochaetal infections,23502006,39462014.0,Lyme disease
Other spirochaetal infections,77863005,129217018.0,Lyme carditis
Other spirochaetal infections,33937009,485678014.0,Arthritis in Lyme disease
Other spirochaetal infections,69588003,2955528012.0,Erythema migrans
Other spirochaetal infections,718373005,3312055010.0,Borrelial lymphocytoma
Other spirochaetal infections,41116009,492887012.0,Other spirochaetal infection NOS
Other spirochaetal infections,715507005,3302870016.0,Lyme neuroborreliosis
Other spirochaetal infections,47388000,494816014.0,Tarsal tunnel decompression
Other spirochaetal infections,95883001,158829010.0,Bacterial meningitis NOS
Other spirochaetal infections,86735004,143838016.0,Erythematous conditions NOS
Other spirochaetal infections,111212009,178441013.0,Arthropathy associated with other bacterial diseases
Other spirochaetal infections,23502006,481640018.0,Lyme borreliosis
Other spirochaetal infections,33937009,56659013.0,Lyme arthritis
Other spirochaetal infections,48245008,80383012.0,Septic arthritis
Other spirochaetal infections,86735004,143838016.0,Other erythematous conditions NOS
