Condition,SNOMED_Code,SnomedCTDescriptionId,Term
Polyneuropathies and other disorders of the peripheral nervous system,193178008,297542011.0,Polyneuropathy in disseminated lupus erythematosus
Polyneuropathies and other disorders of the peripheral nervous system,420436000,2618201018.0,Type 2 diabetes mellitus with mononeuropathy
Polyneuropathies and other disorders of the peripheral nervous system,420436000,3697667019.0,Type II diabetes mellitus with mononeuropathy
Polyneuropathies and other disorders of the peripheral nervous system,713706002,3297353013.0,Type II diabetes mellitus with polyneuropathy
Polyneuropathies and other disorders of the peripheral nervous system,314904008,459312014.0,Type II diabetes mellitus with neuropathic arthropathy
Polyneuropathies and other disorders of the peripheral nervous system,314904008,459313016.0,Type 2 diabetes mellitus with neuropathic arthropathy
Polyneuropathies and other disorders of the peripheral nervous system,713706002,3297353013.0,Type 2 diabetes mellitus with polyneuropathy
Polyneuropathies and other disorders of the peripheral nervous system,230572002,881501000006110.0,Diabetes + neuropathy
Polyneuropathies and other disorders of the peripheral nervous system,201724008,309740011.0,Diabetic neuropathic arthropathy
Polyneuropathies and other disorders of the peripheral nervous system,201724008,309740011.0,Insulin dependent diab mell with neuropathic arthropathy
Polyneuropathies and other disorders of the peripheral nervous system,230577008,345492010.0,Insulin dependent diabetes mellitus with mononeuropathy
Polyneuropathies and other disorders of the peripheral nervous system,420918009,2618199015.0,Type 1 diabetes mellitus with mononeuropathy
Polyneuropathies and other disorders of the peripheral nervous system,713705003,3297342019.0,Type 1 diabetes mellitus with polyneuropathy
Polyneuropathies and other disorders of the peripheral nervous system,71771000119100,3010513018.0,Type I diabetes mellitus with neuropathic arthropathy
Polyneuropathies and other disorders of the peripheral nervous system,713705003,3297390014.0,Type I diabetes mellitus with polyneuropathy
Polyneuropathies and other disorders of the peripheral nervous system,230572002,345487013.0,Diabetes mellitus with neuropathy
Polyneuropathies and other disorders of the peripheral nervous system,49455004,82373015.0,Diabetes mellitus with polyneuropathy
Polyneuropathies and other disorders of the peripheral nervous system,49455004,82373015.0,Insulin dependent diabetes mellitus with polyneuropathy
Polyneuropathies and other disorders of the peripheral nervous system,71771000119100,3010513018.0,Type 1 diabetes mellitus with neuropathic arthropathy
Polyneuropathies and other disorders of the peripheral nervous system,420436000,3697667019.0,Non-insulin dependent diabetes mellitus with mononeuropathy
Polyneuropathies and other disorders of the peripheral nervous system,713706002,3297353013.0,Non-insulin dependent diabetes mellitus with polyneuropathy
Polyneuropathies and other disorders of the peripheral nervous system,314904008,459314010.0,Non-insulin dependent d m with neuropathic arthropathy
Polyneuropathies and other disorders of the peripheral nervous system,193141005,297492014.0,Diabetic mononeuritis multiplex
Polyneuropathies and other disorders of the peripheral nervous system,193141005,297492014.0,Diabetic mononeuritis NOS
Polyneuropathies and other disorders of the peripheral nervous system,49455004,82373015.0,Polyneuropathy in diabetes
Polyneuropathies and other disorders of the peripheral nervous system,49455004,82373015.0,Diabetic polyneuropathy
Polyneuropathies and other disorders of the peripheral nervous system,230572002,345486016.0,Diabetic neuropathy
Polyneuropathies and other disorders of the peripheral nervous system,193184006,297551015.0,Chronic painful diabetic neuropathy
Polyneuropathies and other disorders of the peripheral nervous system,193185007,297552010.0,Asymptomatic diabetic neuropathy
Polyneuropathies and other disorders of the peripheral nervous system,230577008,345492010.0,Diabetic mononeuropathy
Polyneuropathies and other disorders of the peripheral nervous system,201251005,309179013.0,Neuropathic diabetic ulcer - foot
Polyneuropathies and other disorders of the peripheral nervous system,201724008,309739014.0,Diabetic Charcot arthropathy
Polyneuropathies and other disorders of the peripheral nervous system,193125009,883141000006119.0,Mononeuritis - upper limb
Polyneuropathies and other disorders of the peripheral nervous system,667651000000100,891791000006110.0,Neuralgia/neurit.-pelvis/thigh
Polyneuropathies and other disorders of the peripheral nervous system,16269008,891861000006112.0,Neuralgia/neuritis - NOS
Polyneuropathies and other disorders of the peripheral nervous system,667651000000100,891811000006114.0,Neuralgia/neuritis - fore arm
