Condition,SNOMED_Code,SnomedCTDescriptionId,Term
Psoriasis,905681000006108,905681000006112.0,[RFC] Psoriasis
Psoriasis,1583831000006102,1583831000006118.0,Chronic large plaque psoriasis
Psoriasis,238600001,1876481000006119.2,Flexural psoriasis
Psoriasis,9014002,15886015.0,Psoriasis and similar disorders
Psoriasis,9014002,15886015.0,Other psoriasis
Psoriasis,9014002,15886015.0,Psoriasis unspecified
Psoriasis,200962007,308733019.0,Psoriasis annularis
Psoriasis,200963002,308734013.0,Psoriasis circinata
Psoriasis,200964008,308735014.0,Psoriasis diffusa
Psoriasis,200965009,308736010.0,Psoriasis discoidea
Psoriasis,200966005,308739015.0,Psoriasis geographica
Psoriasis,37042000,61797015.0,Guttate psoriasis
Psoriasis,200967001,308740018.0,Psoriasis gyrata
Psoriasis,200968006,308741019.0,Psoriasis inveterata
Psoriasis,200969003,308742014.0,Psoriasis ostracea
Psoriasis,200970002,308744010.0,Psoriasis palmaris
Psoriasis,200972005,308746012.0,Psoriasis punctata
Psoriasis,200973000,308747015.0,Pustular psoriasis
Psoriasis,200974006,308749017.0,Psoriasis universalis
Psoriasis,200975007,308750017.0,Psoriasis vulgaris
Psoriasis,402307000,1781467015.0,Chronic large plaque psoriasis
Psoriasis,200977004,308752013.0,Erythrodermic psoriasis
Psoriasis,238600001,357612014.0,Flexural psoriasis
Psoriasis,9014002,15886015.0,Psoriasis NOS
Psoriasis,399937000,1773474010.0,Other psoriasis and similar disorders
Psoriasis,238608008,357623013.0,Scalp psoriasis
Psoriasis,9014002,15886015.0,Psoriasis and similar disorders NOS
Psoriasis,9014002,15886015.0,[X]Other psoriasis
