Condition,SNOMED_Code,SnomedCTDescriptionId,Term
Spinal degenerative disease,267970006,890841000006118.0,Cervical spond.- no myelopathy
Spinal degenerative disease,65260001,890851000006116.0,Cervical spond.with myelopathy
Spinal degenerative disease,202677007,890861000006119.0,Lumbosacral spond + myelopathy
Spinal degenerative disease,207968008,318465011.0,"Open fracture lumbar vertebra, spondylolysis"
Spinal degenerative disease,267969005,890831000006111.0,Spondyloses
Spinal degenerative disease,666611000000101,990511000006110.0,Spondyloses
Spinal degenerative disease,666611000000101,1463151000000118.0,Osteoarthritis of spine NOS
Spinal degenerative disease,666611000000101,1463161000000115.0,Spondylosis NOS
Spinal degenerative disease,192907007,297150011.0,Myelopathy due to spondylosis
Spinal degenerative disease,193120004,297465015.0,Nerve root and plexus compressions in spondylosis
Spinal degenerative disease,267969005,400266016.0,Spondylosis and allied disorders
Spinal degenerative disease,8847002,508047017.0,Arthritis of spine
Spinal degenerative disease,8847002,508047017.0,Osteoarthritis of spine
Spinal degenerative disease,267970006,400267013.0,Cervical spondylosis without myelopathy
Spinal degenerative disease,387800004,1481870016.0,Cervical spondylosis
Spinal degenerative disease,387800004,1492276018.0,Osteoarthritis cervical spine
Spinal degenerative disease,202657000,311055019.0,Single-level cervical spondylosis without myelopathy
Spinal degenerative disease,202658005,311056018.0,Two-level cervical spondylosis without myelopathy
Spinal degenerative disease,202659002,311057010.0,Multiple-level cervical spondylosis without myelopathy
Spinal degenerative disease,65260001,108431018.0,Cervical spondylosis with myelopathy
Spinal degenerative disease,202661006,311061016.0,Single-level cervical spondylosis with myelopathy
Spinal degenerative disease,202662004,311062011.0,Two-level cervical spondylosis with myelopathy
Spinal degenerative disease,202663009,311063018.0,Multiple-level cervical spondylosis with myelopathy
Spinal degenerative disease,267971005,400268015.0,Thoracic spondylosis without myelopathy
Spinal degenerative disease,387802007,1481872012.0,Thoracic spondylosis
Spinal degenerative disease,202666001,311068010.0,Single-level thoracic spondylosis without myelopathy
Spinal degenerative disease,202667005,311069019.0,Two-level thoracic spondylosis without myelopathy
Spinal degenerative disease,202668000,311070018.0,Multiple-level thoracic spondylosis without myelopathy
Spinal degenerative disease,267971005,400269011.0,Dorsal spondylosis without myelopathy
Spinal degenerative disease,10948005,19006012.0,Thoracic spondylosis with myelopathy
Spinal degenerative disease,202670009,311072014.0,Single-level thoracic spondylosis with myelopathy
Spinal degenerative disease,202672001,311074010.0,Multiple-level thoracic spondylosis with myelopathy
Spinal degenerative disease,48210000,80324016.0,Lumbosacral spondylosis without myelopathy
Spinal degenerative disease,239880009,359432012.0,Degeneration of lumbar spine
Spinal degenerative disease,239880009,359432012.0,Lumbar spondylosis
Spinal degenerative disease,202674000,311079017.0,Single-level lumbosacral spondylosis without myelopathy
Spinal degenerative disease,202675004,311080019.0,Two-level lumbosacral spondylosis without myelopathy
Spinal degenerative disease,202676003,311081015.0,Multiple-level lumbosacral spondylosis without myelopathy
Spinal degenerative disease,202677007,311082010.0,Lumbosacral spondylosis with myelopathy
Spinal degenerative disease,202678002,311083017.0,Single-level lumbosacral spondylosis with myelopathy
Spinal degenerative disease,202679005,311084011.0,Two-level lumbosacral spondylosis with myelopathy
Spinal degenerative disease,202680008,311085012.0,Multiple-level lumbosacral spondylosis with myelopathy
Spinal degenerative disease,202683005,311091014.0,Cervical spondylosis with radiculopathy
Spinal degenerative disease,202684004,311093012.0,Single-level cervical spondylosis with radiculopathy
Spinal degenerative disease,202685003,311094018.0,Two-level cervical spondylosis with radiculopathy
Spinal degenerative disease,202686002,311095017.0,Multiple-level cervical spondylosis with radiculopathy
Spinal degenerative disease,202687006,311096016.0,Cervical spondylosis with vascular compression
Spinal degenerative disease,202688001,311097013.0,Thoracic spondylosis with radiculopathy
Spinal degenerative disease,202689009,311099011.0,Single-level thoracic spondylosis with radiculopathy
Spinal degenerative disease,202690000,311100015.0,Two-level thoracic spondylosis with radiculopathy
Spinal degenerative disease,202692008,311103018.0,Multiple-level thoracic spondylosis with radiculopathy
Spinal degenerative disease,202693003,311106014.0,Lumbosacral spondylosis with radiculopathy
Spinal degenerative disease,202694009,311108010.0,Single-level lumbosacral spondylosis with radiculopathy
Spinal degenerative disease,202695005,311109019.0,Two-level lumbosacral spondylosis with radiculopathy
Spinal degenerative disease,202696006,311110012.0,Multiple-level lumbosacral spondylosis with radiculopathy
Spinal degenerative disease,387800004,1492276018.0,Osteoarthritis of cervical spine
Spinal degenerative disease,387802007,1492281010.0,Osteoarthritis of thoracic spine
Spinal degenerative disease,239880009,359433019.0,Osteoarthritis of lumbar spine
Spinal degenerative disease,8847002,508047017.0,Osteoarthritis of spine NOS
Spinal degenerative disease,8847002,15601012.0,Spondylosis NOS
Spinal degenerative disease,8847002,508047017.0,Osteoarthritis spine
Spinal degenerative disease,68859000,114373013.0,"Spondylosis without myelopathy, NOS"
Spinal degenerative disease,192907007,297150011.0,"Spondylosis with myelopathy, NOS"
Spinal degenerative disease,8847002,15601012.0,[X]Other spondylosis with radiculopathy
Spinal degenerative disease,8847002,15601012.0,[X]Other spondylosis
Spinal degenerative disease,387731002,1481809019.0,Laminectomy
Spinal degenerative disease,575091000000108,875071000006117.0,Laminectomy - unspecified
Spinal degenerative disease,932311000006106,932311000006110.0,Laminectomy - unspecified
Spinal degenerative disease,575101000000100,875081000006119.0,Laminectomy site re-opening
Spinal degenerative disease,932321000006103,932321000006119.0,Laminectomy site re-opening
Spinal degenerative disease,128196005,206420017.0,Lumbar radiculopathy
Spinal degenerative disease,27151001,890921000006116.0,Post laminectomy syndrome
Spinal degenerative disease,610481000000107,1350031000000115.0,Other and unspecified disc disorders
Spinal degenerative disease,265709001,394575012.0,Primary anterior excis cervical IV disc & interbody fusion
Spinal degenerative disease,178526006,276277012.0,Primary microdiscectomy of cervical intervertebral disc
Spinal degenerative disease,178551007,276310015.0,Primary anterior excision thoracic disc and fusion
Spinal degenerative disease,273995009,409725013.0,Primary anterolateral excision thoracic intervert disc NEC
Spinal degenerative disease,178553005,276312011.0,Primary costotransversectomy of thoracic intervertebral disc
Spinal degenerative disease,178554004,276313018.0,Primary posterior decompression of thoracic disc
Spinal degenerative disease,273996005,409726014.0,Revis anterol exc thoracic intervertebral disc graft HFQ
Spinal degenerative disease,178618008,276388015.0,Primary lumbar discectomy
Spinal degenerative disease,178620006,276393017.0,Primary fenestration of lumbar intervertebral disc
Spinal degenerative disease,265714002,394580015.0,Freebody anterior excision lumbar IV disc & interbody fusion
Spinal degenerative disease,178624002,276399018.0,Primary ant excision lumbar disc+post instrumentation
Spinal degenerative disease,178625001,276400013.0,Primary lumbar microdiscectomy
Spinal degenerative disease,309702009,453172019.0,Primary percutaneous intradiscal lumbar discectomy
Spinal degenerative disease,178618008,276388015.0,Other specified primary lumbar discectomy
Spinal degenerative disease,178631003,276406019.0,Other specified revisional lumbar discectomy
Spinal degenerative disease,238001000000100,385661000000117.0,Primary automated percutan mech excis cerv intervert disc
Spinal degenerative disease,238281000000103,386251000000111.0,Primary percutaneous decompres coblat cerv intervert disc
Spinal degenerative disease,429558007,2772706015.0,Primary percut intrad radio thermocoag cerv intervert disc
Spinal degenerative disease,192905004,297148015.0,Myelopathy due to intervertebral disc disease
Spinal degenerative disease,193119005,297464016.0,Nerve root and plexus compressions in intervert disc disord
Spinal degenerative disease,36427004,1228648018.0,Intervertebral disc disorders
Spinal degenerative disease,267974002,400273014.0,Cervical disc displacement without myelopathy
Spinal degenerative disease,267974002,400272016.0,Prolapsed cervical intervertebral disc without myelopathy
Spinal degenerative disease,240215009,359856016.0,Cervical disc displacement
Spinal degenerative disease,202707000,311131010.0,Thoracic disc displacement without myelopathy
Spinal degenerative disease,202707000,311130011.0,Prolapsed thoracic intervertebral disc without myelopathy
Spinal degenerative disease,202708005,311132015.0,Lumbar disc displacement
Spinal degenerative disease,202708005,311132015.0,Prolapsed lumbar intervertebral disc
Spinal degenerative disease,240213002,359854018.0,"Disc displacement, site unspecified, without myelopathy"
Spinal degenerative disease,73589001,122194016.0,Intervertebral disc prolapse NOS
Spinal degenerative disease,240213002,359854018.0,Prolapsed intervertebral disc without myelopathy
Spinal degenerative disease,45181002,75341011.0,Schmorl's nodes
Spinal degenerative disease,45181002,75341011.0,Schmorl's nodes of unspecified region
Spinal degenerative disease,86804002,143963017.0,Schmorl's nodes of the thoracic region
Spinal degenerative disease,29574001,49481016.0,Schmorl's nodes of the lumbar region
Spinal degenerative disease,45181002,75341011.0,"Schmorl's nodes, region NOS"
Spinal degenerative disease,69195002,114931012.0,Cervical disc degeneration
Spinal degenerative disease,68675004,114066012.0,Thoracic disc degeneration
Spinal degenerative disease,26538006,44436017.0,Lumbar disc degeneration
Spinal degenerative disease,77547008,128728011.0,Degenerative disc disease NOS
Spinal degenerative disease,267976000,400275019.0,Disc disorder with myelopathy
Spinal degenerative disease,202728009,311159011.0,Prolapsed intervertebral disc with associated myelopathy
Spinal degenerative disease,267976000,400275019.0,Unspecified disc disorder with myelopathy
Spinal degenerative disease,202717005,311146015.0,Cervical disc disorder with myelopathy
Spinal degenerative disease,202718000,311147012.0,Thoracic disc disorder with myelopathy
Spinal degenerative disease,202719008,311148019.0,Lumbar disc disorder with myelopathy
Spinal degenerative disease,267976000,400275019.0,Disc disorder with myelopathy NOS
Spinal degenerative disease,202728009,311159011.0,Disc prolapse with myelopathy
Spinal degenerative disease,202729001,311160018.0,Cervical disc prolapse with myelopathy
Spinal degenerative disease,202730006,311161019.0,Thoracic disc prolapse with myelopathy
Spinal degenerative disease,202731005,311162014.0,Lumbar disc prolapse with myelopathy
Spinal degenerative disease,202732003,311163016.0,Disc prolapse with radiculopathy
Spinal degenerative disease,202733008,311164010.0,Cervical disc prolapse with radiculopathy
Spinal degenerative disease,202734002,311167015.0,Thoracic disc prolapse with radiculopathy
Spinal degenerative disease,202735001,311168013.0,Lumbar disc prolapse with radiculopathy
Spinal degenerative disease,202736000,311170016.0,Lumbar disc prolapse with cauda equina compression
Spinal degenerative disease,311804006,455431014.0,Prolapsed lumbar intervertebral disc with sciatica
Spinal degenerative disease,36427004,60784012.0,Other and unspecified disc disorders
Spinal degenerative disease,36427004,60784012.0,Other disc disorders of unspecified site
Spinal degenerative disease,425878001,2674166010.0,Other cervical disc disorders
Spinal degenerative disease,36427004,60784012.0,Other thoracic disc disorders
Spinal degenerative disease,443700006,2840290015.0,Other lumbar disc disorders
Spinal degenerative disease,202745004,311179015.0,Annular tear of cervical disc
Spinal degenerative disease,202746003,311180017.0,Resorption of cervical disc
Spinal degenerative disease,202747007,311181018.0,Calcification of cervical disc
Spinal degenerative disease,202749005,311183015.0,Annular tear of thoracic disc
Spinal degenerative disease,202751009,311185010.0,Calcification of thoracic disc
Spinal degenerative disease,202753007,311187019.0,Annular tear of lumbar disc
Spinal degenerative disease,202754001,311188012.0,Resorption of lumbar disc
Spinal degenerative disease,202755000,311189016.0,Calcification of lumbar disc
Spinal degenerative disease,202757008,311191012.0,Cervical disc disorder with radiculopathy
Spinal degenerative disease,36427004,60784012.0,Disc disorders NOS
Spinal degenerative disease,73589001,122194016.0,[X]Other cervical disc displacement
Spinal degenerative disease,69195002,114931012.0,[X]Other cervical disc degeneration
Spinal degenerative disease,425878001,2674166010.0,[X]Other cervical disc disorders
Spinal degenerative disease,36427004,60784012.0,[X]Lumbar+other intervertebral disc disordrs with myelopathy
Spinal degenerative disease,202732003,311163016.0,[X]Lumbar+other intervertbrl disc disordrs with radiculopthy
Spinal degenerative disease,73589001,122194016.0,[X]Other specified intervertebral disc displacement
Spinal degenerative disease,77547008,128725014.0,[X]Other specified intervertebral disc degeneration
Spinal degenerative disease,36427004,60784012.0,[X]Other specified intervertebral disc disorders
Spinal degenerative disease,425878001,2674166010.0,"[X]Cervical disc disorder, unspecified"
Spinal degenerative disease,73589001,122194016.0,[Q] Central disc prolapse
Spinal degenerative disease,73589001,122194016.0,[Q] Posterolateral disc prolapse
Spinal degenerative disease,73589001,122194016.0,[Q] Sequestrated disc prolapse
