Condition,SNOMED_Code,SnomedCTDescriptionId,Term
Systemic connective tissue disorders,414341000,2534171012.0,Giant cell arteritis
Systemic connective tissue disorders,400130008,1787109017.0,Cranial arteritis
Systemic connective tissue disorders,400130008,1779388019.0,Temporal arteritis
Systemic connective tissue disorders,400130008,1787110010.0,Horton's disease
Systemic connective tissue disorders,414341000,2534171012.0,Giant cell arteritis NOS
Systemic connective tissue disorders,239938009,359513016.0,Giant cell arteritis with polymyalgia rheumatica
Systemic connective tissue disorders,414341000,2534171012.0,[X]Other giant cell arteritis
Systemic connective tissue disorders,65323003,108529013.0,Polymyalgia rheumatica
Systemic connective tissue disorders,65323003,108529013.0,Polymyalgia
Systemic connective tissue disorders,193248005,297639014.0,Myopathy due to disseminated lupus erythematosus
Systemic connective tissue disorders,79291003,1234339017.0,Eyelid discoid lupus erythematosus
Systemic connective tissue disorders,196138005,301721015.0,Lung disease with systemic lupus erythematosus
Systemic connective tissue disorders,68815009,114310015.0,Nephrotic syndrome in systemic lupus erythematosus
Systemic connective tissue disorders,68815009,114310015.0,Lupus nephritis
Systemic connective tissue disorders,307755009,451122013.0,Renal tubulo-interstitial disorder in SLE
Systemic connective tissue disorders,200936003,308697013.0,Lupus erythematosus
Systemic connective tissue disorders,200937007,308700012.0,Lupus erythematosus chronicus
Systemic connective tissue disorders,200938002,308701011.0,Discoid lupus erythematosus
Systemic connective tissue disorders,200939005,308704015.0,Lupus erythematosus migrans
Systemic connective tissue disorders,200940007,308705019.0,Lupus erythematosus nodularis
Systemic connective tissue disorders,15084002,25612013.0,Lupus erythematosus profundus
Systemic connective tissue disorders,200941006,308706018.0,Lupus erythematosus tumidus
Systemic connective tissue disorders,200942004,308707010.0,Lupus erythematosus unguium mutilans
Systemic connective tissue disorders,200936003,308697013.0,Lupus erythematosus NOS
Systemic connective tissue disorders,7119001,12747019.0,[X]Other local lupus erythematosus
Systemic connective tissue disorders,55464009,92208011.0,Systemic lupus erythematosus
Systemic connective tissue disorders,55464009,92209015.0,Disseminated lupus erythematosus
Systemic connective tissue disorders,54072008,496853017.0,Libman-Sacks disease
Systemic connective tissue disorders,201436003,309405011.0,Drug-induced systemic lupus erythematosus
Systemic connective tissue disorders,239887007,359443016.0,Systemic lupus erythematosus with organ or sys involv
Systemic connective tissue disorders,309762007,453243010.0,Systemic lupus erythematosus with pericarditis
Systemic connective tissue disorders,95644001,512234017.0,Cerebral lupus
Systemic connective tissue disorders,55464009,92208011.0,Systemic lupus erythematosus NOS
Systemic connective tissue disorders,55464009,92208011.0,[X]Other forms of systemic lupus erythematosus
Systemic connective tissue disorders,193252005,297644019.0,Myopathy due to scleroderma
Systemic connective tissue disorders,196133001,301716018.0,Lung disease with systemic sclerosis
Systemic connective tissue disorders,236502006,354512012.0,Renal involvement in scleroderma
Systemic connective tissue disorders,89155008,147835019.0,Scleroderma
Systemic connective tissue disorders,298285004,1785104011.0,Acrosclerosis
Systemic connective tissue disorders,89155008,147833014.0,Systemic sclerosis
Systemic connective tissue disorders,444133002,2842339011.0,Progressive systemic sclerosis
Systemic connective tissue disorders,31848007,53211014.0,CREST syndrome
Systemic connective tissue disorders,201443009,309416016.0,Systemic sclerosis induced by drugs and chemicals
Systemic connective tissue disorders,89155008,147833014.0,[X]Other forms of systemic sclerosis
Systemic connective tissue disorders,193253000,297645018.0,Myopathy due to Sjogren's disease
Systemic connective tissue disorders,196137000,301720019.0,Lung disease with Sjogren's disease
Systemic connective tissue disorders,83901003,139128015.0,Sicca (Sjogren's) syndrome
