Condition,SNOMED_Code,SnomedCTDescriptionId,Term
Tuberculosis,186270000,286325014.0,Tuberculosis of adrenal glands - Addison's disease
Tuberculosis,4445009,1230097015.0,Tuberculosis of genitourinary system
Tuberculosis,56717001,94320019.0,Tuberculosis of other organs
Tuberculosis,17653001,1494889019.0,Tuberculosis of bones and joints
Tuberculosis,189361002,290904010.0,Neop uncertain behaviour of digestive and respiratory system
Tuberculosis,47604008,79348014.0,Miliary tuberculosis
Tuberculosis,182159002,281631019.0,Disseminated tuberculosis
Tuberculosis,14188007,476139013.0,Tuberculosis of hip
Tuberculosis,74181004,123189010.0,Tuberculosis of other female genital organs
Tuberculosis,24235005,40681016.0,Tuberculous hydrothorax
Tuberculosis,186195008,286239011.0,"Tuberculosis of lung, confirmed histologically"
Tuberculosis,186225008,286270015.0,"Tuberculosis of intestines, peritoneum and mesenteric glands"
Tuberculosis,82796002,137345013.0,Tuberculosis - scrofuloderma
Tuberculosis,203263006,311912015.0,Tuberculosis of cervical spine
Tuberculosis,161414005,251538012.0,[V] Personal history of pulmonary tuberculosis
Tuberculosis,35984006,60049017.0,Tuberculosis of spine
Tuberculosis,15284007,195678010.0,Tuberculosis oesophagus
Tuberculosis,203278004,311927015.0,Tuberculosis of the bones of the shoulder region
Tuberculosis,154283005,239551014.0,Other respiratory tuberculosis
Tuberculosis,186192006,286236016.0,Resp TB bacteriologically and histologically confirmed
Tuberculosis,10893003,18908019.0,Tuberculous adenitis
Tuberculosis,20372007,34267015.0,Tuberculosis of prostate
Tuberculosis,190710003,293128014.0,Tuberculous arthritis
Tuberculosis,44572005,1230111017.0,Peritonitis - tuberculous
Tuberculosis,84194006,139628019.0,Tuberculous oophoritis
Tuberculosis,186200004,286245015.0,"Tuberculous pleurisy, conf bacteriologically/histologically"
Tuberculosis,193787009,298355010.0,Keratitis due to tuberculosis
Tuberculosis,416903004,2549441013.0,Tuberculoma of spinal cord
Tuberculosis,49107007,81815010.0,Tuberculosis of eye
Tuberculosis,11999007,667971000000118.0,Latent tuberculosis
Tuberculosis,10706006,18595015.0,Tuberculosis of meninges and central nervous system
Tuberculosis,78436002,130160016.0,Tuberculosis of intrathoracic lymph nodes
Tuberculosis,80003002,132731014.0,Tuberculous pneumonia
Tuberculosis,85692003,142044014.0,Tuberculosis of tracheobronchial lymph nodes
Tuberculosis,78436002,130160016.0,TB intrathoracic lymph nodes confirm bact histologically
Tuberculosis,14527007,24683016.0,Tuberculous empyema
Tuberculosis,82495004,136831015.0,Tuberculosis of mediastinal lymph nodes
Tuberculosis,58437007,97107015.0,Tuberculous meningitis
Tuberculosis,2028007,4502016.0,Bazin's disease - erythema induratum - TB hypersensitivity
Tuberculosis,58764007,97655016.0,Tuberculous osteomylelytis
Tuberculosis,417484006,2548529013.0,Tuberculous abscess of spinal cord
Tuberculosis,88356006,146495016.0,Primary tuberculous complex
Tuberculosis,35984006,1228336010.0,Tuberculosis of vertebral column - Pott's
Tuberculosis,170525009,264413015.0,TB - tuberculosis notification
Tuberculosis,77038006,127902015.0,Tuberculosis of peripheral lymph nodes
Tuberculosis,154283005,239551014.0,Pulmonary tuberculosis
Tuberculosis,44572005,74349016.0,Tuberculous peritonitis
Tuberculosis,271423008,406201015.0,Tuberculosis of skin and subcutaneous tissue
Tuberculosis,203264000,311913013.0,Tuberculosis of thoracic spine
Tuberculosis,192745001,296922015.0,Tuberculous intracranial abscess
Tuberculosis,74610006,123913018.0,Tuberculosis with erythema nodosum hypersensitivity reaction
Tuberculosis,34320001,57296016.0,Tuberculous myelitis
Tuberculosis,35984006,1228335014.0,Tuberculosis of spine (Pott's)
Tuberculosis,203266003,311915018.0,Tuberculosis of sacrum/coccyx
Tuberculosis,74610006,123913018.0,Tuberculous erythema nodosum
Tuberculosis,416265003,2548770013.0,Tuberculoma of brain
Tuberculosis,80602006,1788181018.0,Nodular lung tuberculosis
Tuberculosis,17136009,1221477016.0,Tuberculosis of knee
Tuberculosis,74387008,123534017.0,Tuberculosis of hilar lymph nodes
Tuberculosis,203269005,311918016.0,Tuberculosis of the upper arm bone
Tuberculosis,186172004,286214019.0,Tuberculous pleurisy in primary progressive tuberculosis
Tuberculosis,186269001,286323019.0,Tuberculosis of ear
Tuberculosis,71375000,118567019.0,Tuberculous mastoiditis
Tuberculosis,35786001,59684010.0,Tuberculoma of meninges
Tuberculosis,186202007,286247011.0,Respiratory TB not confirmed bact or histologically
Tuberculosis,38115001,64723010.0,Tuberculosis of spinal meninges
Tuberculosis,28399005,47540018.0,Tuberculosis spleen
Tuberculosis,417484006,2548529013.0,Tuberculous intraspinal abscess
Tuberculosis,187251001,287957010.0,Late effects of tuberculosis of other specified organs
Tuberculosis,187251001,287958017.0,Late effects of tuberculosis
Tuberculosis,70341005,116837013.0,Tuberculous laryngitis
Tuberculosis,9768003,1235995011.0,Tuberculosis lichenoides
Tuberculosis,66986005,111268016.0,Tuberculosis cutis
Tuberculosis,203272003,311921019.0,Tuberculosis of the lower leg bone
Tuberculosis,111830007,179010012.0,Tuberculosis of other urinary organs
Tuberculosis,37133005,61952018.0,Tuberculous pyelitis
Tuberculosis,186259007,286311013.0,Scrofulous tuberculous abscess
Tuberculosis,186177005,286219012.0,Tuberculosis of lung with cavitation
Tuberculosis,56717001,94320019.0,Tuberculosis
Tuberculosis,40258005,63627011.0,Tuberculosis of testis
Tuberculosis,63309002,105237015.0,Primary tuberculous infection
Tuberculosis,186178000,286220018.0,Tuberculosis of bronchus
Tuberculosis,186175002,286217014.0,Infiltrative lung tuberculosis
Tuberculosis,10528009,1219095014.0,Tuberculosis - lupus exedens
Tuberculosis,10528009,18298019.0,Tuberculosis - lupus NOS
Tuberculosis,83652003,138731018.0,Tuberculosis of epididymis
Tuberculosis,415622003,2533735010.0,Streptomycin resistant tuberculosis
Tuberculosis,90302003,149683011.0,Tuberculosis of cerebral meninges
Tuberculosis,111830007,2535679015.0,Tuberculosis of urinary tract
Tuberculosis,62819009,104401018.0,Tuberculous cervicitis
