Condition,MedCodeId,SNOMED_Code,SnomedCTDescriptionId,ReadCode,CleansedReadCode,Term
Cataract,84871000006117.0,420756003,3688522015.0,C109E-1,C109E11,Type II diabetes mellitus with diabetic cataract
Cataract,84501000006114.0,420756003,3688522015.0,C109E-2,C109E12,Type 2 diabetes mellitus with diabetic cataract
Cataract,914301000006111.0,420756003,3688522015.0,C10FE,C10FE00,Type 2 diabetes mellitus with diabetic cataract
Cataract,914311000006114.0,420756003,3688522015.0,C10FE-1,C10FE11,Type II diabetes mellitus with diabetic cataract
Cataract,913911000006110.0,421920002,3688521010.0,C10EF-1,C10EF11,Type I diabetes mellitus with diabetic cataract
Cataract,771341000006114.0,43959009,73294018.0,C108F,C108F00,Insulin dependent diabetes mellitus with diabetic cataract
Cataract,84691000006115.0,421920002,3688521010.0,C108F-1,C108F11,Type I diabetes mellitus with diabetic cataract
Cataract,281161000006114.0,420756003,3035281015.0,C109E,C109E00,Non-insulin depend diabetes mellitus with diabetic cataract
Cataract,913901000006112.0,421920002,2618234016.0,C10EF,C10EF00,Type 1 diabetes mellitus with diabetic cataract
Cataract,73294018.0,43959009,73294018.0,F4640,F464000,Diabetic cataract
Cataract,3390661000006113.0,54885007,91237012.0,^ESCTCA339066,,Cataract extraction
Cataract,853291000006111.0,853291000006107,853291000006111.0,EGTON132,,Cataract extraction & lens repl
Cataract,859771000006116.0,538661000000100,859771000006116.0,7266z-99,7266z99,Cataract extraction unspec.
Cataract,2718741000006113.0,13793006,1221016013.0,^ESCTEX271874,,Extracapsular cataract extraction
Cataract,853641000006116.0,853641000006100,853641000006116.0,EGTON254,,Left cataract extraction
Cataract,853651000006119.0,853651000006103,853651000006119.0,EGTON255,,Right cataract extraction
Cataract,883311000006115.0,193600001,883311000006115.0,F463-99,F463.99,Secondary cataract
Cataract,859751000006114.0,172532006,859751000006114.0,72654-99,7265499,YAG laser post capsulotomy
Cataract,857711000006116.0,857711000006100,857711000006116.0,EGTONYA1,,Yag laser capsulotomy
Cataract,1.2719581000006116e+16,587641000000106,1303421000000111.0,^ESCT1271958,,Cataract due to other disorder
Cataract,3741271000006115.0,76309006,126733015.0,^ESCTCA374127,,Cataract with neovascularization
Cataract,2472224012.0,47337003,78919019.0,F4K34-1,F4K3411,Posterior capsule opacification
Cataract,253774010.0,162811006,253774010.0,22E5,22E5.00,O/E - cataract present
Cataract,539421000006110.0,247052002,368958013.0,2BT,2BT..00,Cataract observation
Cataract,451393017.0,308088006,451393017.0,2BT0,2BT0.00,O/E - Right cataract present
Cataract,451394011.0,308089003,451394011.0,2BT1,2BT1.00,O/E - Left cataract present
Cataract,495988011.0,5130002,495988011.0,72630-1,7263011,Needling of lens for cataract
Cataract,495989015.0,5130002,495989015.0,72661,7266100,Discission of cataract
Cataract,84321000006114.0,421920002,2618234016.0,C108F-2,C108F12,Type 1 diabetes mellitus with diabetic cataract
Cataract,913891000006113.0,43959009,73294018.0,C10EF-2,C10EF12,Insulin dependent diabetes mellitus with diabetic cataract
Cataract,298076010.0,193570009,298076010.0,F46,F46..00,Cataract
Cataract,298081018.0,399305009,1778757011.0,F4602,F460200,Unspecified presenile cataract
Cataract,3463017.0,1412008,3463017.0,F4603,F460300,Anterior subcapsular polar cataract
Cataract,57632013.0,34533008,57632013.0,F4604,F460400,Posterior subcapsular polar cataract
Cataract,298083015.0,193576003,298083015.0,F4605,F460500,Cortical cataract
Cataract,298084014.0,193577007,298084014.0,F4606,F460600,Lamellar zonular cataract
Cataract,89579016.0,53889007,89579016.0,F4607,F460700,Nuclear cataract
Cataract,298086011.0,193579005,298086011.0,F460x,F460x00,Combined nonsenile cataract
Cataract,298087019.0,193571008,298078011.0,F460y,F460y00,Other nonsenile cataract
Cataract,298088012.0,193571008,298078011.0,F460z,F460z00,Nonsenile cataract NOS
Cataract,66160017.0,39450006,66160017.0,F461,F461.00,Senile cataract
Cataract,298090013.0,39450006,492086016.0,F4610,F461000,Unspecified senile cataract
Cataract,747871000006116.0,44219007,73743014.0,F4611,F461100,Lens capsule pseudoexfoliation
