Condition,MedCodeId,SNOMED_Code,SnomedCTDescriptionId,ReadCode,CleansedReadCode,Term
Cerebrovascular disease,345718011.0,230736007,345718011.0,1B1S,1B1S.00,Transient global amnesia
Cerebrovascular disease,413750011.0,277286006,413750011.0,1M4,1M4..00,Central post-stroke pain
Cerebrovascular disease,371641000000112.0,231231000000107,371641000000112.0,7P242,7P24200,Delivery of rehabilitation for stroke
Cerebrovascular disease,966981000006112.0,112901000000108,199461000000113.0,8HHM,8HHM.00,Ref to multidisciplinary stroke function improvement service
Cerebrovascular disease,1784651000006110.0,781731000000103,1747751000000110.0,8IEC,8IEC.00,Ref multidisciplinary stroke function improvement declined
Cerebrovascular disease,139081000000117.0,716581000000101,1569131000000118.0,9h21,9h21.00,Excepted from stroke quality indicators: Patient unsuitable
Cerebrovascular disease,139091000000115.0,716021000000109,1568581000000116.0,9h22,9h22.00,Excepted from stroke quality indicators: Informed dissent
Cerebrovascular disease,145925010.0,88032003,145925010.0,F4236,F423600,Amaurosis fugax
Cerebrovascular disease,299342019.0,230698000,345651012.0,Fyu56,Fyu5600,[X]Other lacunar syndromes
Cerebrovascular disease,345639010.0,230692004,345639010.0,G63-1,G63..11,Infarction - precerebral
Cerebrovascular disease,300312010.0,195185009,300312010.0,G63y0,G63y000,Cerebral infarct due to thrombosis of precerebral arteries
Cerebrovascular disease,300313017.0,195186005,300313017.0,G63y1,G63y100,Cerebral infarction due to embolism of precerebral arteries
Cerebrovascular disease,1222398015.0,20059004,1222398015.0,G64,G64..00,Cerebral arterial occlusion
Cerebrovascular disease,605461000006117.0,230691006,345638019.0,G64-1,G64..11,CVA - cerebral artery occlusion
Cerebrovascular disease,218511000000117.0,432504007,2770034014.0,G64-2,G64..12,Infarction - cerebral
Cerebrovascular disease,122361000006113.0,230691006,345638019.0,G64-3,G64..13,Stroke due to cerebral arterial occlusion
Cerebrovascular disease,118689010.0,71444005,118689010.0,G640,G640.00,Cerebral thrombosis
