Condition,MedCodeId,SNOMED_Code,SnomedCTDescriptionId,ReadCode,CleansedReadCode,Term
Chronic kidney disease,8104231000006115.0,324251000000105,1676871000000115.0,^ESCTCK810423,,CKD (chronic kidney disease) stage 3 with proteinuria
Chronic kidney disease,8104261000006112.0,324281000000104,1676861000000110.0,^ESCTCK810426,,CKD (chronic kidney disease) stage 3 without proteinuria
Chronic kidney disease,8104301000006115.0,324311000000101,1692921000000118.0,^ESCTCK810430,,CKD (chronic kidney disease) stage 3A with proteinuria
Chronic kidney disease,8104351000006115.0,324341000000100,1692931000000116.0,^ESCTCK810435,,CKD (chronic kidney disease) stage 3A without proteinuria
Chronic kidney disease,8104381000006112.0,324371000000106,1692941000000113.0,^ESCTCK810438,,CKD (chronic kidney disease) stage 3B with proteinuria
Chronic kidney disease,8104411000006110.0,324411000000105,1692951000000111.0,^ESCTCK810441,,CKD (chronic kidney disease) stage 3B without proteinuria
Chronic kidney disease,8104451000006110.0,324441000000106,1693001000000116.0,^ESCTCK810445,,CKD (chronic kidney disease) stage 4 with proteinuria
Chronic kidney disease,8104481000006115.0,324471000000100,1693051000000115.0,^ESCTCK810448,,CKD (chronic kidney disease) stage 4 without proteinuria
Chronic kidney disease,8104511000006110.0,324501000000107,1693061000000117.0,^ESCTCK810451,,CKD (chronic kidney disease) stage 5 with proteinuria
Chronic kidney disease,8104551000006112.0,324541000000105,1692911000000112.0,^ESCTCK810455,,CKD (chronic kidney disease) stage 5 without proteinuria
Chronic kidney disease,7174791000006111.0,433144002,2873059015.0,^ESCTCK717479,,CKD stage 3
Chronic kidney disease,618431000000114.0,324251000000105,618431000000114.0,1Z1B-1,1Z1B.11,CKD stage 3 with proteinuria
Chronic kidney disease,618441000000117.0,324281000000104,618441000000117.0,1Z1C-1,1Z1C.11,CKD stage 3 without proteinuria
Chronic kidney disease,618451000000119.0,324311000000101,618451000000119.0,1Z1D-1,1Z1D.11,CKD stage 3A with proteinuria
Chronic kidney disease,618461000000116.0,324341000000100,618461000000116.0,1Z1E-1,1Z1E.11,CKD stage 3A without proteinuria
Chronic kidney disease,618471000000111.0,324371000000106,618471000000111.0,1Z1F-1,1Z1F.11,CKD stage 3B with proteinuria
Chronic kidney disease,618481000000113.0,324411000000105,618481000000113.0,1Z1G-1,1Z1G.11,CKD stage 3B without proteinuria
Chronic kidney disease,7147781000006115.0,431857002,2872614018.0,^ESCTCK714778,,CKD stage 4
Chronic kidney disease,618491000000110.0,324441000000106,618491000000110.0,1Z1H-1,1Z1H.11,CKD stage 4 with proteinuria
Chronic kidney disease,618501000000116.0,324471000000100,618501000000116.0,1Z1J-1,1Z1J.11,CKD stage 4 without proteinuria
Chronic kidney disease,7174851000006111.0,433146000,2870834012.0,^ESCTCK717485,,CKD stage 5
Chronic kidney disease,618511000000119.0,324501000000107,618511000000119.0,1Z1K-1,1Z1K.11,CKD stage 5 with proteinuria
Chronic kidney disease,1940621000006111.2,949881000000106,2427381000000110.0,1Z1T,1Z1T.00,CKD with GFR category G3a & albuminuria category A1
Chronic kidney disease,1940631000006114.0,949901000000109,2427401000000110.0,1Z1V,1Z1V.00,CKD with GFR category G3a & albuminuria category A2
