Condition,MedCodeId,SNOMED_Code,SnomedCTDescriptionId,ReadCode,CleansedReadCode,Term
Chronic lower respiratory diseases,817361000006114.0,233683003,350153016.0,H330-3,H330.13,Hay fever with asthma
Chronic lower respiratory diseases,350153016.0,233683003,350153016.0,H3300-1,H330011,Hay fever with asthma
Chronic lower respiratory diseases,1882421000006112.8,1882421000006109,1882421000006112.8,EMISNQ1C1,,1 COPD exacerbation in past year
Chronic lower respiratory diseases,1882441000006118.0,1882441000006102,1882441000006118.0,EMISNQ2C1,,2 COPD exacerbations in past year
Chronic lower respiratory diseases,1882431000006111.2,1882431000006107,1882431000006111.2,EMISNQ3C1,,3+ COPD exacerbations in past year
Chronic lower respiratory diseases,2716321000006116.0,13645005,475427019.0,^ESCTCO271632,,COPD - Chronic obstructive pulmonary disease
Chronic lower respiratory diseases,1.1932331000006116e+16,11932331000006104,1.1932331000006116e+16,EMISNQCO295,,COPD GOLD group A
Chronic lower respiratory diseases,1.1932341000006112e+16,11932341000006108,1.1932341000006112e+16,EMISNQCO296,,COPD GOLD group B
Chronic lower respiratory diseases,1.193235100000611e+16,11932351000006106,1.193235100000611e+16,EMISNQCO297,,COPD GOLD group C
Chronic lower respiratory diseases,1.1932361000006112e+16,11932361000006108,1.1932361000006112e+16,EMISNQCO298,,COPD GOLD group D
Chronic lower respiratory diseases,1771441000006118.0,1771441000006102,1771441000006118.0,EMISNQCO114,,COPD patient experience discussed
Chronic lower respiratory diseases,885311000006116.0,611541000000106,885311000006116.0,H3z-99,H3z..99,Chronic obst. pulm. dis. NOS
Chronic lower respiratory diseases,990641000006110.0,13645005,990641000006110.0,H3-99,H3...99,Chronic obst. pulm. dis. NOS
Chronic lower respiratory diseases,2716231000006114.0,13645005,23287019.0,^ESCTCH271623,,Chronic obstructive lung disease
Chronic lower respiratory diseases,1823851000006119.2,1823851000006103,1823851000006119.2,EMISNQCH102,,Chronic obstructive pulmonary disease confirmed
Chronic lower respiratory diseases,1856571000006116.0,1856571000006100,1856571000006116.0,EMISNQCH160,,Chronic obstructive pulmonary disease severity
Chronic lower respiratory diseases,8034781000006114.0,110011000000107,156561000000110.0,^ESCTDI803478,,Did not attend chronic obstructive pulmonary disease clinic
Chronic lower respiratory diseases,1.2623621000006118e+16,1108721000000102,2774581000000119.0,^ESCT1262362,,Excepted from COPD (chronic obstructive pulmonary disease) quality indicators - service unavailable
Chronic lower respiratory diseases,1882451000006116.0,1882451000006100,1882451000006116.0,EMISNQNO109,,No COPD exacerbations in past year
Chronic lower respiratory diseases,8294561000006110.0,857661000000104,2219581000000119.2,^ESCTSE829456,,Seen in COPD (chronic obstructive pulmonary disease) clinic
Chronic lower respiratory diseases,909711000006111.0,909711000006107,909711000006111.0,HNGNQRF16,,[RFC] Chronic obstructive pulmonary disease (COPD)
Chronic lower respiratory diseases,1.2728161000006116e+16,611541000000106,1352161000000113.0,^ESCT1272816,,Chronic obstructive airways disease NOS
Chronic lower respiratory diseases,1.2759361000006112e+16,611541000000106,1352151000000110.0,^ESCT1275936,,Chronic obstructive pulmonary disease NOS
Chronic lower respiratory diseases,3873191000006111.0,84409004,139979010.0,^ESCTFE387319,,Fetid chronic bronchitis
Chronic lower respiratory diseases,4733021000006111.0,185086009,285104011.0,^ESCTOB473302,,Obstructive chronic bronchitis
Chronic lower respiratory diseases,475431013.0,13645005,475431013.0,H3,H3...00,Chronic obstructive pulmonary disease
Chronic lower respiratory diseases,555471000006114.0,13645005,475423015.0,H3-1,H3...11,Chronic obstructive airways disease
Chronic lower respiratory diseases,105519017.0,63480004,105519017.0,H31,H31..00,Chronic bronchitis
Chronic lower respiratory diseases,508561017.0,61937009,102938011.0,H310,H310.00,Simple chronic bronchitis
Chronic lower respiratory diseases,508562012.0,89549007,508562012.0,H3100,H310000,Chronic catarrhal bronchitis
