Condition,MedCodeId,SNOMED_Code,SnomedCTDescriptionId,ReadCode,CleansedReadCode,Term
Conductive and sensorineural hearing loss,3301551000006118.0,49526009,1230737011.0,^ESCTAG330155,,Age-related hearing loss
Conductive and sensorineural hearing loss,80699013.0,48436005,80699013.0,E2F32,E2F3200,Articulatory defect due to conductive hearing loss
Conductive and sensorineural hearing loss,3283701000006115.0,48436005,80700014.0,^ESCTAR328370,,Articulatory defect secondary to hearing loss
Conductive and sensorineural hearing loss,2410391000000119.0,48436005,2410391000000119.0,E2F32-1,E2F3211,Articulatory impairment due to conductive hearing loss
Conductive and sensorineural hearing loss,3209511000006111.0,44057004,1230041018.0,^ESCTCH320951,,CHL - Conductive hearing loss
Conductive and sensorineural hearing loss,3890851000006111.0,85571008,1235048014.0,^ESCTCO389085,,Cochlear hearing loss
Conductive and sensorineural hearing loss,2636241000006117.0,8531006,15071010.0,^ESCTCO263624,,Complete deafness
Conductive and sensorineural hearing loss,2985721000006119.0,30169000,1226997019.0,^ESCTFH298572,,FHL - Functional hearing loss
Conductive and sensorineural hearing loss,2985711000006110.0,30169000,1226996011.0,^ESCTFU298571,,Functional hearing loss
Conductive and sensorineural hearing loss,883901000006119.0,679391000000103,883901000006119.0,F59z-99,F59z.99,Hearing loss NOS
Conductive and sensorineural hearing loss,989081000006119.0,15188001,989081000006119.0,F59-99,F59..99,Hearing loss NOS
Conductive and sensorineural hearing loss,2740701000006119.0,15188001,477218019.0,^ESCTIM274070,,Impaired hearing
Conductive and sensorineural hearing loss,3890861000006112.0,85571008,1235049018.0,^ESCTIN389086,,Inner ear hearing loss
Conductive and sensorineural hearing loss,3761251000006115.0,77507001,1234120019.0,^ESCTMH376125,,MHL - Mixed hearing loss
Conductive and sensorineural hearing loss,3761211000006116.0,77507001,128669010.0,^ESCTMI376121,,Mixed conductive AND sensorineural hearing loss
Conductive and sensorineural hearing loss,1234121015.0,77507001,1234121015.0,F592-99,F592.99,Mixed deafness
Conductive and sensorineural hearing loss,3693771000006111.0,73415002,502427012.0,^ESCTNI369377,,NIHL - Noise-induced hearing loss
Conductive and sensorineural hearing loss,2985691000006112.0,30169000,1226994014.0,^ESCTNO298569,,NOHL - Non-organic hearing loss
Conductive and sensorineural hearing loss,2985701000006112.0,30169000,1226995010.0,^ESCTNO298570,,Non-organic hearing loss
Conductive and sensorineural hearing loss,8306171000006110.0,877191000000104,2310371000000114.0,^ESCTPR830617,,Profound BSNHL (bilateral sensorineural hearing loss)
Conductive and sensorineural hearing loss,3693061000006119.0,73371001,502416010.0,^ESCTRE369306,,Retrocochlear hearing loss
Conductive and sensorineural hearing loss,3486111000006112.0,60700002,1232124012.0,^ESCTSN348611,,SNHL - Sensorineural hearing loss
Conductive and sensorineural hearing loss,100854015.0,60700002,100854015.0,F591-99,F591.99,Sensorineural deafness
Conductive and sensorineural hearing loss,3486101000006114.0,60700002,1232123018.0,^ESCTSE348610,,Sensory-neural hearing loss
Conductive and sensorineural hearing loss,4775301000006119.0,194418004,2821126011.0,^ESCTUN477530,,Unilateral conductive hearing loss with unrestricted hearing on the contralateral side
Conductive and sensorineural hearing loss,4775371000006113.0,194428008,2821036017.0,^ESCTUN477537,,Unilateral mixed conductive and sensorineural hearing loss with unrestricted hearing on the contralateral side
Conductive and sensorineural hearing loss,4775341000006117.0,194425006,2820989012.0,^ESCTUN477534,,Unilateral sensorineural hearing loss with unrestricted hearing on the contralateral side
Conductive and sensorineural hearing loss,1.2457891000006112e+16,411511000000107,927411000000113.0,^ESCT1245789,,[V]Fitting or adjustment of hearing aid
Conductive and sensorineural hearing loss,918721000006114.0,918721000006105,918721000006114.0,PC0692,,Bilateral deafness
Conductive and sensorineural hearing loss,4720481000006112.0,183126007,2619459016.0,^ESCTCH472048,,Changing hearing aid battery
Conductive and sensorineural hearing loss,1.2728821000006116e+16,694231000000100,1518611000000111.0,^ESCT1272882,,"Deaf mutism, NEC"
Conductive and sensorineural hearing loss,918681000006119.0,918681000006103,918681000006119.0,PC0689,,Deafness
Conductive and sensorineural hearing loss,1.2727231000006118e+16,679391000000103,1488821000000110.0,^ESCT1272723,,Deafness NOS
Conductive and sensorineural hearing loss,423945013.0,285055002,423945013.0,2DH1,2DH1.00,Does use hearing aid
Conductive and sensorineural hearing loss,2740721000006112.0,15188001,477220016.0,^ESCTHA274072,,Hard of hearing
Conductive and sensorineural hearing loss,982621000006118.0,982621000006102,982621000006118.0,EMISCHE9,,Hearing impaired
Conductive and sensorineural hearing loss,2740731000006110.0,15188001,477221017.0,^ESCTHE274073,,Hearing impairment
Conductive and sensorineural hearing loss,2740771000006113.0,15188001,477225014.0,^ESCTHI274077,,HI - Hearing impairment
Conductive and sensorineural hearing loss,2740761000006118.0,15188001,477224013.0,^ESCTHL274076,,HL - Hearing loss
Conductive and sensorineural hearing loss,2740711000006116.0,15188001,477219010.0,^ESCTHO274071,,HOH - Hard of hearing
Conductive and sensorineural hearing loss,4574411000006111.0,164068006,255434015.0,^ESCTOE457441,,O/E - conductive deafness
Conductive and sensorineural hearing loss,918711000006118.0,918711000006102,918711000006118.0,PC0691,,Partial deafness
Conductive and sensorineural hearing loss,1.190297100000611e+16,162342008,253161014.0,^ESCT1190297,,Unilateral deafness
Conductive and sensorineural hearing loss,918701000006116.0,918701000006100,918701000006116.0,PC0690,,Unilateral deafness
Conductive and sensorineural hearing loss,5696501000006110.0,285055002,423944012.0,^ESCTUS569650,,Uses hearing aid
Conductive and sensorineural hearing loss,987421000006118.0,987421000006102,987421000006118.0,EMISNQUS1,,Uses hearing loop
Conductive and sensorineural hearing loss,608101000006118.0,15188001,25788011.0,1C13,1C13.00,Deafness
Conductive and sensorineural hearing loss,407075014.0,272033007,407075014.0,1C13-1,1C13.11,Deafness symptom
Conductive and sensorineural hearing loss,253161014.0,162342008,253161014.0,1C131,1C13100,Unilateral deafness
Conductive and sensorineural hearing loss,470343013.0,343087000,470343013.0,1C132,1C13200,Partial deafness
Conductive and sensorineural hearing loss,253163012.0,162344009,253163012.0,1C133,1C13300,Bilateral deafness
Conductive and sensorineural hearing loss,1484996016.0,390967001,1484996016.0,1C17,1C17.00,Hearing aid problem
Conductive and sensorineural hearing loss,411844019.0,275879008,411844019.0,2BL-1,2BL..11,O/E - deaf
Conductive and sensorineural hearing loss,255426014.0,164061000,255426014.0,2BL3,2BL3.00,O/E - significantly deaf
Conductive and sensorineural hearing loss,255427017.0,164062007,255427017.0,2BL4,2BL4.00,O/E - very deaf
Conductive and sensorineural hearing loss,255428010.0,164063002,255428010.0,2BL5,2BL5.00,O/E - completely deaf
Conductive and sensorineural hearing loss,255434015.0,44057004,73473018.0,2BM2-1,2BM2.11,O/E - conductive deafness
Conductive and sensorineural hearing loss,255435019.0,164069003,255435019.0,2BM3-1,2BM3.11,O/E - perceptive deafness
Conductive and sensorineural hearing loss,413668018.0,285055002,423944012.0,2DG,2DG..00,Hearing aid worn
Conductive and sensorineural hearing loss,298231000000110.0,198061000000105,298231000000110.0,2DH0,2DH0.00,Uses hearing loop
Conductive and sensorineural hearing loss,772531000006119.0,232183005,347885014.0,7311A,7311A00,Insertn bone anchors subcutaneous bone anchored hearing aid
Conductive and sensorineural hearing loss,2675905016.0,426733001,2675905016.0,7319,7319.00,Attachment of bone anchored hearing prosthesis
Conductive and sensorineural hearing loss,1542771000006110.0,225871000000108,360891000000116.0,73192,7319200,Reduction soft tissue for bone anchored hearing prosthesis
Conductive and sensorineural hearing loss,1586391000006119.0,280651000000104,482511000000116.0,73194,7319400,One stage insert fixtures bone anchored hearing prosthesis
Conductive and sensorineural hearing loss,1586401000006117.0,426647008,2675980012.0,73195,7319500,Fitting external hearing prosthesis bone anchored fixtures
Conductive and sensorineural hearing loss,1586411000006119.0,225861000000101,487301000000112.0,73196,7319600,First stge ins fixtures for bone anchored hearing prosthesis
