Condition,MedCodeId,SNOMED_Code,SnomedCTDescriptionId,ReadCode,CleansedReadCode,Term
Dermatitis and eczema,885291000006115.0,389145006,885291000006115.0,H330-99,H330.99,Extrinsic asthma - atopy
Dermatitis and eczema,660351000006118.0,389145006,1493645010.0,H330,H330.00,Extrinsic (atopic) asthma
Dermatitis and eczema,1483199016.0,389145006,1483199016.0,H330-1,H330.11,Allergic asthma
Dermatitis and eczema,350152014.0,389145006,1483199016.0,H33zz-2,H33zz12,Allergic asthma NEC
Dermatitis and eczema,889161000006118.0,24079001,889161000006118.0,M111-98,M111.98,Atopic eczema/dermatitis
Dermatitis and eczema,889191000006114.0,584621000000108,889191000006114.0,M11z-99,M11z.99,Atopic eczema/dermatitis NOS
Dermatitis and eczema,889251000006111.0,684861000000105,889251000006111.0,M12z1-99,M12z199,Chronic Eczema
Dermatitis and eczema,889211000006110.0,23012005,889211000006110.0,M122-99,M122.99,Contact dermatitis : solvents
Dermatitis and eczema,889201000006112.0,666631000000109,889201000006112.0,M12-99,M12..99,Contact dermatitis/eczema
Dermatitis and eczema,889221000006119.0,584651000000103,889221000006119.0,M124-99,M124.99,Contact dermatitis: chemicals
Dermatitis and eczema,154630014.0,93423006,883471000006116.0,F4D30-99,F4D3099,Dermatitis of eyelid
Dermatitis and eczema,889171000006113.0,24079001,889171000006113.0,M111-99,M111.99,Dermatitis/eczemas
Dermatitis and eczema,889151000006115.0,24079001,889151000006115.0,M111-97,M111.97,Dermatitis/eczemas NOS
Dermatitis and eczema,889381000006113.0,675491000000105,889381000006113.0,M22-99,M22..99,Dermatoses NOS
Dermatitis and eczema,889391000006111.0,603351000000104,889391000006111.0,M22z-99,M22z.99,Dermatoses NOS
Dermatitis and eczema,358088015.0,238932004,358088015.0,ESCTGE3,,Genital lichen sclerosus
Dermatitis and eczema,6859231000006111.0,414492009,2534172017.0,^ESCTIN685923,,Infective eczematoid dermatitis
Dermatitis and eczema,6663041000006112.0,402276007,1781440014.0,^ESCTIR666304,,Irritant contact dermatitis due to incontinence
Dermatitis and eczema,2910831000006115.0,25674000,196453012.0,^ESCTLI291083,,Lichen sclerosus
Dermatitis and eczema,4790781000006113.0,198033005,304496019.0,^ESCTLI479078,,Lichen sclerosus of penis
Dermatitis and eczema,3373991000006110.0,53891004,89585011.0,^ESCTLI337399,,Lichen simplex chronicus
Dermatitis and eczema,982441000006111.0,982441000006107,982441000006111.0,EMISCLI10,,Lichenified skin
Dermatitis and eczema,889181000006111.0,238585003,889181000006111.0,M116-99,M116.99,Neurodermatitis
Dermatitis and eczema,853841000006115.0,853841000006104,853841000006115.0,EGTON301,,Nickel dermatitis
Dermatitis and eczema,889511000006112.0,608901000000107,889511000006112.0,M2521-99,M252199,Pompholyx
Dermatitis and eczema,6667221000006118.0,402567004,2536678019.0,^ESCTPO666722,,Pompholyx eczema
Dermatitis and eczema,3318721000006113.0,50563003,84228013.0,^ESCTSE331872,,Seborrheic dermatitis
