Condition,MedCodeId,SNOMED_Code,SnomedCTDescriptionId,ReadCode,CleansedReadCode,Term
Diabetes,1667921000000117.0,713703005,3698412014.0,C10FR-1,C10FR11,Type II diabetes mellitus with gastroparesis
Diabetes,84541000006111.0,190388001,292577016.0,C1093-2,C109312,Type 2 diabetes mellitus with multiple complications
Diabetes,84641000006112.0,313436004,457329019.0,C1099-2,C109912,Type 2 diabetes mellitus without complication
Diabetes,459311019.0,314903002,459311019.0,C10FG-1,C10FG11,Type II diabetes mellitus with arthropathy
Diabetes,84911000006119.0,190388001,292576013.0,C1093-1,C109311,Type II diabetes mellitus with multiple complications
Diabetes,914271000006114.0,420279001,3013392012.0,C10FC-1,C10FC11,Type II diabetes mellitus with nephropathy
Diabetes,1.2702411000006116e+16,421326000,84931000006113.0,^ESCT1270241,,Type II diabetes mellitus with neurological complications
Diabetes,1.2702421000006112e+16,422099009,1.2702421000006112e+16,^ESCT1270242,,Type II diabetes mellitus with ophthalmic complications
Diabetes,85011000006119.0,313436004,457330012.0,C1099-1,C109911,Type II diabetes mellitus without complication
Diabetes,84471000006119.0,44054006,197761014.0,C109-2,C109.12,Type 2 diabetes mellitus
Diabetes,84841000006113.0,44054006,493774016.0,C109-3,C109.13,Type II diabetes mellitus
Diabetes,84981000006114.0,420279001,3013392012.0,C1090-1,C109011,Type II diabetes mellitus with renal complications
Diabetes,84611000006113.0,420279001,2618208012.0,C1090-2,C109012,Type 2 diabetes mellitus with renal complications
Diabetes,84951000006118.0,422099009,3698440016.0,C1091-1,C109111,Type II diabetes mellitus with ophthalmic complications
Diabetes,84581000006117.0,422099009,3698440016.0,C1091-2,C109112,Type 2 diabetes mellitus with ophthalmic complications
Diabetes,84931000006113.0,421326000,3695406015.0,C1092-1,C109211,Type II diabetes mellitus with neurological complications
Diabetes,84561000006110.0,421326000,3695406015.0,C1092-2,C109212,Type 2 diabetes mellitus with neurological complications
Diabetes,85001000006117.0,190389009,292581016.0,C1094-1,C109411,Type II diabetes mellitus with ulcer
Diabetes,84631000006119.0,190389009,292579018.0,C1094-2,C109412,Type 2 diabetes mellitus with ulcer
Diabetes,84991000006112.0,422034002,3699410014.0,C1096-1,C109611,Type II diabetes mellitus with retinopathy
Diabetes,84621000006117.0,422034002,3699410014.0,C1096-2,C109612,Type 2 diabetes mellitus with retinopathy
Diabetes,84921000006110.0,420279001,3013392012.0,C109C-1,C109C11,Type II diabetes mellitus with nephropathy
Diabetes,84551000006113.0,420279001,3035432019.0,C109C-2,C109C12,Type 2 diabetes mellitus with nephropathy
Diabetes,84891000006116.0,719216001,3316336015.0,C109D-1,C109D11,Type II diabetes mellitus with hypoglycaemic coma
Diabetes,84521000006116.0,719216001,3316336015.0,C109D-2,C109D12,Type 2 diabetes mellitus with hypoglycaemic coma
Diabetes,84861000006112.0,314903002,459311019.0,C109G-1,C109G11,Type II diabetes mellitus with arthropathy
Diabetes,84491000006118.0,314903002,459310018.0,C109G-2,C109G12,Type 2 diabetes mellitus with arthropathy
Diabetes,840951000006119.0,237599002,2967820013.0,C109J,C109J00,Insulin treated Type 2 diabetes mellitus
Diabetes,841351000006110.0,237599002,1223147012.0,C109J-2,C109J12,Insulin treated Type II diabetes mellitus
Diabetes,850691000006118.0,395204000,1488898011.0,C109K,C109K00,Hyperosmolar non-ketotic state in type 2 diabetes mellitus
Diabetes,197761014.0,44054006,197761014.0,C10F,C10F.00,Type 2 diabetes mellitus
Diabetes,493774016.0,44054006,493774016.0,C10F-1,C10F.11,Type II diabetes mellitus
Diabetes,914031000006118.0,420279001,2618208012.0,C10F0,C10F000,Type 2 diabetes mellitus with renal complications
Diabetes,914041000006111.0,420279001,3013392012.0,C10F0-1,C10F011,Type II diabetes mellitus with renal complications
Diabetes,914051000006113.0,422099009,3698440016.0,C10F1,C10F100,Type 2 diabetes mellitus with ophthalmic complications
Diabetes,914071000006115.0,421326000,3695406015.0,C10F2,C10F200,Type 2 diabetes mellitus with neurological complications
Diabetes,914081000006117.0,421326000,3695406015.0,C10F2-1,C10F211,Type II diabetes mellitus with neurological complications
Diabetes,292577016.0,190388001,292577016.0,C10F3,C10F300,Type 2 diabetes mellitus with multiple complications
Diabetes,292576013.0,190388001,292576013.0,C10F3-1,C10F311,Type II diabetes mellitus with multiple complications
Diabetes,292579018.0,190389009,292579018.0,C10F4,C10F400,Type 2 diabetes mellitus with ulcer
Diabetes,292581016.0,190389009,292581016.0,C10F4-1,C10F411,Type II diabetes mellitus with ulcer
Diabetes,914151000006112.0,422034002,3699410014.0,C10F6,C10F600,Type 2 diabetes mellitus with retinopathy
Diabetes,914161000006114.0,422034002,3699410014.0,C10F6-1,C10F611,Type II diabetes mellitus with retinopathy
Diabetes,457329019.0,313436004,457329019.0,C10F9,C10F900,Type 2 diabetes mellitus without complication
Diabetes,457330012.0,313436004,457330012.0,C10F9-1,C10F911,Type II diabetes mellitus without complication
Diabetes,914261000006119.0,420279001,3035432019.0,C10FC,C10FC00,Type 2 diabetes mellitus with nephropathy
Diabetes,459167016.0,719216001,3316336015.0,C10FD,C10FD00,Type 2 diabetes mellitus with hypoglycaemic coma
Diabetes,459169018.0,719216001,3316336015.0,C10FD-1,C10FD11,Type II diabetes mellitus with hypoglycaemic coma
Diabetes,459310018.0,314903002,459310018.0,C10FG,C10FG00,Type 2 diabetes mellitus with arthropathy
Diabetes,914391000006116.0,237599002,2967820013.0,C10FJ,C10FJ00,Insulin treated Type 2 diabetes mellitus
Diabetes,1223147012.0,237599002,1223147012.0,C10FJ-1,C10FJ11,Insulin treated Type II diabetes mellitus
Diabetes,1488898011.0,395204000,1488898011.0,C10FK,C10FK00,Hyperosmolar non-ketotic state in type 2 diabetes mellitus
Diabetes,928541000006117.0,421986006,2967751013.0,C10FL,C10FL00,Type 2 diabetes mellitus with persistent proteinuria
Diabetes,928551000006115.0,421986006,2967751013.0,C10FL-1,C10FL11,Type II diabetes mellitus with persistent proteinuria
